Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
TONGUE	jæzˈɨk	ɛzˈik		jˈazɪk		meːlɛ	ɫiəʒʊ̂ʋʲɪs		jˈɛw̃zɨk	jɪzˈɨk	jˈazik	jéːzik	jɐzˈɪk			jězik
TONGUE_1			jˈɛziːk		jˈæzik			jazik						zajˈik	zajˈik	
TOOTH	zup	zɤp		zˈup		zuɔ̯ps	dɐntʲɪ̂s		zɔmp	zup	zup	zɔ̀ːb	zub			zûːb
TOOTH_1			zub		zowb			zap						zûːp	zu̯ôp	
TREE	drˈɛva	dɐrvˈɔ		strˈom		kuɔ̯ks	mɛ̌dʲɪs		dʐˈɛvɔ	dʲˈerʲɪvə	strɔm	drɛʋɔ̀ː	dˈɛrɛwɔ			dr̩̂ʋo~stǎːblo
TREE_-1			(stru̯ôm)													
TREE_1								dr̩vo								
TREE_2					drˈejvɔ									drêːvɔ	drjêvɔ	
TREE_3														stablˈɔ		
TWENTY	dvˈaʦʦaʦʲ	dvˈajsɛt~dvˈadɛsɛt		dvˈaʦɛt		divdɛzmit	dʋʲɪ̂dɛʃʲɪmt		dvaʥˈɛɕʨa	dvˈatʦɨtʲ	dʋˈatsac	dʋàːjsɛt	dʋˈɑdʦʲɐtʲ			dʋǎːdeseːt
TWO	dva	dva		dvˈa		divi	dʊ̂		dva	dva	dʋa	dʋàː	dʋɑ			dʋâː
TWO_1			dvǎː		dvaː			dva						dvâː	dvâː	
WALK	xaʣʲˈiʦʲ	xˈɔdʲɐ		bjˈɛʒɛt		iɛ̯t~sɡrai̯diːt	ɛʲɪ̯ˑtʲɪ		xˈɔʥiʨ	xɐdʲˈitʲ	bˈɛʒac	xɔdìːti	xɔdˈɪtɪ			xǒːdati
WALK_1			ʔit		powt~pˈowti			oj						pɔ̌ːc	pu̯ǒc	
WALK_2														rěːn~ɡrěːn	ɡrjěn	
WARM	ʦʲˈɵplɨ	tˈɔpɐɫ		tˈɛpliː		silts	ʃʲɪ̂ɫˑtɐs		ʨˈɛpwɨ	tʲˈɵpɫɨɪ̯	cˈɛpɫiː	tóːpɛl	tˈɛpɫɪi̯			tôpao
WARM_1			tjěpal		tˈu̯opɛl			topol						těːpɛl	tˈɛpal	
WASH	mɨʦʲ	mˈijɐ~pɛrˈɤ		mˈiːt		mɑzɡɑːt	pɫâˑʊ̯tʲɪ~mɐzɡôːtʲɪ~skɐ̂ɫˑbtʲɪ		pɾaʨ	mɨtʲ	mic	ɔpràːti	mˈɪtɪ			prâti
WATER	vadˈa	vodˈa		vˈoda		uːdɛns	ʋɐnduə		vˈɔda	vɐdˈa	ʋˈɔda	ʋóːda	wɔdˈɑ			ʋǒda
WATER_1			vu̯ɔ̌da		vˈu̯odɒ			voda						vɔdˈa	vɔdˈa	
WE	mɨ	nˈiɛ		mˈɪ		meːs	mɛ̌s		mɨ	mɨ	mi	mìː	mɪ			mîː
WET	mˈokrɨ	mˈɔkɐr		mˈokriː		zlɑbjʃ	ʃɫǎpʲɛs		mˈɔkɾɨ	mˈokrɨɪ̯	mˈɔkriː	mɔ̀ːkɛr	mˈɔkrɪi̯			môkar
WE_1			nâːs		naːs			nije~nas						nas	nas	
WE_2			mîː		miː									mîː	mîː	
WHAT	ʂto	ʃtɔ~kɐkvˈɔ		ʦˈo		kɑs	kɑ̂s		ʦɔ	ʂto	ʧɔ	kàːj	ʃʧɔ			ʃtô
WHAT_1			ʧa~ʧâː		kɒj~kæj			ʃo~ʃco						ʧɛ	ʧa	
WHERE	ʣʲe	kɐdˈɛ		ɡdˈɛ		kur	kʊ̂rˑ		ɡʥɛ	ɡdʲe	ɡɟɛ	kjɛ̀ː	dɛ			ɡdjê
WHITE	bʲˈelɨ	bʲaɫ		bˈiːliː		bɑlts	bâˑɫtɐs		bʲjˈawɨ	bʲˈeɫɨɪ̯	bˈɪ̯ɛɫi	bɛ̀ːl	bʲˈiɫɪi̯			bjeː̂l
WHITE_1			bjêl		bejl			bel						bêːli	bjêl	
WHO	xto	kɔj		ɡdˈo		kɑs	kɑ̂s		ktɔ	kto	ktɔ	kdɔ̀ː	xtɔ			tkô
WHO_1					kow			koj						kîː	kiː	
WHO_2			ɡdɔ~dɔ													
WIDE	ʂɨrˈokʲi	ʃirˈɔk		ʃˈɪrokiː		blɑts	pɫɐtʊ̂s		ʂɛɾˈɔkʲi	ʂɨrˈokʲɪɪ̯	ʃˈirɔkiː	ʃirɔ́k	ʃɪrˈɔkɪi̯			ʃǐrok
WIFE	ʐˈonka	sɐprˈuɡɐ		xˈoc~mˈanʒɛlka		siɛ̯vɑ	ʒmonɑ̂		ʐˈɔna	ʐɨnˈa	ʒˈɛna~mˈanʒɛɫka	ʒéːna~sɔprɔ̀ːɡa	ʒʲˈinkɐ~drʊʒˈɪnɐ			ʒěna~sǔpruɡa
WIND	vʲˈeʦʲer	vʲˈatɐr		vˈiːtr̩		veːjʃ	ʋêːjɐs		vʲjatɾ	vʲˈetʲɪr	ʋˈɪ̯ɛtɔr	ʋɛ̀ːtɛr	ʋʲˈitɛr			ʋjêtar
WIND_1			vjětar		vjˈetær			veter						věːtɛr	vˈɛtar	
WING	krɨlˈo	kriɫˈɔ		kr̝̊ˈiːdlo		spɑːrns	spɐ̂rˑnɐs		skʂˈɨdwɔ	krɨɫˈo	krˈiːdɫɔ	krìːlɔ	krɪɫˈɔ			krǐːlo
WIPE	zʁʌtavˈaʦʲ	izbˈɤrʃɐ		ˈutr̝̊iːt		nuɔ̯zlau̯ʦiːt	nʊʃɫûəstʲiːtʲɪ		ɔbˈɛtʂɛʨ	vˈɨtʲɪrʲɪtʲ	ˈutrɪ̯ɛc	ɔbrìːsati	ʋˈɪtɛrtɪ			ǒtr̩ti
WOMAN	ʐanʧˈɨna	ʒɛnˈa		ʒˈɛna		siɛ̯viɛ̯tɛ	môːtɛrʲɪs		kɔbʲjˈɛta	ʐˈɛnʲɕːɪnə	ʒˈɛna	ɡɔspàː~ʒɛ̀ːnska	ʒʲˈinkɐ			ʒěna
WOMAN_-1			(rˈɔba)													
WOMAN_1			ʒˈɛna		ʒjˈenɒ~ʒjˈenskɒ			ʒena						ʒɛnˈa~ʒěːnska	ʒjěnska	
WORM	ʧarvʲˈæk	ʧˈɛrvɛj		ʧˈɛrf		tɑːrps	kʲɪrmeːɫěː		ɾˈɔbak	ʨɪrvʲˈak	ʧɛrʋ	ʧə́rʋ~ɡlìːsta	ʧɛrʋjˈɑk			ʦr̩̂ːʋ
WORM_1			ʧr̩̂v		ʧɛrv			ʦr̩veʦ						ʧêːrf	ʧr̩̂f	
WORM_2															ɡlîːs~ɡlîːsta	
YEAR	ʁot	ɡodˈinɐ		rˈok		ɡɑts	mɛ̌tɐʲɪ̯ˑ		ɾɔk	ɡot	rɔk	lɛ̀ːtɔ	ɾʲik			ɡôdina
YEAR_1								ɡodina								
YEAR_2			ljětɔ		ljˈetɔ									lěːtɔ	lˈɛtɔ	
YELLOW	ʐˈowtɨ	ʒɤɫt		ʒlˈutiː		ʣæltæns	ɡɛɫtôːnɐs		ʐˈuwtɨ	ʐˈoɫtɨɪ̯	ʒˈɫ̩tiː	ʒɔ̀ːlt~rumɛ́n	ʒˈɔʍtɪi̯			ʒûːt
YELLOW_1			ʒûːt		ʒowt			ʒolt						ʒûːt	ʒûːt	
YOU	vɨ	vˈiɛ		vˈɪ		juːs	jǔːs		vɨ	vɨ	ʋi	ʋìː	ʋɪ			ʋîː
