Dataset	Classification	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Family	Macroarea	Latitude	Longitude	Reference	Notes
Japonic	Japonic, Japanesic, Eastern Japanese	Yamanashi	Yamanashi	Yamanashi	yama1263			Japonic	Eurasia	35.6928452	138.6871263	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Hachijō	Hachijō	Hachijyo	Hachijō	hach1238			Japonic	Eurasia	33.1069602	139.767310718251	Lee & Hasegawa, 2011	Appears twice in Glottolog tree, once as a top-level division sister to Japanesic and Ryukyuan, and once as division within Japanese; Wikipedia describes it a descendant of (Eastern) Old Japanese, hence the latter Glottolog classification is assumed here
Japonic	Japonic, Japanesic, Kyūshū	Fukuoka	Fukuoka	Chikuho-ben	chik1251			Japonic	Eurasia	33.6251241	130.6180016	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Kagoshima	Kagoshima	Satsugū	sats1241			Japonic	Eurasia	31.521587	130.5474077	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Kumamoto	Kumamoto	Kumamoto-ben	kuma1281			Japonic	Eurasia	32.6450475	130.6341345	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Miyazaki	Miyazaki	Miyazaki-ben	miya1258			Japonic	Eurasia	31.9076334	131.4204022	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Nagasaki	Nagasaki	Nagasaki-ben	naga1405			Japonic	Eurasia	33.1154683	129.7874339	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Ōita	Oita	Ōita-ben	oita1237			Japonic	Eurasia	33.1819875	131.4270217	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Kyūshū	Saga	Saga	Saga-ben	saga1265			Japonic	Eurasia	33.2185408	130.1296585	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Ehime	Ehime	Iyo-ben	iyob1237			Japonic	Eurasia	33.6013646	132.8185275	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Fukui	Fukui	Fukui	fuku1241			Japonic	Eurasia	35.9263502	136.6068127	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Hiroshima	Hiroshima	Hiroshima	hiro1237			Japonic	Eurasia	34.3916058	132.4518156	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Hyōgo	Hyogo	Kobe (Japonic)	kobe1244			Japonic	Eurasia	34.6677915	135.1641816	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Ishikawa	Ishikawa	Kanazawa	kana1289			Japonic	Eurasia	36.5780499	136.6480247	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Kagawa	Kagawa	Kagawa-ben	kaga1258			Japonic	Eurasia	34.3454438499999	134.109814153127	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Kōchi	Kochi	Hata-ben	hata1244			Japonic	Eurasia	33.5680384	133.5394221	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Kyōtō	Kyoto	Kyoto	kyot1238			Japonic	Eurasia	35.021041	135.7556075	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Mie	Mie	Mie	miee1237			Japonic	Eurasia	34.7339685	136.5154489	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Nara	Nara	Oku-yoshino	okuy1237			Japonic	Eurasia	34.2963089	135.8816819	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Okayama	Okayama	Okayama	okay1237			Japonic	Eurasia	34.6553944	133.9194595	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Ōsaka	Osaka	Ōsaka	osak1237			Japonic	Eurasia	34.6198813	135.490357	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Shiga	Shiga	Shiga	shig1237			Japonic	Eurasia	35.2018175	135.9245546	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Shimane	Shimane	Izumo-ben	izum1237			Japonic	Eurasia	35.3668891	132.7548827	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Tokushima	Tokushima	Tokushima-ben	toku1245			Japonic	Eurasia	34.0698307	134.5550353	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Tottori	Tottori	Tottori	tott1237			Japonic	Eurasia	35.3555075	133.8678525	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Toyama	Toyama	Toyama	toya1237			Japonic	Eurasia	36.6957569	137.2136215	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Wakayama	Wakayama	Wakayama	waka1279			Japonic	Eurasia	34.234617	135.1782181	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Western Japanese	Yamaguchi	Yamaguchi	Yamaguchi	yama1261			Japonic	Eurasia	34.1781317	131.4737077	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Northern Ryukyuan	Naze	Naze	Naze	naze1238			Japonic	Eurasia	28.3740442	129.5064497	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Northern Ryukyuan	Okinawa	Okinawa	Okinawa	okin1244			Japonic	Eurasia	26.4748948	127.911468664084	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Hateruma	Hateruma	Hateruma	hate1238			Japonic	Eurasia	24.0587455	123.782155373325	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Hirara	Hirara	Miyako-Jima	miya1260			Japonic	Eurasia	24.926431	125.2411151	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Ikema	Ikema	Ikema-Jima	ikem1235			Japonic	Eurasia	24.9252099	125.2448702	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Irafu	Irafu	Irabu-Jima	irab1238			Japonic	Eurasia	24.829624	125.1918053	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Ishigaki	Ishigaki	Ishigaki	ishi1240			Japonic	Eurasia	24.3457111	124.1575482	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Taketomi	Taketomi	Taketomi	take1256			Japonic	Eurasia	24.322143	123.826987	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Tarama	Tarama	Tarama-Minna	tara1319			Japonic	Eurasia	24.661495	124.6979386	Lee & Hasegawa, 2011	
Japonic	Japonic, Ryukyuan, Southern Ryukyuan	Yonaguni	Yonaguni	Yonaguni	yona1241	yoi	Yonaguni	Japonic	Eurasia	24.45566	122.992602	Lee & Hasegawa, 2011	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, East Slavic	Belarusian	Belarusian	Belarusian	bela1254	bel	Belarusian	Indo-European	Eurasia	53.2307	25.6038	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, East Slavic	Russian	Russian	Russian	russ1263	rus	Russian	Indo-European	Eurasia	59.0	50.0	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, East Slavic	Ukrainian	Ukrainian	Ukrainian	ukra1253	ukr	Ukrainian	Indo-European	Eurasia	49.796	29.945	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, South Slavic	Bulgarian	Bulgarian	Bulgarian	bulg1262	bul	Bulgarian	Indo-European	Eurasia	43.3646	25.047	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, South Slavic	Slovenian	Slovene	Slovenian	slov1268	slv	Slovenian	Indo-European	Eurasia	46.2543	14.7766	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, South Slavic	Štokavian	Croatian	Croatian Standard	croa1245	hrv	Croatian	Indo-European	Eurasia	45.555	15.982	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, West Slavic	Czech	Czech	Czech	czec1258	ces	Czech	Indo-European	Eurasia	49.8734	15.10437	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, West Slavic	Polish	Polish	Polish	poli1260	pol	Polish	Indo-European	Eurasia	51.8439	18.6255	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic, West Slavic	Slovak	Slovak	Slovak	slov1269	slk	Slovak	Indo-European	Eurasia	48.5457	18.78479	Dellert et al., 2019	
Polynesian	Austronesian, Polynesian, Anuta	Anuta	Anuta	Anuta	anut1237	aud	Anuta	Austronesian	Papunesia	-11.61	169.85	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Carolinean Outlier Polynesian	Kapingamarangi	Kapingamarangi	Kapingamarangi	kapi1249	kpg	Kapingamarangi	Austronesian	Papunesia	1.039166	154.797223	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Futuna	East Futuna	EastFutuna	East Futuna	east2447	fud	East Futuna	Austronesian	Papunesia	-14.278717	-178.137222	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Austral (Ra'ivavae)	AustralA	Raivavae	raiv1237	aut	Austral	Austronesian	Papunesia	-23.865	-147.6609	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Austral (Rurutuan)	AustralB	Rurutu	ruru1237	aut	Austral	Austronesian	Papunesia	-22.4801	-151.3385	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Hawaiian	Hawaiian	Hawaiian	hawa1245	haw	Hawaiian	Austronesian	Papunesia	19.6297	-155.43	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Mangareva	Mangareva	Mangareva	mang1401	mrv	Mangareva	Austronesian	Papunesia	-23.1095	-134.97	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Maori	Maori	Maori	maor1246	mri	Maori	Austronesian	Papunesia	-38.2881	176.541	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	North Marquesan	NorthMarquesan	North Marquesan	nort2845	mrq	North Marquesan	Austronesian	Papunesia	-8.89412	-140.108	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Penrhyn	Penrhyn	Māngarongaro	penr1237	pnh	Penrhyn	Austronesian	Papunesia	-9.082238	-157.922908	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	RakahangaManihiki	RakahangaManihiki	Rakahanga-Manihiki	raka1237	rkh	Rakahanga-Manihiki	Austronesian	Papunesia	-10.03	-161.09	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Rapanui	Rapanui	Rapanui	rapa1244	rap	Rapanui	Austronesian	Papunesia	-27.113	-109.342	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Rarotongan	Rarotongan	Southern Cook Island Maori	raro1241	rar	Rarotongan	Austronesian	Papunesia	-21.23	-159.78	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Tahitian	Tahitian	Tahitian	tahi1242	tah	Tahitian	Austronesian	Papunesia	-17.6485	-149.45	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Tuamotuan	Tuamotuan	Tuamotuan	tuam1242	pmt	Tuamotuan	Austronesian	Papunesia	-16.17259	-146.321755	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Uvean-Niuafo'ou	Wallisian	Wallisian	East Uvean	wall1257	wls	Wallisian	Austronesian	Papunesia	-13.2903	-176.207	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Ellicean	Samoan	Samoan	Samoan	samo1305	smo	Samoan	Austronesian	Papunesia	-13.92	-171.83	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Ellicean	Tuvalu	Tuvalu	Tuvalu	tuva1244	tvl	Tuvalu	Austronesian	Papunesia	-8.520813	179.198088	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Pukapuka	Pukapuka	Pukapuka	Pukapuka	puka1242	pkp	Pukapuka	Austronesian	Papunesia	-10.91	-165.83	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Rennell-Bellona	RennellBellona	RennellBellona	Rennell-Bellona	renn1242	mnv	Rennell-Bellona	Austronesian	Papunesia	-11.6237	160.265	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Luangiua	Luangiua	Luangiua	onto1237	ojv	Ontong Java	Austronesian	Papunesia	-5.49029	159.701	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Nukuria	Nukuria	Nukuria	nuku1259	nur	Nukuria	Austronesian	Papunesia	-3.40038	154.731	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Sikaiana	Sikaiana	Sikaiana	sika1261	sky	Sikaiana	Austronesian	Papunesia	-8.378194	162.72952	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tikopia	Tikopia	Tikopia	Tikopia	tiko1237	tkp	Tikopia	Austronesian	Papunesia	-12.2766	168.822	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tongic	Niuean	Niuean	Niuean	niue1239	niu	Niuean	Austronesian	Papunesia	-19.06	-169.86	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tongic	Tongan	TongatongaIslands	Tonga (Tonga Islands)	tong1325	ton	Tonga (Tonga Islands)	Austronesian	Papunesia	-21.17	-175.25	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vaeakau-Taumako	Vaeakau-Taumako	VaeakauTaumako	Vaeakau-Taumako	pile1238	piv	Vaeakau-Taumako	Austronesian	Papunesia	-10.173335	166.247188	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Emae	Emae	Emae	emae1237	mmw	Emae	Austronesian	Papunesia	-17.052	168.399	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Futuna-Aniwa	FutunaAniwa	Futuna-Aniwa	futu1245	fut	Futuna-Aniwa	Austronesian	Papunesia	-19.5303	170.215	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Mele-Fila	MeleFila	Mele-Fila	mele1250	mxe	Mele-Fila	Austronesian	Papunesia	-17.6841	168.275	Walworth, 2018	
Quechuan	Quechuan, Quechua I, Central Quechua, AP-AM-AH	Huallaga-Huánuco	Huallaga	Huallaga Huánuco Quechua	hual1241	qub	﻿Huallaga Huánuco Quechua	Quechuan	South America	-9.57	-75.59	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Apurí-Madean-Viñac	Apuri	Apurí	apur1253			Quechuan	South America	-12.89	-75.81	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Cacra-Hongos	Cacra-Hongos	Cacra-Hongos	cacr1238			Quechuan	South America	-12.81	-75.78	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Chocos-Huangáscar	Huangascar	Azángaro-Huangáscar-Chocos	azan1238			Quechuan	South America	-12.9	-75.83	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Laraos	Laraos	Huangascar-Topara-Yauyos Quechua	yauy1235	qux	Yauyos Quechua	Quechuan	South America	-13.11	-75.77	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Lincha-Tana	Lincha-Tana	Tana-Lincha	tana1291			Quechuan	South America	-12.8	-75.66	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huangascar-Topara	Liscay-San Pedro	SanPedro	San Pedro de Huacarpana	sanp1258			Quechuan	South America	-13.09	-75.74	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huaylay	Corongo	Yanac	Corongo Ancash Quechua	coro1247	qwa	Corongo Ancash Quechua	Quechuan	South America	-8.58	-77.99	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Huaylay	Huaraz-Huailas	HuarazHuailas	Huailas	huai1241			Quechuan	South America	-9.52	-77.52	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Jauja-Huanca	Huaylla-Huanca	Huanca	Huaylla Wanca Quechua	huay1241	qvw	Huaylla Wanca Quechua	Quechuan	South America	-11.77	-75.49	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Jauja-Huanca	Jauja-Huanca	Jauja	Jauja Wanca Quechua	jauj1238	qxw	Jauja Wanca Quechua	Quechuan	South America	-11.67	-75.28	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Central Quechua, Yaru Quechua	Yaru	Tarma	Yaru Quechua	yaru1256			Quechuan	South America	-11.42	-75.68	Blum et al., 2021	
Quechuan	Quechuan, Quechua I, Pacaraos	Pacaraos	Pacaraos	Pacaraos Quechua	paca1245	qvp	Pacaraos Quechua	Quechuan	South America	-11.14	-76.73	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Cajamarca-Lambayeque	Cajamarca	Chetilla	Cajamarca Quechua	caja1238	qvc	Cajamarca Quechua	Quechuan	South America	-7.09	-78.32	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Cajamarca-Lambayeque	Lambayeque	Inkawasi	Lambayeque Quechua	lamb1276	quf	Lambayeque Quechua	Quechuan	South America	-6.17	-79.47	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIB, San Martin-Amazonas	Chachapoyas	Chachapoyas	Chachapoyas Quechua	chac1250	quk	Chachapoyas Quechua	Quechuan	South America	-6.27	-77.66	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIB, San Martin-Amazonas	San Martín	Lamas	San Martín Quechua	sanm1289	qvs	San Martín Quechua	Quechuan	South America	-6.42	-76.52	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Ayacuchan	Ayacucho	Ayacucho	Ayacucho Quechua	ayac1239	quy	Ayacucho Quechua	Quechuan	South America	-13.85	-74.32	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Ayacuchan	Huancavelica	Atalla	Huancavelica	huan1249			Quechuan	South America	-12.76	-74.87	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Bolivian-Argentinian Quechua	Apolobamba	Curva	Apolo	apol1241			Quechuan	South America	-14.4	-68.79	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Bolivian-Argentinian Quechua	Chuquisaca	Maragua	South Bolivian Quechua	sout2991	quh	South Bolivian Quechua	Quechuan	South America	-18.96	-65.78	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Bolivian-Argentinian Quechua	Cochabamba	Pocona	Cochabamba	coch1274			Quechuan	South America	-17.67	-65.42	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Bolivian-Argentinian Quechua	Santiago del Estero	Santiagueno	Santiago del Estero Quichua	sant1432	qus	Santiago del Estero Quichua	Quechuan	South America	-27.79	-64.25	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian A	Chimborazo	Troje	North Chimborazo Highland Quichua	nort3351			Quechuan	South America	-1.37	-78.85	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Azuay	Azuay	Azuay Highland Quichua	azua1234			Quechuan	South America	-2.48	-78.97	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Colombian Inga	Putumayo	Colombian Inga	inga1252	inb	Inga	Quechuan	South America	1.17	-76.96	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Imbabura	Imbabura	Imbabura Highland Quichua	imba1240	qvi	Imbabura Highland Quichua	Quechuan	South America	-0.23	-78.26	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Napo 	Napo	Napo Lowland Quechua	napo1242	qvo	Napo Lowland Quechua	Quechuan	South America	-0.04	-76.23	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Pastaza	Pastaza	Southern Pastaza Quechua	sout2990	qup	Southern Pastaza Quechua	Quechuan	South America	-4.79	-76.53	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Colombia-Ecuador Quechua, Ecuadorian B	Tena	Serena	Tena Lowland Quichua	tena1240	quw	Tena Lowland Quichua	Quechuan	South America	-0.76	-77.54	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Cuscan Quechua	Cuzco	Cuzco	Cusco Quechua	cusc1236	quz	Cusco Quechua	Quechuan	South America	-14.09	-71.77	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Cuscan Quechua	Eastern-Apurímac	Apurimac	Eastern Apurímac Quechua	east2551	qve	Eastern Apurí­mac Quechua	Quechuan	South America	-13.89	-73.14	Blum et al., 2021	
Quechuan	Quechuan, Quechua II, Quechua IIC, Cuscan Quechua	Puno	Puno	Puno Quechua	puno1238	qxp	Puno Quechua	Quechuan	South America	-14.61	-70.21	Blum et al., 2021	
Sinitic	Sino-Tibetan, Sinitic, Gan	Nanchang	Nanchang	Nanchang	nanc1254	gan	Gan Chinese	Sino-Tibetan	Eurasia	28.706609	115.857468	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Hakka	Meixian	Meixian	Meixian	yuet1238	hak	Hakka Chinese	Sino-Tibetan	Eurasia	24.3522958	115.8903375	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Hui	Jixi	Jixi	Jixi	jixi1238	czh	Huizhou Chinese	Sino-Tibetan	Eurasia	30.071111	118.592222	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Jin	Taiyuan	Taiyuan	Taiyuan	taiy1243	cjy	Jinyu Chinese	Sino-Tibetan	Eurasia	37.8632119	112.4024883	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Beijing	Beijing	Beijing Mandarin	beij1234	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	39.9385466	116.1172766	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Chengdu	Chengdu	Chengdu Mandarin	chen1267	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	30.605768	103.970947	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Ha'erbin	Haerbin	Ha'erbin Mandarin	haer1234	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	45.846595	126.551056	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Jinan	Jinan	Jinan Mandarin	jina1245	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	36.690777	116.997299	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Nanjing	Nanjing	Nanjing Mandarin	nanj1234	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	32.0989607	118.4575646	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Rongcheng	Rongcheng	Rongcheng Mandarin	rong1271	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	37.130642	122.434269	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Xi'an	XiAn	Xi'an Mandarin	xian1253	cmn	Mandarin Chinese	Sino-Tibetan	Eurasia	34.228154	108.960571	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Min	Fuzhou	Fuzhou	Houguan	fuzh1239	cdo	Min Dong Chinese	Sino-Tibetan	Eurasia	26.08904	119.294243	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Min	Xiamen	Xiamen	Xiamen	xiam1236	cdo	Min Dong Chinese	Sino-Tibetan	Eurasia	24.49421	118.08918	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Pinghua	Guilin	Guilin	Guilin Pinghua	guil1241	cnp	Northern Pinghua	Sino-Tibetan	Eurasia	25.266667	110.283333	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Wu	Suzhou	Suzhou	Suzhou	suzh1234	wuu	Wu Chinese	Sino-Tibetan	Eurasia	31.3280439	120.364116	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Wu	Wenzhou	Wenzhou	Wenzhou	ouji1238	wuu	Wu Chinese	Sino-Tibetan	Eurasia	28.005496	120.701179	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Xiang	Changsha	Changsha	Changsha	chan1326	hsn	Xiang Chinese	Sino-Tibetan	Eurasia	28.85032	112.943344	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Xiang	Loudi	Loudi	Loudi	loud1234	hsn	Xiang Chinese	Sino-Tibetan	Eurasia	27.733333	111.9281883	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Yue	Guangzhou	Guangzhou	Guangzhou	guan1279	yue	Yue Chinese	Sino-Tibetan	Eurasia	23.1253503	112.9476548	Líu et al., 2007	
Slavic	Indo-European, Balto-Slavic, Slavic, South Slavic	Burgenland Čakavian	Devinska Nova Ves Chakavian	Burgenland Croatian	burg1244	ckm	Chakavian	Indo-European	Eurasia	48.2094	16.9728	Saenko, 2017	Burgenland Chakavian dialect spoken in Devínska Nová Ves, Slovakia
Slavic	Indo-European, Balto-Slavic, Slavic, South Slavic	Čakavian (Cres)	Orlec Chakavian	Nuclear Chakavian	nucl1776	ckm	Chakavian	Indo-European	Eurasia	44.8829	14.4243	Saenko, 2017	Northern Chakavian (sjevernočakavski / ekavskočakavski) dialect of Orlec, Cres Island, Croatia
Slavic	Indo-European, Balto-Slavic, Slavic, South Slavic	Čakavian (Istria)	Orbanici Chakavian	Nuclear Chakavian	nucl1776	ckm	Chakavian	Indo-European	Eurasia	45.005	13.9164	Saenko, 2016	Southern Istrian Chakavian (jugozapadni istarski / štakavsko-čakavski) dialect spoken in Orbanići, Istarska Županija, Croatia
Slavic	Indo-European, Balto-Slavic, Slavic, South Slavic	Kajkavian	Burgenland Kajkavian	Kajkavian	kajk1237	kjv	Kaikavian Literary Language	Indo-European	Eurasia	47.6254	16.7409	Saenko, 2017	Burgenland Kajkavian dialect spoken in Hidegség and Fertőhomok, Hungary
Slavic	Indo-European, Balto-Slavic, Slavic, South Slavic	Macedonian	Dihovo Macedonian	Western Macedonian	west2336	mkd	Macedonian	Indo-European	Eurasia	41.5957	21.7932	Kassian, 2014	Dialect of Dihovo, North Macedonia
Turkic	Turkic, Bolgar	Chuvash	Chuvash	Chuvash	chuv1255	chv	Chuvash	Turkic	Eurasia	55.487	47.163	Savelyev & Robbeets (2020)	Viryal dialect
Turkic	Turkic, Central Siberian Turkic	Siberian Tatar	BarabaTatar	Baraba	bara1273	sty	Siberian Tatar	Turkic	Eurasia	57.4921	72.5642	Savelyev & Robbeets (2020)	Baraba variety of Siberian Tatar
Turkic	Turkic, Khalaj	Khalaj	Khalaj	Turkic Khalaj	turk1303	klj	Khalaj	Turkic	Eurasia	34.4224	50.3222	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Bashkir	Bashkir	Bashkir	bash1264	bak	Bashkir	Turkic	Eurasia	53.5967	56.5594	Savelyev & Robbeets (2020)	
