Gloss	Belarusian	Bulgarian	Croatian	Czech	Latvian	Lithuanian	Polish	Russian	Slovak	Slovene	Ukrainian
KNOT_3			ûzaɔ								
KNOT_4										ʋo˦ːzɛl	
KNOT_5						mǎzɡɐs					
KNOT_6					mæzɡls						
KNOW_(SOMETHING)_1	znaʦʲ	znaja	znâti		zinɑːt	ʒʲɪnôːtʲɪ		znaˑtʲ			znɑtɪ
KNOW_(SOMETHING)_2										zna˨ːti	
KNOW_(SOMETHING)_3										ʋɛ˨ːdɛti	
KNOW_(SOMETHING)_4				vjɛɟɛt			viɛʥɛʨ		vɛdi̯ec		
LADDER_1		stɤɫba									
LADDER_2	lʲɛsviʦa		ʎɛ̂stʋɛ~ʎɛ̂stʋiʦɛ					leˑstnʲiʦə			
LADDER_3										lɛ˨ːstɛʋ	
LADDER_4				ʒɛbr̝iːk					rɛbriːk~rɛbrina		
LADDER_5							dɾabina				drɑbɪnɑ
LADDER_6						kôːpeːʧʲɪos					
LADDER_7					kɑːbnɛs						
LADDER_8					rɛdɛlɛs						
LAIR_1		dupka									
LAIR_2			jâzbina								
LAIR_3										brlɔ˦ɡ	
LAIR_4	nara			nora			nɔɾa	nɐraˑ	nɔra		
LAIR_5											lʲiɦwɔ
LAIR_6					ɑlɑ	oɫɑ̂					
LAKE_1	vɔzʲɛra	ɛzɛrɔ	jɛ̂zɛrɔ	jɛzɛro			jɛʑɔɾɔ	ɔˑzʲɪrə	jazɛrɔ		ɔzɛrɔ
LAKE_2										jɛ˨ːzɛrɔ	
LAKE_3					ɛzɛrs	ɛ̌ʒɛrɐs					
LANGUAGE_1		ɛzik	jɛ̌zik	jazɪk			jɛ̃zɨk	jɐzɨˑk	jazik		
LANGUAGE_2										je˦ːzik	
LANGUAGE_3				r̝ɛʧ					rɛʧ		
LANGUAGE_4	mɔva										mɔwɑ
LANGUAGE_5						kɐɫbɑ̂					
LANGUAGE_6					vɑluɔ̯dɑ						
LAST_(FINAL)_1	apɔʂni	pɔslɛdɛn		poslɛdɲiː				pɐsleˑdnʲij	pɔsɫɛdniː		
LAST_(FINAL)_2			zâdɲiː				ɔstatni		ɔstatniː		ɔstɑnʲːij
LAST_(FINAL)_3										pɔslɛ˨ːdni	
LAST_(FINAL)_4						pɐskʊtʲɪ̂nʲɪs					
LAST_(FINAL)_5					bɛi̯ʣɑmai̯s						
LATER_1		pɔkɤsnɔ									
LATER_2			kâsniɛ								
LATER_3										pɔzne˦ːjɛ	
LATER_4									nɛskɔrʃi̯e		
LATER_5				pozɟɛjɪ							
LATER_6	paznʲɛj						puʑniɛj	pɔˑzʒə			pʲiznʲiʂɛ
LATER_7					væːlɑːk	ʋeːlʲɛʊ̯ˑ					
LATER_8						pɐskʲɛʊ̯ˑ					
LAUGH_1	smʲajatʦa	smɛjasɛ	smǐjatisɛ	smaːtsɛ	zmiɛ̯t~zmiɛ̯tiɛ̯s		ɕmiaʨɕɛ̃	smʲɪjaˑtʲsʲɪ	smi̯acsa		smijɑtɪsʲɑ
LAUGH_2										smɛja˨ːtisɛ	
LAUGH_3						juəktʲɪs					
LAUGHTER_1	smʲɛx	smʲax		smiːx	zmiɛ̯ɡli		ɕmiɛx	smʲeˑx	smi̯ex		smix
LAUGHTER_2			ɡrɔ̂xɔt							ɡrɔxɔ˦t	
LAUGHTER_3										smɛ˨ːx	
LAUGHTER_4						juəkɐs					
LAY_(VERB)_1		sɫɔʒa									
LAY_(VERB)_2		sɫaɡam									
LAY_(VERB)_3			pɔlǎːɡati								
LAY_(VERB)_4				poloʒɪt					pɔɫɔʒic	pɔlɔʒi˨ːti	
LAY_(VERB)_5	klasʦi			klaːst			kwaɕʨ	kɫəstʲ	kɫaːsc		klɑstɪ
LAY_(VERB)_6						dêːtʲɪ~pɐdeːtʲɪ					
LAY_(VERB)_7					likt						
LAZY_1	lʲanivɨ	lɛnif		liːniː			lɛnivɨ	lɪnʲiˑvɨj	ɫɛniviː		
LAZY_2		mɤrzɛlif									
LAZY_3			lîjɛn								
LAZY_4										lɛ˨ːn	
LAZY_5											lɛdɑʈ͡ʂɪj
LAZY_6					zliŋks	tʲɪnɡʊ̂s					
LEAD_(GUIDE)_1		rɤkɔvɔdʲa						rukəvɐdʲiˑtʲ			
LEAD_(GUIDE)_2		upravʎavam	ǔpraʋʎati								
LEAD_(GUIDE)_3										upra˨ːʋlati	
LEAD_(GUIDE)_4									vi̯esc		
LEAD_(GUIDE)_5				vodɪt	vɑdiːt						
LEAD_(GUIDE)_6	kiravaʦʲ						kiɛɾɔvaʨ				kɛruwɑtɪ
LEAD_(GUIDE)_7						ʋɐɫdîːtʲɪ					
LEAD_(GUIDE)_8						ʋɐdoʋâˑʊ̯tʲɪ					
LEAD_(GUIDE)_9					pɑːrzinɑːt						
LEAF_1	list	list	lîːst				liɕʨ	liˑst	ɫist		lɪst
LEAF_2										li˨ːst	
LEAF_3				lupɛn							
LEAF_4					lɑpːɑ	ɫǎpɐs					
LEARN_1	vuʈ͡ʂɨtʦa	uʧasɛ	ǔʧitisɛ	uʧɪtsɛ			uʈ͡ʂɨʨɕɛ̃	uʨiˑtʲsʲɪ	uʧicsa		
LEARN_2										uʧi˨ːtisɛ	
LEARN_3											nɑwʈ͡ʂɑtɪsʲɑ
LEARN_4					mɑːʦiːtiɛ̯s	môːkʲiːtʲɪs					
LEASH_1		vrɤf									
LEASH_2		vɤʒɛ									
LEASH_3			ûziʦa								
LEASH_4										kɔno˦ːpɛʦ	
LEASH_5				vodiːtko					vɔdidɫɔ		
LEASH_6							smɨʈ͡ʂ				
LEASH_7											ʂwɔrkɑ
LEASH_8	pavadɔk							pəvɐdɔˑk			
LEASH_9						pɐʋɐděːlʲɪs					
LEASH_10					sai̯tɛ						
LEATHER_1		kɔʒa	kɔ̂ʒa	kuːʒɛ				kɔˑʒə	kɔʒa		
LEATHER_2										u˨ːsnɛ	
LEATHER_3	skura						skuɾa				ʂkirɑ
LEATHER_4					ɑːdɑ	ôːdɐ					
LEAVE_1		ɔtidasi	ɔtǐːʨi								
LEAVE_2										ɔdi˨ːti	
LEAVE_3				odɛjiːt			ɔdɛjɕʨ		ɔdiːsc		
LEAVE_4									ɔtxaːʣac		
LEAVE_5											pʲitɪ
LEAVE_6	pajsʦi										
LEAVE_7								ujtʲiˑ			
LEAVE_8					ai̯ziɛ̯t	ɪʃɛʲɪ̯ˑtʲɪ					
LEAVE_(SOMEONE)_1		napusna									
LEAVE_(SOMEONE)_2			ɔ̌staʋiti								
LEAVE_(SOMEONE)_3			napǔstiti	opuscɪt			ɔpuɕʨiʨ		ɔpustic		
LEAVE_(SOMEONE)_4										zapusti˨ːti	
LEAVE_(SOMEONE)_5	pakinuʦʲ							pɐkiˑnutʲ			pɔkɪnutɪ
LEAVE_(SOMEONE)_6						pɐlʲɪ̂ktʲɪ					
LEAVE_(SOMEONE)_7					ɑtstɑːt						
LEAVE_(SOMETHING)_1		ɔstavʲa	ɔ̌staʋiti				zɔstaviʨ	ɐstaˑvʲitʲ			
LEAVE_(SOMETHING)_2			pǔstitinâtraːɡ								
LEAVE_(SOMETHING)_3										zapusti˨ːti	
LEAVE_(SOMETHING)_4				zanɛxat					zanɛxac		
LEAVE_(SOMETHING)_5											zɑlɪʂɪtɪ
LEAVE_(SOMETHING)_6	pakinuʦʲ										
LEAVE_(SOMETHING)_7						pɐlʲɪ̂ktʲɪ					
LEAVE_(SOMETHING)_8					ɑtstɑːt						
LEFT_1	lʲɛvɨ	ʎaf	lîjɛʋiː	lɛviː			lɛvɨ	leˑvɨj	ʎaviː		lʲiwɪj
LEFT_2										lɛ˨ːʋi	
LEFT_3						kɐʲɪ̯ˑrǐːs					
LEFT_4					ɡrɛi̯sai̯s						
LEG_1		krak									
LEG_2	naɣa	nɔɡa	nɔ̌ɡa	noɦa			nɔɡa	nɐɡaˑ	nɔɦa		nɔɦɑ
LEG_3										no˦ːɡa	
LEG_4					kɑːjɑ	kôːjɐ					
LENGTH_1	dawʐɨnʲa	dɤɫʒina								dɔlʒi˨ːna	dɔwʐɪnɑ
LENGTH_2			duʎǐna					dlinaˑ			
LENGTH_3									dl̩ːʃka		
LENGTH_4				dɛːlka							
LENGTH_5							dwuɡɔɕʨ				
LENGTH_6						ɪ̂ɫˑɡʲɪs					
LENGTH_7						ɪɫɡʊ̂mɐs					
LENGTH_8					ɡɑrums						
LETTER_1	pisʲmɔ	pismɔ	pǐːsmɔ					pʲisʲmɔˑ			
LETTER_2	list		lîːst				list		ɫist		lɪst
LETTER_3										pi˨ːsmɔ	
LETTER_4				dopɪs							
LETTER_5						ɫâˑʲɪ̯ʃkɐs					
LETTER_6					væːstulɛ						
LICK_1	lizaʦʲ	liʒa~bliʒa	lǐːzati	liːzat	lai̯ziːt	ɫɐʲɪ̯ˑʒîːtʲɪ	lizaʨ	lizaˑtʲ	ɫiːzac		lɪzɑtɪ
LICK_2										li˨ːzati	
LICK_3					lɑkt						
LID_(COVER,_CAP)_1		kapak									
LID_(COVER,_CAP)_2		pɔxɫupak	pɔ̌klɔpaʦ								
LID_(COVER,_CAP)_3										pɔkrɔ˦ʋ~pɔklɔ˨ːpɛʦ	
LID_(COVER,_CAP)_4									vr̩xnaːk		
LID_(COVER,_CAP)_5	nakrɨwka						pʂɨkɾɨfka	krɨˑʃkə	pɔkriːfka		krɪʂkɑ
LID_(COVER,_CAP)_6				viːko							
LID_(COVER,_CAP)_7				br̝iːklop							
LID_(COVER,_CAP)_8						dɐ̂nˑɡtʲɪs					
LID_(COVER,_CAP)_9					vɑːks						
LIE_(REST)_1	lʲaʐaʦʲ	lɛʒa	lɛ̌ʒati	lɛʒɛt			lɛʐɛʨ	lɪʒaˑtʲ	ɫɛʒac	lɛʒa˨ːti	lɛʐɑtɪ
LIE_(REST)_2					ɡuleːt	ɡʊɫêːtʲɪ					
LIFE_1		ʒivɔt	ʒǐʋɔt	ʒɪvot					ʒivɔt		
LIFE_2										ʒiʋle˦ːnɛ	
LIFE_3	ʐɨtʦʲɔ						ʐɨʨɛ				ʐɪtʲːɑ
LIFE_4								ʒɨznʲ			
LIFE_5					ʣiːvɛ	ɡʲiːʋîːbeː					
LIFE_6						ɡʲiːʋɛ̌nʲɪmɐs					
LIFT_1		izdiɡna	dîɡnuti						zdviɦnuːc		
LIFT_2										priʋzdi˨ːɡniti	
LIFT_3				zvɛdnoʊ̯t							
LIFT_4	padnʲaʦʲ						pɔdniɛɕʨ	pɐdnʲaˑtʲ			pʲidnʲɑtɪ
LIFT_5					pɑʦɛlt	pɐkêˑɫtʲɪ					
LIGHT_(IGNITE)_1	zapaliʦʲ	zapaʎa	upǎːliti~zapǎːliti	zapaːlɪt~potpaːlɪt			zapaliʨ		zapaːɫic		zɑpɑlɪtɪ
LIGHT_(IGNITE)_2										zaʒɡa˨ːti	
LIGHT_(IGNITE)_3								zɐʒɛˑʨ			
LIGHT_(IGNITE)_4						pɐdɛ̂ɡtʲɪ					
LIGHT_(IGNITE)_5					ai̯zdɛkt~ai̯zdɛʣinɑːt						
LIGHT_(RADIATION)_1	svʲatlɔ	svɛtlina	sʋjɛ̌tlɔ	zvjɛtlo			ɕfiatwɔ	svʲeˑt	zvɛtɫɔ		svitlɔ
LIGHT_(RADIATION)_2										lu˨ːʧ	
LIGHT_(RADIATION)_3						ʃʋiəsɑ̂					
LIGHT_(RADIATION)_4					ɡai̯zmɑ						
LIKE_1		ɔbiʧam									
LIKE_2			ʋɔ̌ʎɛti								
LIKE_3										ma˨ːrati	
LIKE_4				miːtraːt					macraːt		
LIKE_5	lʲubiʦʲ						lubiʨ	lubʲiˑtʲ			lʲubɪtɪ
LIKE_6											pɔdɔbɑtɪsʲɑ
LIKE_7						meːɡtʲɪ					
LIKE_8						pɐtʲɪ̂ktʲɪ					
LIKE_9					ɡribeːtiɛ̯s						
LINE_1		ʧɛrta	ʦr̩̂ta								
LINE_2										prɔ˨ːɡa	
LINE_3	linija				liːnijɑ	lʲɪ̂nʲɪjɐ	linia	liˑnʲijə	ɫiːni̯a		lʲinʲijɑ
LINE_4				lɪŋka							
LIP_1		ustna	ûsna								
LIP_2										u˨ːstniʦa	
LIP_3									pɛra		
LIP_4				rɛt							
LIP_5							vaɾɡa				
LIP_6	ɣuba							ɡubaˑ			ɦubɑ
LIP_7					luːpɑ	ɫûːpɐ					
LISTEN_1	sluxaʦʲ	sɫuʃam	slûʃati	posloʊ̯xat			swuxaʨ	sɫuˑʃətʲ			sluxɑtɪ
LISTEN_2										pɔslu˨ːʃati	
LISTEN_3									pɔʧuːvac		
LISTEN_4					ɡlau̯siːtiɛ̯s	kɫɒʊ̯ˑsîːtʲɪs					
LIVER_1		ʧɛrɛndrɔp					vɔntɾɔba				
LIVER_2			jɛ̂tra	jaːtra							
LIVER_3										jɛ˨ːtra	
LIVER_4	pʲɛʈ͡ʂanʲ							pʲeˑʨɪnʲ	pɛʧɛɲ		pɛʈ͡ʂjinkɑ
LIVER_5						kɛ̌pɛnʲiːs					
LIVER_6					ɑɡnɑs						
LIVING_1	ʐɨvɨ	ʒif	ʒîːʋ	ʒɪviː			ʐɨvɨ	ʒɨvɔˑj	ʒiviː		ʐɪwɪj
LIVING_2										ʒi˨ːʋ	
LIVING_3					ʣiːfs	ɡîːʋɐs					
LOAD_1	ʦʲaʐar	tɔvar	tɔ̌ʋar				ʨɛ̃ʐaɾ				tʲɑɦɑr
LOAD_2										to˦ːʋɔr	
LOAD_3									carxa		
LOAD_4				br̝ɛmɛno			bʐɛmiɛ̃		brɛmɛnɔ		
LOAD_5				naːklat							
LOAD_6											wɑntɑʐ
LOAD_7								tʲaˑʒəstʲ			
LOAD_8						nɐʃtɑ̂					
LOAD_9						nɛʃʊɫǐːs					
LOAD_10					ɡrɑvɑ						
LOCK_1		brava	brâʋa								
LOCK_2		kʎuʧaɫka									
LOCK_3										kluʧa˨ːʋniʦa	
LOCK_4	zamɔk			zaːmɛk			zamɛk	zɐmɔˑk	zaːmka		zɑmɔk
LOCK_5						spʲiːnɑ̂					
LOCK_6						ʊ̂ʒrɐktɐs					
LOCK_7					ai̯sːlæːks						
LONG_1		dɤɫɤk									
LONG_2			dûɡ~dûɡaʧak								
LONG_3										dɔ˨ːlɡ	
LONG_4	dɔwɣi			dloʊ̯ɦiː			dwuɡi		dɫ̩ɦiː		dɔwɦɪj
LONG_5								dliˑnnɨj			
LONG_6						ɪ̂ɫɡɐs					
LONG_7					ɡɑrʃ						
LONGING_1		ʒɛɫaniɛ	ʒɛ̌ʎa					ʒɪɫaˑnʲijə			
LONGING_2										ʒe˦ːla	
LONGING_3				br̝aːɲiː					pri̯ani̯e		
LONGING_4	ʐadanʲːɛ						ʐɨʈ͡ʂɛniɛ				
LONGING_5											bɑʐɑnʲːɑ
LONGING_6						troʃkʲɪ̂mɐs					
LONGING_7						pɐɡɛʲɪ̯ˑdǎʋʲɪmɐs					
LONGING_8					veːlmɛ						
LONGING_9					veːleːjums						
LOOK_1	paɣlʲadzʲɛʦʲ	ɡlɛdam	ɔɡlɛ̌ːdati				ɔɡlɔndaʨ				pɔɦlʲɑnutɪ
LOOK_2										ɔɡlɛ˨ːdati	
LOOK_3				podiːvatsɛna					pɔzri̯ecsana		
LOOK_4								pəsmɐtrʲeˑtʲ			
LOOK_5						ʒʲɪuːreːtʲɪ					
LOOK_6					pɑrau̯ʣiːtiɛ̯s						
LOOK_FOR_1		tɤrsʲa									
LOOK_FOR_2			trǎːʒiti								
LOOK_FOR_3										iska˨ːti	
LOOK_FOR_4				ɦlɛdat					ɦʎadac		
LOOK_FOR_5	ʂukaʦʲ						ʂukaʨ				ʂukɑtɪ
LOOK_FOR_6								jɨskaˑtʲ			
LOOK_FOR_7						iəʃkôːtʲɪ					
LOOK_FOR_8					mɛɡleːt						
LOSE_(SOMETHING)_1	zɣubiʦʲ	zaɡubʲa	izɡǔbiti				zɡubiʨ				zɑɦubɪtɪ
LOSE_(SOMETHING)_2										izɡubi˨ːti	
LOSE_(SOMETHING)_3				stracɪt					stratic		
LOSE_(SOMETHING)_4								pətʲɪrʲaˑtʲ			
LOSE_(SOMETHING)_5						pɐmɛ̂stʲɪ					
LOSE_(SOMETHING)_6					zau̯deːt~pɑzau̯deːt						
LOUSE_1	vɔʂ	vɤʃka		vɛʃ			vɛʂ	vɔˑʃ	vɔʃ		wɔʂɑ
LOUSE_2			ûːʃ								
LOUSE_3										u˨ːʃ	
LOUSE_4						ʊteːɫěː					
LOUSE_5					uts						
LOVE_1		ʎubʲa						lubʲiˑtʲ	ʎuːbic	lubi˨ːti	lʲubɪtɪ
LOVE_2			ʋɔ̌ʎɛti								
LOVE_3				mɪlovat	miːleːt	mʲiːɫeːtʲɪ			miɫɔvac		
LOVE_4	kaxaʦʲ						kɔxaʨ				
MAINLAND_1	suʂa	suʃa		soʊ̯ʃ				suˑʃə			suʂɑ
MAINLAND_2			kɔ̂pnɔ							kɔpni˨ːna	
MAINLAND_3										ʦɛli˨ːna	
MAINLAND_4				pɛvɲɪna					pɛvnina		
MAINLAND_5							lɔnt				
MAINLAND_6					sau̯zːɛmɛ	sɒʊ̯ˑsʊmɑ̂					
MAKE_1		napravʲa	nǎpraʋiti								
MAKE_2			urǎːditi								
MAKE_3			naʧǐniti								
MAKE_4										narɛdi˨ːti	
MAKE_5										napra˨ːʋiti	
MAKE_6	zrabiʦʲ						zɾɔbiʨ		rɔbic		zrɔbɪtɪ
MAKE_7				uɟɛlat				sdʲeˑɫətʲ			
MAKE_8						dʲɪ̂rbtʲɪ					
MAKE_9					dɑriːt						
MAN_1	muʐʈ͡ʂɨna	mɤʃ		muʃ			mɛ̃ʂʈ͡ʂɨzna	muʒʨiˑnə	muʃ		
MAN_2			muʃkǎːraʦ								
MAN_3										mɔ˨ːʒ~mo˦ːʃki	
MAN_4									xɫap		
MAN_5											ʈ͡ʂɔlɔvik
MAN_6						ʋîːrɐs					
MAN_7					viːriɛ̯tis	ʋʲiːrʲɪ̂ʃkʲɪs					
MARCH_1		mart	mârt		mɑrts		maʐɛʦ	maˑrt	marɛʦ		
MARCH_2			ɔ̌ʒujak								
MARCH_3										ma˨ːrɛʦ	
MARCH_4				br̝ɛzɛn							bɛrɛzɛnʲ
MARCH_5	sakavik										
MARCH_6						kôːʋɐs					
MASTER_(TRADE)_1	majstar	majstɔr	mâːjstɔr	mɪstr			mistʂ~majstɛɾ	maˑstʲɪr	majstɛr		
MASTER_(TRADE)_2										mɔ˨ːjstɛr	
MASTER_(TRADE)_3											umilɛʦʲ
MASTER_(TRADE)_4					mɛi̯stɑrs	mæ̂ˑʲɪ̯strɐs					
MATTER_(AFFAIR)_1		rabɔta									
MATTER_(AFFAIR)_2			pɔ̌saɔ								
MATTER_(AFFAIR)_3										zadɛ˨ːʋa	
MATTER_(AFFAIR)_4									vɛʦ		
MATTER_(AFFAIR)_5				zaːlɛʒɪtost					zaːɫɛʒitɔsc		
MATTER_(AFFAIR)_6	sprava						spɾava				sprɑwɑ
MATTER_(AFFAIR)_7								dʲeˑɫə			
MATTER_(AFFAIR)_8						dɐɫǐːkɐs					
MATTER_(AFFAIR)_9						rɛʲɪ̯ˑkɐɫɐs					
MATTER_(AFFAIR)_10					dɑriːʃɑnɑ						
MAY_1	maj	maj	mâːj				maj	məj	maːj		
MAY_2			sʋîːbaɲ								
MAY_3										ma˨ːj	
MAY_4				ɡvjɛtɛn							
MAY_5	travʲɛnʲ										trɑwɛnʲ
MAY_6						ɡɛɡʊʒěː					
MAY_7					mai̯js						
MEADOW_1		livada	lǐʋada								
MEADOW_2										tra˨ːʋnik	
MEADOW_3				loʊ̯ka			wɔŋka	ɫuˑk	ɫuːka		lukɑ
MEADOW_4	luɣ										luɦ
MEADOW_5						pîəʋɐ					
MEADOW_6					bʎɑvɑ						
MEAL_1		jadɛnɛ					jɛʣɛniɛ				
MEAL_2			ɔ̌brɔk								
MEAL_3										xra˨ːna	
MEAL_4				jiːdlo				jɪdaˑ	jɛdɫɔ		
MEAL_5	jɛʐa										jiʐɑ
MEAL_6						ʋɐ̂ɫˑɡʲɪs					
MEAL_7					eːdiɛ̯ns						
MEANING_1		smisɤɫ	smîːsaɔ	smɪsl			zmɨsw	smɨˑsɫ	zmisɛɫ		zmist
MEANING_2			znǎːʧɛːɲɛ								znɑʈ͡ʂɛnʲːɑ
MEANING_3										pɔmɛ˦n	
MEANING_4										smi˨ːsɛl	
MEANING_5	sɛns										
MEANING_6						prɐsměː					
MEANING_7					nuɔ̯ziːmɛ						
MEASURE_1	mʲɛraʦʲ	mɛrʲa	mjɛ̂riti	mɲɛr̝ɪt	meːriːt		miɛʐɨʨ	mʲeˑrʲitʲ	mɛrac		mirʲɑtɪ
MEASURE_2										mɛ˨ːriti	
MEASURE_3						mɐtûətʲɪ					
MEAT_1	mʲasa	mɛsɔ	mɛ̂ːsɔ	maso		meːsɑ̂	miɛ̃sɔ	mʲaˑsə	mæsɔ	mɛsɔ˨ː	mjɑsɔ
MEAT_2					ɡɑʎɑ						
MEDICINE_1	lʲɛki	lɛk	lîjɛk	lɛːk					ɫi̯ek		lʲikɪ
MEDICINE_2		lɛkarstvɔ					lɛkaɾstfɔ	lɪkaˑrstvə			
MEDICINE_3										lɛ˨ːk	
MEDICINE_4										zdraʋi˨ːlɔ	
MEDICINE_5						ʋâˑʲɪ̯stɐs					
MEDICINE_6					zɑːlɛs						
MEDICINE_7					mɛdikːɑmɛnts						
MEET_1	sabratʦa	sɤbɛrasɛ					zɛbɾaʨɕɛ̃	sɐbraˑtʲsʲɪ			zʲibrɑtɪsʲɑ
MEET_2			ɔ̌kupitisɛ								
MEET_3										zbra˨ːtisɛ	
MEET_4				zɦromaːʒdɪtsɛ			zɡɾɔmaʥiʨɕɛ̃		zɦrɔmaʒdicsa		
MEET_5						sʊsʲɪrʲɪ̂nˑktʲɪ					
MEET_6					sɑlɑsiːtiɛ̯s						
MEET_7					sɑpːulʦeːtiɛ̯s						
MELT_1		raztɔpʲasɛ	tɔ̌pitisɛ								
MELT_2										kɔpnɛ˨ːti	
MELT_3	plavitʦa			tavɪt				pɫaˑvʲitʲsʲɪ	tavicsa		plɑwɪtɪsʲɑ
MELT_4							tɔpniɛʨ				
MELT_5						ɫîːdʲiːtʲɪs					
MELT_6					kust~nuɔ̯kust						
MEMORY_1	pamʲaʦʲ	pamɛt		pamɲɛc			pamiɛnʨ	paˑmʲɪtʲ	pamæc		pɑmjɑtʲ
MEMORY_2			pâːmʨɛːɲɛ								
MEMORY_3										pa˨ːmɛt	
MEMORY_4					ɑdmiɲɑ	ɐtmʲɪntʲɪ̂s					
MERRY_1	vʲasʲɔlɨ	vɛsɛɫ	ʋɛ̂sɛɔ	vɛsɛliː			vɛsɔwɨ	vʲɪsʲoɫɨj	vɛsɛɫiː		wɛsɛlɪj
MERRY_2										ʋɛsɛ˨ːl	
MERRY_3						smɐɡʊ̂s					
MERRY_4						lʲɪ̂nˑksmɐs					
MERRY_5					jau̯drs						
MESSAGE_1	vʲɛstka	vɛst	ʋîjɛst								
MESSAGE_2		izvɛstiɛ									
MESSAGE_3										spɔrɔʧi˨ːlɔ	
MESSAGE_4				spraːva					spraːva		
MESSAGE_5							viadɔmɔɕʨ				
MESSAGE_6	pavʲɛdamlʲɛnʲːɛ										pɔvidɔmlɛnʲːɑ
MESSAGE_7								səɐbʃʲːeˑnʲijə			
MESSAGE_8					ziɲɑ	ʒʲɪnʲɛ̂					
MIDDAY_1		ɔbɛt									
MIDDAY_2	pawdnʲa	pɫadnɛ	pɔ̌ːdnɛ	polɛdnɛ			pɔwudniɛ		pɔɫudni̯e		
MIDDAY_3										pɔ˨ːldan	
MIDDAY_4	pɔwdzʲɛnʲ							pɔˑɫdʲɪnʲ			pʲiwdɛnʲ
MIDDAY_5						ʋʲɪdʊ̂rdiənʲɪs					
MIDDAY_6					puzdiɛ̯nɑ						
MIDDLE_1		srɛda		zdr̝ɛt					strɛt	srɛdi˨ːna	
MIDDLE_2	sʲarɛdzina		srɛdǐna					sʲɪrʲɪdʲiˑnə			sɛrɛdɪnɑ
MIDDLE_3				prozdr̝ɛdɛk			ɕɾɔdɛk				
MIDDLE_4					vidus	ʋʲɪdʊrǐːs					
MILK_1	malakɔ	mʎakɔ	mlijɛ̌kɔ	mlɛːko			mlɛkɔ	məɫɐkɔˑ	mɫi̯ekɔ		mɔlɔkɔ
MILK_2										mlɛ˨ːkɔ	
MILK_3					piɛ̯ns	pîənɐs					
MIND_1		um	ûːm					uˑm			
MIND_2	rɔzum	razum	râzuːm	rozum			ɾɔzum		rɔzum		rɔzum
MIND_3					brɑːts	prǒːtɐs					
MIRROR_1		ɔɡlɛdaɫɔ	ɔɡlɛ̌dalɔ							ɔɡlɛda˨ːlɔ	
MIRROR_2			zr̩̂ʦalɔ	zrʦadlo				zʲeˑrkəɫə	zr̩kadɫɔ		ʣɛrkɑlɔ
MIRROR_3										zrʦa˨ːlɔ	
MIRROR_4	lʲustra						lustɾɔ				
MIRROR_5						ʋæ̂ˑʲɪ̯drodʲɪs					
MIRROR_6					spuɔ̯ɡulis						
MISTAKE_1		ɡrɛʃka	pɔ̌ɡrɛʃka~ɡrîjɛʃka								
MISTAKE_2										zmɔ˨ːta	
MISTAKE_3	pamɨlka								ɔmiɫ		pɔmɪlkɑ
MISTAKE_4				xɪba					xiba		
MISTAKE_5							bwɔnt				
MISTAKE_6								ɐʃɨˑbkə			
MISTAKE_7					ɡʎuːdɑ	kɫɐʲɪ̯ˑdɑ̂					
MONDAY_1	panʲadzʲɛlak	pɔnɛdɛɫnik	pɔnɛ̌djɛʎak~pɔnɛ̌djɛʎnik	ponɟɛliː~ponɟɛlɛk			pɔniɛʥawɛk	pənʲɪdʲeˑlnʲik	pɔndɛɫɔk		pɔnɛdʲilɔk
MONDAY_2										pɔnɛdɛ˨ːlɛk	
MONDAY_3					pirmdiɛ̯nɑ	pʲɪrmǎdiənʲɪs					
MONEY_1		pari									
MONEY_2			nɔ̌ʋaʦ								
MONEY_3										dɛna˨ːr	
MONEY_4				pɛɲiːzɛ			piɛniɔnʣɛ		pɛni̯azɛ		
MONEY_5	ɣrɔʂɨ										ɦrɔʂji
MONEY_6								dʲeˑnʲɡi			
MONEY_7						pʲɪnʲɪɡɐʲɪ̯ˑ					
MONEY_8					nau̯dɑ						
MONTH_1	mʲɛsʲaʦ	mɛsɛʦ	mjɛ̂sɛːʦ	mɲɛsiːʦ			miɛɕɔnʦ	mʲeˑsʲɪʦ	mɛsi̯aʦ		misʲɑʦʲ
MONTH_2										mɛ˨ːsɛʦ	
MONTH_3					meːnɛsːis	mêːnuə					
MOON_1		ɫuna						ɫunaˑ			
MOON_2	mʲɛsʲaʦ	mɛsɛʦ	mjɛ̂sɛːʦ	mɲɛsiːʦ					mɛsi̯aʦ		misʲɑʦʲ
MOON_3										lu˨ːna	
MOON_4										mɛ˨ːsɛʦ	
MOON_5							kɕɛ̃ʐɨʦ				
MOON_6					meːnɛsː	meːnʊ̂lʲɪs					
MOOR_1		mɔʧuriʃtɛ	mɔ̌ʧʋara						mɔʧi̯ar		
MOOR_2										ba˨ːrɛ	
MOOR_3				baʒɪna~slacɪna							
MOOR_4							baɡnɔ				
MOOR_5	balɔta							bɐɫɔˑtə			bɔlɔtɔ
MOOR_6						pêˑɫkeː					
MOOR_7					purfs						
MOOR_8					muɡlɑːjs						
MORNING_1		utrɔ~sutrin	jûtrɔ	jɪtro				uˑtrə			
MORNING_2										ju˨ːtrɔ	
MORNING_3	ranak~raniʦa			raːno			ɾanɛk~pɔɾanɛk		raːnɔ		rɑnɔk
MORNING_4					riːts	rîːtɐs					
