Gloss	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
OTHER_6												tonrua																		
OTHER_7													falu																	
OTHER_8															laa						ɡaa									
OTHER_9																						ʔosetasi								
OTHER_10																						isi								
PAINFUL OR SICK_1	ŋaeŋae																								ŋaeŋae					
PAINFUL OR SICK_2		maʔi	maʔi	masaki	masaki	maki	maʔi					masaki	maki		maki		maki				masaki	maʔi		maʔi		mahaki		malaɡa	maki	mahaki
PAINFUL OR SICK_3			paʔo																											
PAINFUL OR SICK_4				aleale																										
PAINFUL OR SICK_5				mamae		ʰmae		mhae	mmae	mamae				memae		mamae			mamae	mamae	mamae		mamae	mamae			mamae			
PAINFUL OR SICK_6									usu						isu															
PAINFUL OR SICK_7											maauiui								mauʔiuʔi	maauiui							maauiui			
PAINFUL OR SICK_8																	tiŋaa													
PATH OR ROAD_1	ara			ala	ara		ala	ala	ala	ara	ara	ara	hala			ara		ara	ara	ara	aɡa	ala	ala	ara	ara	hala	ara	auala	ala	ala
PATH OR ROAD_2		puɢumu	puruumu															puruumu						puruumu						
PATH OR ROAD_3			araʔaraʔa																											
PATH OR ROAD_4						retu																								
PATH OR ROAD_5														vaʔa																
PATH OR ROAD_6															haarena															
PATH OR ROAD_7																	ŋutuala													
PATH OR ROAD_8																								ʔeeʔa						
PERSON_1	taŋata	taʔata	taʔata	taɡata	taŋata	tafata	kanaka	daŋada	kaŋaka	taŋata	taŋata	taŋata	taŋata	ʔenata		taŋata	taŋata	taŋata	taɡata	taŋata	taŋata	taŋata	tanata	taʔata	taŋata	taŋata	taŋata	taɡata		taɡata
PERSON_2														kenana																
PERSON_3															tama		tama						tama							
PERSON_4																	kovi													
PERSON_5																													tai	
PLANT (SOMETHING)_1	too			too							too		too									too	too		too	too			tʰoː	too
PLANT (SOMETHING)_2		tanu	tanu				kanu	tanu		tanu				nanu		tanu	tanu			tatanu				tanu			tanu			
PLANT (SOMETHING)_3						pʰura																								
PLANT (SOMETHING)_4															toki		poki~toki		oka										tokia	
POUND_1	tuki		tuʔi			tutʰukia	kuʔi	tuɡi	kuʔi	tuki	tuki		tuki	tuʔi	tuki	tuki	tukituki			tuki	tuki	tuʔituʔi	tuki		tuki	tuki	tuki	tukituki		tuki
POUND_2		oɢooɢo																												
POUND_3			paʔi																					paapaaːpahia						
POUND_4				soka																										
POUND_5															rriki															
POUND_6																	patupatu													
RAIN (PRECIPITATION)_1	ua	ua	ua		ua	ua	ua	ua	ʔua	ua	ua	ua	uha	ua	ua	ua	ua	ua	ʔuua	ua	ʔua	ua	ua	ua	ua	ʔuha	ua	ua	ua	ʔua
RAIN (PRECIPITATION)_2				ʔuaina																										
RAIN (PRECIPITATION)_3																						timu						timu		
RAT_1	kiore	ʔioɢe	ʔiore				ʔiole		iole	kiore	kiore			kioʔe		kire	kiole		kioʔe	kiore	kioɡe	ʔiole	kiole	ʔiore	kiore		kiore	kiole		
RAT_2	kumaa			kimoa	kimoa	kimoa						kimoa	kumaa		kimoa							ʔimoa			kumari	kumaa		kimoa		kuma
RAT_3												kisue																		
RAT_4														kumakuma																
RAT_5																													lepuu	
RED_1	mero										fero						melo								mero					
RED_2	oata			soata																										
RED_3		ʔuteʔute																		ʔute				ʔuteʔute						
RED_4			ʔuraʔura															muramura												
RED_5				mea		mea		mmee	mea			mea			mmea				mea		mea	mea	mea		mea		mea		mea	
RED_6				kula			ʔula			kura			kula			kura	kula	kura		kura	kuɡa	ʔula				kulokula	kura	kula		kula
RED_7					loa																									
RED_8														pukiki																
RED_9														kuwa																
RED_10																			herohero			melomelo								
RIGHT_1	matau	ʔatau	ʔatau		matau	matau		tau			matau~katau	matau	matau			katau	maatau	katau	mataʔu	katau		taumatau		ʔatau	matau	mataʔu	katau	matau		mataʔu
RIGHT_2				ʔatamai										atamai									atamai					atamai		
RIGHT_3							ʔaakau																							
RIGHT_4								tonu																						
RIGHT_5									laaua																					
RIGHT_6														ʔimaoko																
RIGHT_7															maua						maui									
RIGHT_8																												poto		
RIGHT_9																													toilo	
ROOT_1	tapito																													
ROOT_2		aʔa	aʔa	aka		akai	aʔa	aɡa		aka			aka	aka		aka	aka	aka	aka			aʔa		aʔa		aka	aka		aka	aka
ROOT_3					kairakau																									
ROOT_4									paʔiaʔa		pakiaka				patiaka					pakiaka	paʔiaʔa		patiaka		vaiaka					
ROOT_5												kasikoa																		
ROOT_6																												poɡai		
ROPE_1	maea			maea				moea	maea			mea			maea							maea	maea		maea	maea		maea		maea
ROPE_2		nape																												
ROPE_3			taura	taula		taura	kaula	taura		toura	taura		toua	touʔa		taura	taula	taula	taura	taura	tauɡa			taura			taura			taula
ROPE_4					faβa	vava						wawa			haha															
ROPE_5										kaka					uka~kaha		kawa													
ROPE_6															kaavei															
ROPE_7																											patoko			
ROPE_8																												lopu		
ROPE_9																													hau	
ROTTEN_1	popo			popo	popo	popo		bobo	popo	popo		popo	popo		popo	popo				popo	popo		popo				popo	pupu		popo
ROTTEN_2	para		para	pala		para~purau	pilau		pala	para	pirau		pala	paʔa	para	para	papala	para	para	para	paɡa	pala	pala		para	pala	para		pala	pala
ROTTEN_3		henoheno																												
ROTTEN_4														pee																
ROTTEN_5															vii		vii													
ROTTEN_6															mmahi															
ROTTEN_7															varevare															
ROTTEN_8																	eku								kuu					
ROTTEN_9																								ʔoopeoːpe						
SALT_1		ʔavaʔava																												
SALT_2			miti							miti							miti		miti	miti		miti		miti			miti			
SALT_3				paʔatai			paʔakai							paʔatai																
SALT_4					tai																tai									tai
SALT_5						sol																								
SALT_6											tote																			
SALT_7												mara																		
SALT_8													matima									maasima				maasima		maasima		
SALT_9														puhinaʔu																
SALT_10														kanatai																
SALT_11															horo															
SAND_1	kere								ʔele						kerekere		kelekele													
SAND_2		one	one	ʔone	one	one	one	one		one	one		one	one		one	one	one	one	one	ʔone	oneone	one	one	one	ʔoneʔone	one		one	one
SAND_3												waraune																		
SAND_4																	tini													
SAND_5																												fuu		
SAY_1	karaŋa																			karaŋa										
SAY_2		paɢaupaɢau	parau											peʔau										parau			parau			
SAY_3				pati				tapa																						
SAY_4					muna																				muna					
SAY_5						tuku						tokua		tekao														taku	tukua	
SAY_6							ʔoolelo				koorero									koorero										
SAY_7									kakala													tautala	taatala							
SAY_8									meaʔe								mea													
SAY_9										ki								ki	kii											
SAY_10													kepehe													pehee				
SAY_11															hua~hai															
SAY_12																				tuatua										
SAY_13																					heŋɡeu									
SAY_14																												faipati		
SCRATCH_1	koii																													
SCRATCH_2		maʔeɢo																							maŋiso				maŋeo	
SCRATCH_3			raʔuraʔu		rakutia			llaɡu	laʔu		rakuraku		laku		rakuraku	raku	laku	raraku	raku	raraku			laku	raʔuraʔu			raku			
SCRATCH_4				vaku			walu															felaʔu				vaku				
SCRATCH_5						araʃia		lodi					alati															alati		alasi
SCRATCH_6										keneʔu																				
SCRATCH_7												sakaroa																		
SCRATCH_8														tuveʔe																
SCRATCH_9															araara						aŋɡaaŋɡa									
SCRATCH_10																			katikati											
SEA_1	vata																													
SEA_2	moana		moana	moana			moana	moana	moaŋa	moana	moana		moana	moana	moana	moana	moana		moana	moana	moana	moana	moana	moana	moana		moana	moana	moana	
SEA_3		miti																						miti						
SEA_4			tai	tai	tai	tai	kai	dai		tai	tai	tai	tahi	tai	tai		tai	tai	tai	tai	tai	tai			tai	tahi	tai	tai		tai
SEA_5																						sami								
SEA_6																													tʰaupeː	
SEE_1	mamata			matamata				mada					mata								mata	matamata								
SEE_2		ʔite		kite	kutea		ʔike		ʔike		kite			ʔite	kite		kitea			kite	kite	ʔite	kite	ʔite	kite		kite		kutea	
SEE_3			naanaaːna							nana																				
SEE_4				tio																						sio				sio
SEE_5						safea																								
SEE_6												sereia																		
SEE_7																		tititiro												
SEE_8																			tikea											
SEE_9																						vaʔai								
SEE_10																												pula		
SEE_11																												kilo		
SEVEN_1	pitu	hitu	ʔitu	fitu	fitu	fitu	hiku	hidu	hiku	ʔitu	fitu	eβitu	fitu	fitu	hitu	hitu	witu		hitu	itu	hitu	fitu	hitu	hitu	fitu	fitu	hitu	fitu	hitu	fitu
SEW_1	titina																													
SEW_2		niɢa	nira																					nira						
SEW_3			tiiʔai																											
SEW_4			au																					au						
SEW_5				tui	tuitui	tui		dui	kui	tue	tui	tuia	tui	tui	ttui	tui	tui	tuitui	tui	tui	tui		tui		tui	tuitui	tui			tui
SEW_6						sukia																suʔi								
SEW_7							humuhumu																							
SEW_8																		ruru												
SEW_9																													tohia	
SHARP_1	kakai			fakakaa~kakai	makakai																hakakaa~kakai									
SHARP_2		ʔoi	ʔoi				ʔoi			koikoi	koi			koi		koi	kokoi	koi		koi				ʔoi			koi			
SHARP_3						matakai						matʃikai										maʔai			mata			matakai		
SHARP_4								ɡaa	ʔaa						kaa								kaa							
SHARP_5													matila									masele				maasila			mfasele	maasila
SHARP_6																	niniva													
SHARP_7																			kaʔi											
SHARP_8																											popo			
SHARP_9																													mdakhaa	
SHOOT_1		teʔa	teʔa																	taa				teʔa						
SHOOT_2				kalolo																										
SHOOT_3						fana	pana				fana		fana		hana	hana	wena	fana			hana	fana			fana	fana	hana	fana	hanaia	fana
SHOOT_4									pihi					puhi				pupuhi												
SHOOT_5														toi																
SHORT_1	nounou													nohinohi												nounou				
SHORT_2		poto	poto			poto	pookole	bodo	poko	poto	poto			poto	potopoto	poto	puupoto		poto	poto		poto	poto	poto			poto		popoto	
SHORT_3				leka																	leka									
SHORT_4						saka					hakahaka					sakasaka						saʔasaʔa								
SHORT_5													puku								puku	puʔupuʔu			pukupuku					pukupuku
SHORT_6																	puunekeneke													
SHORT_7																												toetoe		
SHOULDER_1		paʔuhi	paʔoʔi																								pakihui			
SHOULDER_2				uma																	uma					uma		tuauma		ʔuma
SHOULDER_3					pamu							pamu																		
SHOULDER_4						pakau																			kapakau				papakau	
SHOULDER_5							poʔohiwi			pakuʔivi	pakihiwi			paufifi			pokoivi	pakuivi	kapuhivi	pokoivi										
SHOULDER_6													tuke																	
SHOULDER_7															ruamona															
SHOULDER_8																						tauʔau								
SHOULDER_9																								tapono						
SHY OR ASHAMED_1	paka		ʔaʔamaa							ʔakaama	fakamaa						akamaa													
SHY OR ASHAMED_2		maamahu																						maamahu						
SHY OR ASHAMED_3				maa~luma		ʰma							maa			maa					maa	maa				maa		mamaa	maa	maa~luma
SHY OR ASHAMED_4							hilahila	hila														silasila								
SHY OR ASHAMED_5														hakaika																
SHY OR ASHAMED_6															napa															
SHY OR ASHAMED_7																			haa											
SHY OR ASHAMED_8																				taaʔakamaaːʔakama										
SHY OR ASHAMED_9																						matamuli								
SHY OR ASHAMED_10																									koro					
SIT_1	nopo	nohotu	noʔo	nofo	nofoiraro	nofo	noho	noho	ŋoho	noʔo	noho	nofo	nofo	noho	noho	noho		noho	noho	noʔo	noho	nofo	noho		nofo	nofo	noho	noho	noho	nofo
SIT_2			araʔi																					paarahi						
SIT_3						buku																								
SIT_4																	noonooːno													
SIT_5																										taŋutu				
SIX_1	ono	ono	ono	ono	ono		ʔeono		oŋo	ono	ono	eono	ono	ono	ono	ono	ono	ono	ono	ono	ono	ono	ono	ono	ono	ono			ono	ono
SIX_2																											fene			
SKIN_1	kiri	ʔiɢi	ʔiri	kili	kiri	kiri	ʔili	ɡili	ʔili	kiri	kiri	kiri	kili	kiʔi	kiri	kiri	kili	kiri	kiri	kiri	kiɡi	ʔiliola	kili	ʔiri	kiri	kili	kiri	kili	kilihino	kili
SKIN_2																						paʔu						pau	paku	
SKY_1	raŋi	ɢaʔi	tuaraʔi	laɡi	raŋi	raɡi	lani	laŋi	laŋi	raŋi	raŋi	raŋi		ʔaŋi		raŋi	laŋi	laŋi	raɡi	raŋi	ɡaŋi	laŋi	lani	raʔi	raɡi	laŋi	raŋi	laɡi	velaŋi	laɡi
SKY_2												maloa																		
SKY_3															kaniva															
SLEEP_1	moe	moe	moe	moe	moe	moeroa	moe		moe	moe	moe	moe	mohe	hiamoe	moe	moe	momoe	moe	moe	moe	moe	moe	moe		moe	mohe	moe	moe	moe	moe
SLEEP_2					ŋoro																									
SLEEP_3								khi																						
SLEEP_4																	lowi													
SLEEP_5																								taʔoto						
SMALL_1	riki						liʔi						liki	ʔiki			liliki				ɡiki		liki				riki	foliki	likiliki	
SMALL_2		iti	maaitiiti		titi						iti			iti		iti		meeiti	iti	iti		itiiti					iti			
SMALL_3				ʔikiʔiki											punarikiriki															
SMALL_4						sisi																				siʔi				siʔi
SMALL_5								bodo						poto		poto			poto	poto										
SMALL_6									suli																					
SMALL_7										niŋore																		fonini		
SMALL_8												kekela																		
SMALL_9													puku												pukupuku					pukupuku
SMALL_10														kaiu																
SMALL_11																	lewu													
SMALL_12																								naʔinaʔi						
SMALL_13																													kiko	
SMELL (PERCEIVE)_1	nanamu					namuia																				naamuʔi			namu	
SMELL (PERCEIVE)_2		hauʔa	ʔauʔa															hauŋa					saona	hauʔa						
SMELL (PERCEIVE)_3				soɡi		soŋi	honi	hoŋi	soŋi	ʔoŋi	hoŋi		hoŋi	hone		soŋi	joŋi		hoɡi	ʔoŋi		soŋi		hoʔi	soŋi		hoŋi	hoɡi		hoɡi
SMELL (PERCEIVE)_4					saŋotia																									
SMELL (PERCEIVE)_5								tuŋu				sunoŋoa			hunu								sunu							
SMELL (PERCEIVE)_6																					puʔia									
SMOKE (EXHAUST)_1	autiapi			aausia																					ausiafi					
SMOKE (EXHAUST)_2		auauahi	auauaʔi		asuafi		uahi			ahi	auahi			auahi		auahi			auahi	auaʔi	ʔauahi			auauahi			auahi			
SMOKE (EXHAUST)_3						au							ahu		au		au	au				asu	au			ʔahu		au		ʔahu
SMOKE (EXHAUST)_4								seahi																						
SMOKE (EXHAUST)_5									ʔohu						kohu										kofu				kohu	
SMOKE (EXHAUST)_6												silaŋo																		
SNAKE_1			ooʔioːʔi														oovioːvi			ʔoouioːui				ʔoofioːfi						
SNAKE_2				ɡata	ŋata	ŋata						ŋatasai	ɡata		kata						ŋata	ŋata				ŋata			ŋata	
SNAKE_3							naheka		ʔaka																					
SNAKE_4											naakahi																			
SNAKE_5														puhihenua																
SNAKE_6																							sineki							
SNAKE_7																									ŋau					
SPIDER_1	karevereve			kaleveleve				lewelewe	velevele	puuŋawerewere	puŋaawerewere			veʔeveʔe	revereve							ʔapoŋaaleveleve	velevele					poɡaaleveleve		kavelevele
SPIDER_2		tuʔunui																						tuutuuːturahonui						
SPIDER_3			ʔapuamaʔamaʔa														maŋamaŋa											makamaka		
SPIDER_4						toutouafare																								
SPIDER_5							lanalana																							
SPIDER_6													kufani																	
SPIDER_7																			honu							hina				
SPIDER_8																				tukutuku							tukutuku		tukutuku	
SPIDER_9																					ɡaba									
SPIT_1	anu			ʔaʔanu	nusi					anuanu		tanue	anu						aanu			anu			aanu	ʔanuhi	anu	anu		anu
SPIT_2		tuutuha	tutuʔa				kuha				tuha			tufa										tutuha			tufa			
SPIT_3				kisu																										kisu
SPIT_4						saavaria			saavale						saavare		juuvale	huuvare					saavale						ivalea	
SPIT_5							pupuhi																					puhi		
SPIT_6								pui									puaki	puaki		puaki									phuia	puʔaki
SPIT_7										kae																				
SPIT_8																suupeuːpe														
SPIT_9																					ŋaʔesu									
SPLIT_1	pai						waahi		vahi								vavaji	vaahi		vaaʔi			vae	vaahi		fahi				
SPLIT_2		paahaɢa																												
SPLIT_3			piʔiai																ihi									ihi		
SPLIT_4			naʔaʔa							aʔae									ɡaha	ŋaʔaa										
SPLIT_5			vaavaaːvaʔi								waawaaːwahi																			
SPLIT_6				fakapaisi																										
SPLIT_7					tafaia	tapasi						tapasia								tapaʔi							tapahi			
SPLIT_8								mahaa							hhaa	haa					hahaʔa		haa		faa				mahaa	
SPLIT_9													matofi		ttohi							matofi								
SPLIT_10														koava																
SPLIT_11																		hakamaŋamaŋa												
SPLIT_12																											maataaːtataaːtaːta			
SPLIT_13																														taʔaɡa
SQUEEZE_1	kukumi			kukumi		kumkumia				kukumu							kuku				kukumi		kumi		kumi			kumi		
SQUEEZE_2	tatau												tatau		ttau			tatau		tatau						tatau		tau	tauia	
SQUEEZE_3		ɢoɢomi							lomi				lomi	ʔomi		romi		roromi		romi	ɡomi							lomi		
SQUEEZE_4			ʔuʔumu																			ʔoʔomi		ʔuʔumu						
SQUEEZE_5			neʔineʔi																											
SQUEEZE_6					toβia							molia																		
SQUEEZE_7							ʔuwii																							
SQUEEZE_8								hakapui										hakaoo												
SQUEEZE_9											kotee																			
SQUEEZE_10														koko																
SQUEEZE_11														hota																fota
SQUEEZE_12																			ɡatu											
SQUEEZE_13																											ŋiŋiti			
SQUEEZE_14																													vakaia	
STAB_1	tokai			sokaʔi							oka		hoka				joka		oka		soka		sookai			hoka	hoka			hoka
STAB_2		pipiha																pupuhi												
STAB_3			paatia													paatia		paatiatia		paatiatia				paatia						
STAB_4				suki	sukia	suki		huɡi		ʔuki		sukia	huki	huki	unuki				huki		suki		suki		suki		huki		ukia	huki
STAB_5					laβoa																									
STAB_6							hou			ko							koo													
STAB_7								daalo	kalo																					
STAB_8									koʔi																					
STAB_9															vvoro			velo		verovero								velo		
STAB_10																						tui				tuiʔi		tui		
STAND_1	tuu	tuu	tuu	tuʔu		tu	ku	duu	uu		tuu		tuu	tuu	tuu	tuu	wetuu	tuu	tuʔu	tuu	tuʔu	tuu	tuu		tuu	tuʔu	tuu	tuu	tʰuː	tuʔu
STAND_2		tia																						tiʔa						
STAND_3					tuiruŋa																									
STAND_4										ʔakaatuaːtu																				
STAND_5												telao																		
STAR_1	petuu			fetuʔu	fetu	fatuu		heduu	heku	ʔetu	fetuu		fetuu	fetoe	hetuu	hetuu	wetuu	feetueːtu	hetuʔu	ʔeetueːtu	hetuʔu	fetuu	hetuu		fetuu	fetuʔu	hetuu	fetuu	hetuu	fetuʔu
STAR_2		hetiʔa	fetiʔa																					fetiʔa						
STAR_3							hookuoːku																							
STAR_4												masoi																		
STAR_5																	mata													
STAR_6																		vairaŋakaveiŋa												
STEAL_1	kaia	ʔeiaa	ʔeiaa	kaiʔaa				ɡaihaa					kaihaa			kaiaa	kaiaa	kaiaa		keiaa	kaiaʔa	ʔaisaa	kaiaa	ʔeiaa	kaia	kaihaʔa	keiaa	kaiaa	kaia	
STEAL_2						ʃiŋo																								
STEAL_3							ʔaihue							kaihue																
STEAL_4									ailaiao																					
STEAL_5										kamo				kamo																
STEAL_6											taahae																			
STEAL_7															huu															
STEAL_8																			kori											
STEAL_9																						ŋaoi								
STICK_1	raakau		raaʔau	laʔakau	rakau	rakau	laaʔau	laaɡau		rakau	raakau	rakau	laakau	ʔakau	raakau	raakau	laakau			raakau	ɡaʔakau	laaʔau	laakau	raaʔau	rakau	ʔakau	raakau	laakau	lakau	ʔakau
STICK_2						ranea																								
STICK_3																		motumotu												
STICK_4																			miro											
STONE_1	patu		poʔatu	fatu		faatu	poohaku	hadu	haku	poʔatu	koofatu	fatu	patu		hatu	poohatu	watu	fatu~poohatu		pooʔatu		fatu	hatu		fatu		poofatu~hatu	fatu	hatu	
STONE_2		ʔohai	ʔooʔaʔi																					ʔoofaʔi						
STONE_3				maka	maka								maka									maʔa				maka				maka
STONE_4														keʔa~hatukeʔaa																
STONE_5																		toka												
STONE_6																			maʔea											
STONE_7																					balu									
SUCK_1	miti								miki	miti			miti				miti	miti		miti	miti		mmiti		miti		miti	mimiti	mihikia	mihi
SUCK_2		ʔote	ʔote								ŋote					ŋote	ŋote	ŋote		ŋotea				ʔote						
SUCK_3				momi	mumu	umi						tomia			umiumi						umi		umiumi				momi			momi
SUCK_4				komo			omo			omo				omo	homohomo				omo											
SUCK_5								u							uu															
SUCK_6																		fakaroroma												
SUCK_7																				ʔia										
SUCK_8																						susu				huhu				
SUCK_9																									puku					
SUCK_10																											ŋoŋo			
SWELL_1	uura			fula		fura			ehula				fula	huhuʔa	hhura						huhuɡa	fula	hula		fura	pupula		fufula		fula
SWELL_2		oopupu															pupute			oopuepue							koropuupuuːpu			
SWELL_3			ʔoru																	ŋaru				ʔoru						
SWELL_4							huu												ahu											
SWELL_5								ki																						
SWELL_6										ʔakatekire										ʔakapetetue										
SWELL_7											puku				pupuu	puku													puku	
SWELL_8														hete																
SWELL_9																		puena												
SWELL_10																		hakaea												
SWELL_11																						fefete						fefete		
SWIM_1	kau	ʔau	ʔau	kau	kaokao	kau	ʔau	kau	ʔau	kau	kauhoe	kaukau	kou	kau	kkau	kau		kaukau	kau	kau	kakau	ʔaʔau		ʔau	kau	kakau	kau	kakau	kau	kau
SWIM_2																	taakele													
SWIM_3																		hopuvai												
SWIM_4																							koukou							
TAIL_1	tiku		ʔuʔu	siku	siku	siku		huku		ʔiku			hiku	hiku		siku	jiku	hiku	hiku	ʔiku	siku	siʔusiʔu		hiʔu	sikusiku	iku	hiku	hiku		hiku
TAIL_2			vero							ave~vero	fiore			veʔo													vaero			
TAIL_3							huelo																	ʔaero						
TAIL_4									mosuʔi						moihuku								muisuki							
TAIL_5												rapue																		
TAIL_6																								ʔitere						
TAIL_7																													pole	
TEN_1	aŋapuru	ʔahuɢu	ʔaʔuru	aɡafulu	ŋafuru	aɡafuru	anahulu	mataŋahoru	saŋahulu	roŋoʔuru	haŋahuru	siŋofuru	hoŋofulu	ʔokohuʔu~ʔonohuʔu	hanahuru	ŋahuru	lauŋaulu		aŋahuru	ŋaʔuru	aŋahuɡu			ʔahuru	aŋafuru	hoŋofulu	ŋahuru	ɡafulu		hoɡofulu
TEN_2							ʔumi																							
TEN_3											tekau																			
TEN_4																			kauatu										katoa	
TEN_5																						sefulu	sehui							
TEN_6																													dumaa	
THAT_1	ena					tena	na								naa							lena			na	koena			tena	
THAT_2			teeraeːra								teeraeːra~teenaeːna						teelaeːla							teeraeːra				teelaeːla~teenaeːna		
THAT_3					ira		la	tera				nera			raa				era			lela								
THAT_4													ia								ia									
THAT_5														teʔaa			teia	teeia												
THAT_6																taua		taua		aua							aua			
THAT_7																														kohee
THATCH OR ROOF_1	taotao																												totohale	
THATCH OR ROOF_2		haɢeniʔau																												
THATCH OR ROOF_3			taapoʔiʔare												tuahare									taapoʔifare						
THATCH OR ROOF_4				ʔato			ako		ʔako	ato			ato	hatu		ato	ato	ato	ato	ato	ʔato	ato	ato			ʔato	ato			ʔato
THATCH OR ROOF_5				inaki					iŋaʔi													inaʔi	inaki							
THATCH OR ROOF_6										paku																				
THATCH OR ROOF_7											raurau														rautau			lau		
THATCH OR ROOF_8																		kaho												
THEY_1	naaua	ɢaaua	raaua	laa	raua	kiraua	laaua		laaua	raaua	raaua	raua			laaua		laaua	raaua	raʔua	raaua		laaʔua	laaua	raaua	raua				lʰaua	naaua
THEY_2		ɢaatou	raatou	lotou	ratou		laakou		laakou	raatou	raatou	ratou		ʔatou	laatou		laatou	raatou		raatou		laatou	laatou	raatou	ratou			laatou	lʰatou	
THEY_3								tikaula																						
THEY_4													maua																	
THEY_5																					kiŋɡatou~kiŋɡaaua					kinautolu				
THICK_1	maatoru			maatotolu	matorutoru	matoru	maakolukolu	maadolu	makolu	maatoru	matotoru	matoru	matolu	motoʔu	maatoru		maatolu	maateru	matoru	maatoru	maatoɡu	matolutolu	maatoru		maatoru	matolu		maatolu		maatolu
THICK_2		meʔumeʔu																						meʔumeʔu						
THICK_3			tuetue																			tuatua					tuʔatuʔa	tuatua		
THICK_4															hamataku															
THICK_5																						mafia								
THICK_6																												tuaefa	eha	
THIN_1	manipi			manifi	manifinifi				maŋihi			manfinifi									maanihi	manifi			nifi	manifi			manihi	manifi
THIN_2		ɢaiɢai	rairai				lahi	rahirahi			rahirahi				rrahi		lalawi	rahirahi	raʔi	rairai				rairai			rahi			
THIN_3						mafinfini																								
THIN_4										rikiriki					tuarikiriki								tualiki					tuaniki		
THIN_5													aleale																	
THIN_6														piʔahiʔahi~kahikahi																
THIN_7														ʔakiaki																
THIN_8																	tutule													
THIN_9																		aŋiaŋi		aŋiaŋi										
THINK_1	maanatu		manaʔo	manatu		manatu	manaʔo						manatu		maanatu	manako	manako~manatu	hakamanako	manaʔu		maanatu	manatu		manaʔo	maanatu			manatu	mnatua	manatu
THINK_2		heɢuɢi																												
THINK_3				masalo						makara			mahala	maʔakau			majala	mahara		maʔara							mahara			mahalo
THINK_4					fakaturia						fakaaro																			
THINK_5								hakapau																		fakakaukau				
THINK_6									hakaoko																					
THINK_7												mantua																		
THINK_8																						maafaufau						maafaufau		
THINK_9																							hakateletele							
THINK_10																												laɡona		
THINK_11																													hiŋa	
THIS_1	ieni			leinei	reni	tenei	nei	tenei	keŋei	tenei	teenei	kenei		tenei	nei		eenei~teenei	nei	nei			lenei	tenei		nei	koeni		nei~teenei	tene~ne	eni
THIS_2			teie				keeia									teeia				teeia				teie			te			
THIS_3																		taua												
THIS_4																					ia									
THOU_1	koe~ke	ʔoe	ʔoe	koe~kee	akue	koe	ʔoe	ɡoe	ʔoe	koe	koe	akoe	koe	ʔoe	koe	koe	koe	koe		koe	koe	ʔoe	koe	ʔoe	koe~kee	koe	koe	ke	koe	koe~kee
THOU_2																	ou		kou											
THOUSAND_1	mano	mano						mana		mano	mano						mano		mano	mano	mano	mano	mano	mano	mano		mano	mano		
THOUSAND_2	ape			afe									afe								ahe	afe				afe		afe		afe
THOUSAND_3		tauatini	tauatini				kaukani													tauatini				tauatini						
THOUSAND_4									simakahokahi																					
THOUSAND_5															tiputerau				piere											
THOUSAND_6																													tupuaŋahulu	
THREE_1	toru	toɢu	toru	tolu	toru	toru	kolu	dolu	kolu	toru	toru	etoru	tolu	toʔu	toru	toru	tolu	toru	toru	toru	toɡu	etolu	tolu	toru	toru	tolu	toru	tolu	tolu	tolu
THROW_1	peiia			peʔesi	pesia				pesi			pesia				peehua				peeʔia			pehi							peʔehi
THROW_2		taaoɢa	taaora											tioʔa										taaora						
THROW_3				tii		ʦiri		dili		tiri				tiʔi	ttiri		uti~tili			tiri							tiri		sili	
THROW_4					pepe								velo						vero											
THROW_5							hoʔolei																							
THROW_6								maka												maka							maka			
THROW_7										kero																				
THROW_8											paŋa																	apa		
THROW_9												woro														tolo	toro			
THROW_10															riaki															
THROW_11																		fakamui												
THROW_12																				ʔia										
THROW_13																					tupe							tupe		
THROW_14																						toŋi								
THROW_15																										lii				
THROW_16																														ʔatu
THUNDER_1	mana			mana																	mana		mana		mana	mana		mana		mana
THUNDER_2		paatiɢi	paatiri		fatiri			atili		atutiri	fatitiri	patʃiri				hatutiri	watitili	fatitiri	patiri		hatutiɡi	faaititili		paatiri	fatitiri		fatutiri		pasili	faisisili
THUNDER_3						vehʃiri																								
THUNDER_4							hekili		hakuli																					
THUNDER_5													pakuulaɡi																	
THUNDER_6														phatooteoːte																
THUNDER_7															hatturi															
THUNDER_8																		tuki												
THUNDER_9																				maaŋuaːŋuŋuaːŋuːŋu										
TONGUE_1	arero	aɢeɢo	arero	ʔalelo	arero	rero	alelo	horore	alelo	arero	arero		alelo	aʔeʔo	arero	arero	alelo	alelo	arero	arero	ʔaɡeɡo	alelo	alelo	arero	alelo	ʔelelo	arero	alelo	alelo	ʔalelo
TONGUE_2												limena																		
TOOTH_1	nipo	niho	niʔo	nifo	nifo	nifo	niho	niha	ŋiho	niʔo	niho	nifo	nifo	niho	niho	niho	nio	niho	niho	niʔo	niho	nifo	niho	niho	nifo	nifo	niho	nifo	niho	nifo
