Gloss	Anuta	Austral A	Austral B	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Proto-Polynesian	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
FEATHER_1	puru	huɢuhuɢumanu	ʔuruʔuru	fulu		furu	hulu	ŋahuru		ʔuru	hurumanu			huʔumanu		huru	fulufulu	wulu	huruhuru	huruhuru	ʔuruʔuru		fulu		huruhuru	furu	fulufulu	huru	fulu	hulu	
FEATHER_2												wero																			
FEATHER_3					ᵐbala				palaa				palaa		paraa							pala		palaa							palaa
FEATHER_4																							ʔula								
FEMALE PERSON_1	papine	vahine	vaʔine	fine	fafine	fafine	wahine	ahina	hiŋe	ʔaʔine,ʔine	wahine	tefine	fine,fifine	hine,vehine	hahine	hine,vahine	fafine	waawine	tamahine,vahine	bahine	ʔine,vaʔine	hine,hahine	fafine	hine,hahine	vahine	fine	fefine	hiine,vahiine	fafine	hana,hahine	fine
FEMALE PERSON_2																				tama											
FIFTY_1										rimaroŋoʔuru								limaŋaulu			rimaŋauru		limaɡafulu,limasefulu				nimaŋofulu				
FIFTY_2				kaulima														laulima													
FIFTY_3																														ɡatoaelima	
FIFTY_4																		tinolima													
FIFTY_5													limafiha																		
FIFTY_6							kanalima																								
FIFTY_7															tipurima																
FIFTY_8											rimatekau																				
FIFTY_9		paeʔahuɢu	paeʔaʔuru																												
FIRE_1	api	auahi	auaʔi	afi	afi	afi	ahi	ahi	ahi	aʔi	ahi	afi	afi	ahi	ahi	ahi	afi	awi	ahi	ahi	aʔi	ahi	afi	ahi	auahi	afi	afi	ahi	afi		afi
FIRE_2																													kavakava		
FIRE_3																														keu	
FISH_1	ika	iʔa	iʔa	ika	ika	ika	iʔa	iɡa		ika	ika	ika	ika	iʔa	ika	ika	ika	ika	iika	ʔiika	ika	ika	iʔa	ika	iʔa	ika	ika		ika	ika	ika
FISH_2									kaŋaha																						
FISH_3																												paru			
FIVE_1	nima			lima	rima	rima	lima	lima	lima	rima	rima	erima	lima	ʔima	rima	rima	lima	lima	lima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
FIVE_2		pae	pae																						pae						
FIVE_3																			taapahi												
FLESH OR MEAT_1		ʔiʔo	ʔiʔo				ʔiʔo			kiko	kiko		kiko	kiko		kiko		kiko	kiko	kiko	kiko		ʔiʔo	io	ʔiʔo			kiko		io	
FLESH OR MEAT_2	kanofi			kanofi	kanmate	kʰano		kano	aŋohi				kakano		kanohi		kanofi					kano	ʔaʔano			kanofi	kano		kanofi		
FLESH OR MEAT_3												pakasi																			
FLESH OR MEAT_4			ʔiinaʔi																												
FLESH OR MEAT_5																															meʔakai
FLOWER_1	pua						pua		uke	pua	puaawai	fuma		pua		pua	fuŋa	pua		pua	pua		fuŋa					pua			
FLOWER_2																														imea	
FLOWER_3															purupuru														pula		
FLOWER_4								akai																							
FLOWER_5																						laka									
FLOWER_6																											kakala				
FLOWER_7		tiaɢe	tiare							tiare								tiale	tiare						tiare						
FLOWER_8				fiti									fiti																		fisi
FLOWER_9				see	serakau	se																		see		see					
FLOW_1	tatape	tahe	taʔe	tafe	tafe	tafe	kahe		kahe	taʔe	tere		tafe	tahe	tere	tahe				tehe	taʔe	tahe	tafe		tahe		tafe	tahe	tafe	tʰahe	tafe
FLOW_2																								lele							
FLOW_3				sali				hari									sali														hali
FLOW_4																										ranu					
FLOW_5												sara																			
FLOW_6																		jeke	heheke												
FLOW_7																													hua		
FLY (MOVE THROUGH AIR)_1	rere	ɢeɢe	rere	lele	rere	rere	lele		lele	rere	rere	rere	lele		rere	rere	lele	lele	rere	rere	rere	ɡeɡe	lele	lele	rere	rere		rere	lele	lele	lele
FLY (MOVE THROUGH AIR)_2															herrei																
FLY (MOVE THROUGH AIR)_3																						eba									
FLY (MOVE THROUGH AIR)_4																											puna				
FLY (MOVE THROUGH AIR)_5														ona																	
FLY (MOVE THROUGH AIR)_6																		pepeke													
FLY (MOVE THROUGH AIR)_7			ʔaʔamaraʔa																												
FLY (MOVE THROUGH AIR)_8								maaŋi																							
FOG_1				kofu		kofu	ʔohu		ʔohu	koʔu	kohu			kohu		kohu	kofu		kohu	kapua,kohu	koʔu	kohu	ʔaʔapu	kohu			kakapu	kohu			kokofu
FOG_2																					maaʔuaːʔu							maahu			
FOG_3																									ruupehu						
FOG_4																													fofu		
FOG_5	nepu				nefunefu							mafu			nehu								nefu			nefu				nehu	
FOG_6																							puao								
FOG_7			aʔinavai																												
FOOT OR LEG_1	vae		ʔaavae	vaʔe	βae	vae	waawae	wae	vae		waewae	βae	vee	vae	vae	vae	waʔe	vae	waewae	vaʔe	vae	baʔe	vae	vae	ʔaavae	vae	vaʔe	vae	vae	vae	vaʔe
FOOT OR LEG_2										aʔape																					
FOOT OR LEG_3									kapuae												tapuae			tapuae							
FOOT OR LEG_4		umaha																													
FOREST_1	vao			vao	aβao			wao	vao	vao			vao	vao	vao	voo	wao	vao			vao	bao	vao	vao		vao	vao	vao	vao	vao	vao
FOREST_2			ururaaʔau	ʔulu			ululaaʔau			ulu			ulu						raakau			ʔuɡu			ururaaʔau						ulu
FOREST_3											ŋahere																	ŋahere			
FOREST_4															pupu																
FOREST_5						ŋamotuʰmara																								mouku	
FOREST_6												malasi																			
FOUR_1	paa	maha	ʔa	faa	fa	fa	haa	haa	haa	ʔa	faa	efa	faa	faa	haa	haa	faa	waa	faa	ha	ʔaa	haa	efaa	haa	maha	faa	faa	haa	faa	haa	faa
FRUIT_1	pua			fua	afua	fua	hua	hua	hua	ʔua	hua	fua	fua	hua	hua	hua	fua	wua	huaraakau		ʔua	hua	fua	hua		fua	fua	hua	fua	hua	fua
FRUIT_2																									maaʔa						
FRUIT_3																				kai											
FRUIT_4			maaʔa																												
GOOD_1										porotu																					
GOOD_10																														lavoi	
GOOD_11														kanahau																	
GOOD_12											pai																				
GOOD_13						rufie																									
GOOD_14										marie																					
GOOD_2									kau					ʔeka	taurekareka	reka		leka		reka	reka			leka		rekareka		reka			
GOOD_3		maitaʔi	maitaʔi				maikaʔi							meitaʔi		maitaki			maitaki		meitaki				maitaʔi			meitaki			
GOOD_4				maalie	sumarie			humalia				merie	melie				malie						malie								maalie
GOOD_5																				rivariva											
GOOD_6																suumariŋa															
GOOD_7	rerei																	lelei					lelei				lelei		lelei		lelei
GOOD_8																		kalule													
GOOD_9																						ŋɡaoi									
GRASS_1						ŋafari																									
GRASS_2																														kaoa	
GRASS_3			matie	mutie						mutie				mutie			mutie				matie	mutie	mutia		matie						musie
GRASS_4									veve															veve							
GRASS_5																		vajavaja													
GRASS_6											karaaihe																				
GRASS_7					mauku		mauʔu								mouku	mauku	mouku			mouku	mauku					mauku	mohuku	moouku	mouku		mohuku
GRASS_8												manamu																			
GRASS_9	vao																														
GREEN_1		matie	matie			rauneamaʰmata										matie	mata			mata	taamatie,ʔakamatie		lanumeamata	moto	matie	mata	lanumata	matie			
GREEN_10															uri								usiusi							uiui	
GREEN_11											kaakaaːkariki																				
GREEN_12	kepu																									kefu					
GREEN_13									kea																						
GREEN_2				moto		moto				moto												moto									moto
GREEN_3	mata				matamata																										
GREEN_4													lanulaukou																lanulauniu		
GREEN_5																									niinamu						
GREEN_6														ʔoutiteʔe																	
GREEN_7																		ujiŋele													
GREEN_8												keskesa																			
GREEN_9							maʔomaʔo																								
GROW_1	tupu	tupu	tupu			tupu	kupu		kipu	tupu	tupu		tupu	tupu	tipu	tupu	tupu	tupu		tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tʰupu	tupu
GROW_2																				riku											
GROW_3							ulu																								
GROW_4				somo		somo			somo						homo							somo		somo							homo
HAIR_1																				oho											
HAIR_2								ŋahuru																							
HAIR_3	puru	huɢuhuɢupoʔo		fulu	fereuru	furu		hulu					fulu	huʔu		huru		wuluwulu		huruhuru	ʔuru	huɡu				furu		huru	fulufulu		fulu
HAIR_4			rouru	lauulu		rauru	lauoho		laulu	rauoʔo		rouru	lauulu	ʔouoho	rauru		lauʔulu	lauulu	rauru		rauru		lauulu	laulu	rouru	rauuru	louʔulu	roouru		laulu	lauulu
HAIR_5											makawe																				
HAND_1	rima	ɢima	rima	lima	rima	rima	lima	lima	lima	rima	riŋa	rima	lima	ʔima	rima	rima	lima	lima	rima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	
HAND_2																															nima
HAND_3																					kapu							kapu			
HAND_4	nima																														
HE OR SHE_1	ia	ʔoia	ʔoia	ia	koia	ia	ia	ia	aiia	koia	ia	eia	ia	ia	ia	ia	ia	ana	ia	ia	ia	ia	ia	ia		ia	ia	ia	ia	ia	ia
HE OR SHE_2		ʔoona	ʔoona															ona							ʔoona					na	
HEAD_1	uru			ʔulu	nauru	uru							ulu	uʔu			ʔulu	ulu	ulu			ʔuɡu	ulu				ʔulu	uru	ulu		ʔulu
HEAD_2		upoʔo	upoʔo				poʔo	liboɡo	poho	upoko	upoko			upoko	pokouru	upoko			upoko	puoko	upoko			poho	upoʔo	poko		upoko	piho	pihoulu	
HEAD_3			pao																												
HEAD_4										oʔo																					
HEAD_5												kele																			
HEAR_1	roŋo	haʔaɢoʔo	ʔiiroʔaroʔa	loɡo	fanoŋo	raŋona	hoʔolono	loŋo	loŋo	ʔakaroŋo	roŋo	roŋona	faanoŋo	ʔono	rono	roŋo	roŋo	laŋona	laŋona	ɡaroʔa	roŋo	ɡoŋo	faʔaloŋo	lono	faʔaroʔo	roɡo	fenoŋo	roŋo	loɡo	loŋo	loɡo
HEAVY_1										kikikiki																					
HEAVY_2														tono																	
HEAVY_3														toko																	
HEAVY_4	mamafa	toimaha	tiaʔa	mamafa	mamafa	mafa	kaumaha	maha	maha	teimaha	taimaha	mafa	mamafa		taenaha	taimaha	mamafa	taewana	taimaha		teimaʔa	mamaha	mamafa	mmaha	toiaha	mafa	mamafa		mamafa	maha	mamafa
HEAVY_5																												tuʔatuʔa			
HEAVY_6																				paɡahaʔa											
HIDE_1	muni	taaponiponi	ʔuna	mu		ʰmuni	huunauːna		muŋi	pupuni	huna				hakammuni		funi		punipuni		pipini	mumuni			taapuni	funa		taahuna	fuu,fakalilo,mumuni	muni	muni
HIDE_2																				romi											
HIDE_3																		nanaa					nanaa								
HIDE_4																											toi				
HIDE_5														hakanaa																	
HIDE_6																koopiri															
HIDE_7																							lafi								
HIT_1	taa			taa				ta	kaa	tata		teia	taa	ta							taia	taa	taa	taa		taa	taa	taa	taa	taia	taa
HIT_10		paʔi			pakia	paki				paki			poki				paki				paakia							papaki			paki
HIT_11															rriki																
HIT_12				paatuaːtu				badu	paku	patu	patu			patu		patu		patu	patu		patu							patu			
HIT_13	tuki					tuki	kuʔi	tuɡi	kuʔi				tuki	tuʔi		tuki	tuki		tuki		tuki	tuki	tuʔi			tuki		tuki			tuki
HIT_14			taaʔiri																						taaʔiri						
HIT_2						ʃia																									
HIT_3																			uu	tutu											
HIT_4				sasa			hahau						haha			sasa						sasa				sasa					haha
HIT_5																			huataa												
HIT_6									paa				paa									paa									
HIT_7																										paa					paa
HIT_8														pehi																	
HIT_9																		vaji													
HOLD_1			taapeʔa																						taapeʔa						
HOLD_10		ɢave																													
HOLD_11										taamau				mau					mau												
HOLD_12					tauai			tahi	kaohi						taaohi									taaohi							
HOLD_13																						pipiki								pikia	
HOLD_14												puatia																			
HOLD_15							paʔa																								
HOLD_16																						ʔoso									
HOLD_17						kumia																									
HOLD_18											pupuri																				
HOLD_2	kuku			kuku									kuku			kuku				kuku	kukua		ʔuʔu			kuku	kuku				kuku
HOLD_3																										puke			puke		puke
HOLD_4																taŋo		taŋo			taŋo							taŋo	taɡo		taɡo
HOLD_5				sapo									hapo													sapo					hapo
HOLD_6																				aaru											
HOLD_7																										fesu					
HOLD_8														ʔiʔima																	
HOLD_9																		liko													
HOUSE_1	pare	haɢe	ʔare	fale	fare	fare	hale	hale	hale	ʔare	fare	tefare	fale	faʔe	hare	hare	fale	wale	fare	hare	ʔare	haɡe	fale	hale	fare	fare	fale	hare	fale	hale	fale
HOUSE_2																										paito					
HOUSE_3				kaaiɡa									kaina	aika		kaaiŋa															
HOW_1	pepeeki	naahea	naaʔea	fefeʔaki	fakafeina	pekua	pehea	pehee	pehee	peʔea	peehea	efia	pehe	peehea	peehea	peehea	pefea	peewea	peehea	pehʔe	peʔea	pehea	faʔapeefea	pehea	naafea	fefea	feefeeːfe		peehea	huahea	feafeaʔi
HUNDRED_1			ʔaanere				hanele											aanele			taianere				haanere						
HUNDRED_2	rau	ɢau		kaulelau				lau	huikalau	rau	rau		teau	ʔau	rau	rau		tinowelau		rau		ɡau	lau	lau	rau	rau	ŋe	rau	lau	vahiki	te
HUNT_1																						ihoʔaki									
HUNT_10														tatai																	
HUNT_11				feua																											
HUNT_12												palako																			
HUNT_13				fana																											
HUNT_14						ʰmoʃi																									
HUNT_15							hahai				faifai																				
HUNT_16																					kimi										
HUNT_17															riki																
HUNT_18															aahi																
HUNT_19		aʔuaʔu	aʔuaʔu																						aʔuaʔu			akuaku			
HUNT_2					kolikoli																										
HUNT_20	para																														
HUNT_21																					apuapu										
HUNT_22															uru		tulimanu	wuli					tuli				tulimanu				
HUNT_23															uhu																
HUNT_3																				poko											
HUNT_4										aruaru																					
HUNT_5									kakaloko																						
HUNT_6																			laŋa												
HUNT_7	turi																									turi					
HUNT_8																										fara					
HUNT_9																								sese							
HUSBAND_1				ʔaavaɡa						aʔana					aavana																
HUSBAND_2														hahana																	
HUSBAND_3		taane	taane				kaane				taane		taane			taane		taane	taane		taane		taane		taane			taane			
HUSBAND_4																				kenu											
HUSBAND_5																														peŋi	
HUSBAND_6						taŋata						taŋata																			
HUSBAND_7																											mali				
HUSBAND_8	matua				matua																	matuʔa								tematua	
HUSBAND_9																			tokotua												
IF_1				kapau	ka																		ʔafai			ka	ka		kaafai,kaa		
IF_10																	rano														
IF_11			maitepaʔau																												
IF_12																				ana			ʔana								
IF_13							inaa																	hano					mana		
IF_2																									ʔia						
IF_3									po													poi									
IF_4																														plaa	
IF_5																			nariŋa												
IF_6	pe			pee		pe												pii						pela							
IF_7												ŋousia																			
IF_8											me			me	kimee			mee			me								mehemea		
IF_9			ʔaʔiri																												
INTESTINES_1				tinaʔe	tinae	ʃinae		tinae				sinae																			
INTESTINES_2				vaavaaːva		vava			vaavaaːva																						
INTESTINES_3			ʔaaʔau				naʔau				feekau		ŋaakau		kaatae	ŋaaʲkau		ŋaakau	ŋaakau		ŋaakau		ŋaaʔau	kautae	ʔaaʔau	ŋakau	ŋaakau	ŋaakau	ɡaakau	ŋakau	ɡaakau
INTESTINES_4										manava																					
INTESTINES_5														koekoe						kokoma											
INTESTINES_6																						ɣoɣuɣoɣu									
INTESTINES_7																		taepili													
INTESTINES_8		ʔaviɢi																													
INTESTINES_9	taepikopiko																														
IN_1	iroto	ɢoto	roto	loto	iroto		loko	lodo	loko	roto	iroto	iroto	loto	ʔoto	iroto		loto	loto	roto	roto	roto	ɡoto	loto	iloto	iroto	roto	ʔiloto	roto	loto		
IN_2						weitakoro																									
IN_3																							totonu								
I_1	kau	vau	au,vau	kau	kou	au,avau	au	au	aŋau	au	au	aβau	kau	au	nau	au	au	au	koau	au	au	kau	aʔu	au	vau,au	kau	ou	au	aku	au	koau
I_2				ku									ku	ʔu				aku			ku	ku				ku		ku			
KILL_1																									taparahi			taparahi			
KILL_10											patu							patu	patu		putu							patu			
KILL_2								taliki																							
KILL_3	tamate		ʔaʔamate	tamate		ʃiakamate	hoʔomake							haʔamate			tamate		taa		taamatemate		taamate				taamateʔi		taamate	tamatea	tamatei
KILL_4														kukumi																	
KILL_5																					kikini										
KILL_6			ta		teiakemate				kaa			teiamatia	taa			taa						taa		taa		ta				taia	
KILL_7														pehi					pehikitetoka												
KILL_8										tinaʔi					tiinai					tiɡaʔi											
KILL_9																					taa		fasioti								
KNOW (SOMETHING)_1																					maatau							maatau			
KNOW (SOMETHING)_10																								atamai							
KNOW (SOMETHING)_11														hani																	
KNOW (SOMETHING)_12																		wanewane													
KNOW (SOMETHING)_13											moohio																				
KNOW (SOMETHING)_14												taea																			
KNOW (SOMETHING)_2		ʔite	ʔite				ʔike			kite						kite			kite		kite				ʔite			kite			
KNOW (SOMETHING)_3																		maawutu													
KNOW (SOMETHING)_4	iroa				iroa	iroa		iloo	ailoa				iloa		iloa		ʔiloa	iiloloa					iloa	iloa		iloa	ʔilo		iloa	iloa	
KNOW (SOMETHING)_5				masani																											ʔiloʔi
KNOW (SOMETHING)_6	poto			poto																						poto					
KNOW (SOMETHING)_7				maatino																		maatino									
KNOW (SOMETHING)_8																				aɡi											
KNOW (SOMETHING)_9																			maarama												
LAKE_1										rano										rano		ɡano	lano				ano	rano			ano
LAKE_2												kapu																			
LAKE_3			roto				loko	roto			roto		loto	vaiʔoto			loto	loto	roto		roto	ɡoto	loto		roto	roto		roto			
LAKE_4				namo		namo							namo																		namo
LAKE_5																													taihala		
LAUGH_1															piha																
LAUGH_2	kata	ʔata	ata	kata	kata	kata	ʔaka	katakata	ʔaka	kata	kata	kata	kata	ʔata		kata	kata	kaakata	kata	kata	kata	kata	ʔata	kata	ʔata	kata	kata	kata	kata	kata	kata
LEAF_1	rau	ɢaueɢe	rauʔere	lau	raurau	rau	lau	rou	lau	rau	rau	rau	au	ʔau	rau	rau	lau	lau		raupa	rau	ɡau	lau	lau	rauʔere	rau	lou	rau	lau	lau	lau
LEAF_2																													mulo		
LEFT_1		ʔaui	ʔaui			masui		tauihara			mauii	musui			mauii,kaihi	kauii	maui	maajui	kaaui	maui	mauii,kauvii				ʔaui				maui		
LEFT_2	tema			sema	sema		hema			ʔema			hema				sema					sema				sema	hema	hema	hema		hema
LEFT_3														ʔimaaʔeaʔe																	
LEFT_4									kevahiselaua																						
LEFT_5																							tauaŋavale	vale					valea	tovale	
LEFT_6																													hupa		
LIE DOWN_1										ʔakaearaŋa																					
LIE DOWN_2			tiipapa																		ʔakatiipapa										
LIE DOWN_3			taarava																												
LIE DOWN_4				moe	moe	moe	hinamoe	moe				moe		moe				moekilalo		moe	moe	moe		moe		moe			moekilalo		
LIE DOWN_5	takoto								kaʔoko		takoto		takoto		takoto	takoto	takoto	takoto	takato		ʔakatakoto		taʔoto		taʔoto		tokoto	takoto		takoto	takoto
LIE DOWN_6																													fakapale		
LIE DOWN_7																			roharoha												
LIE DOWN_8		tiiɢaha	tiiraʔa																												
LIGHTNING_1						tapeia																									
LIGHTNING_2		uiɢa	uira	ʔuila	wira		uila	ila	uila	uira	uira	wira	uhila	uiʔa	uira	uira	ʔuhila	uwila	uvira	uira	uira		uila	uila	uira	uira	ʔuhila	uira	uila		ʔuhila
LIGHTNING_3	kakamo																													khemo	
LIGHTNING_4															tara																
LIGHTNING_5																					rapa	ɡapa						rapa			
LIVER_1	ate		ate	ʔate	ate	ate	ake	ade	ʔate	ate	ate	ate	ate	ate	ate	ate	ʔate	ate	ate	ate	ate	ʔate	ate	ate		ate	ʔate	ate	ate	ate	ʔate
LIVER_2										kakaroumei																					
LIVER_3		ʔuupaʔa	ʔupaʔa																						ʔupaʔa						
LONG_1	roa	ɢoa	roa	loa			loa	loo	loa		roa		loa	ʔoa	rooroa	roa	loa	loa	roa	roa	roa	ɡoa	loloa	loa	roa	loa	looloa	roa	loa	loa	loa
LONG_2										roa																					
LONG_3					leβaleβa																										
LONG_4																							ʔumi								
LONG_5						pʰalo																									
LONG_6												totoe																			
LOUSE_1	kutu	ʔutuʔu	ʔutu	kutu	kutu	kutu	ʔuku	ɡudu	ʔuku	kutu	kutu	kutu	kutu	ʔutu,kutupapa	kutu	kutu	kutu	lia	ŋutu	kutu	kutupapa,kutu	kutu	ʔutu	kutu	ʔutu	kutu	kutu	kutu		kutu	kutu
LOUSE_2				tuma									tuma														tuma				tuma
MALE PERSON_1		taane	taane		taŋata	taane	kaane	daane	kaŋe		taane	tane	taane	tane		taane	taʔane	taane		tane	taane		taane	taane	taane	taane		taane	taane		taʔane
MALE PERSON_2														tamaʔoa																	
MALE PERSON_3	taŋata			taɡata						taŋata					tanata				taŋata			taŋata		tanata			taŋata			taŋata	
MALE PERSON_4														heko														haakoi			
MALE PERSON_5																														mhe	
MALE PERSON_6																			roopaoːpa												
MALE PERSON_7										tamaroa				toa							tamaroa										
MALE PERSON_8	tamaaroa																														
MOON_1																														akahu	
MOON_2	maaina			maasina	masina		mahina	maahina		maʔina,maaʔina			mahina	meʔama				maina		mahina		maasina	maasina				maahina	hina	maalama		maahina
MOON_3												aŋale																			
MOON_4		ʔaavaʔe	ʔaavaʔe																						ʔaavaʔe						
MOON_5						marama			malama		marama				marama	marama	marama		marama		marama		maalama	malama		marama					
MOSQUITO_1	namu	naonao	ramu	namu	namu	namu		lamu	namu			namu	namu	nonopurutia	namu	namu	namu	namu	namu	naʔonaʔo	namu	namu	namu	namu	naonao	namu	namu	namu		namu	namu
MOSQUITO_2										koomanu																					
MOSQUITO_3											waeroa																				
MOSQUITO_4							makika																								
MOTHER_1	tinana			tinana	tinana	ʦinana,nana		dinana	kiiŋa	tinana					tinana	tinana	tinana					tinana	tinaa	tinna		tinana,nana					
MOTHER_2														kui																	
MOTHER_3		metuavahine	metuavaʔine				makuahine						matuafifina					matuawawine	matuavahine	matuʔa					metuavahine			metuavahine			
MOTHER_4												leita																			
MOTHER_5																														hina	
MOTHER_6			maamaaːma																maamaaːma		maamaaːma				maamaaːma						
MOTHER_7											faea																faʔee				faʔe
MOTHER_8	nau				nau																					nau					
MOUTH_1		vaha	vaʔa			fafa	waha	haha		ʔaʔa	waha			fafa		vaha			vaha	haha	vaʔa				vaha			vaha			
MOUTH_2	ŋutu			ɡutu	ŋutu			ŋudu				ŋutu	ŋutu	nutu			ŋutu	ŋutu	ŋutu	ɡutu		ŋutu	ŋutu			ŋutu	ŋutu	ŋutu	ɡutu	ŋutu	mutu
MOUTH_3									puʔu						pukua									pukua							
NAME_1																								male							
NAME_2	iŋoa	iʔoa	iʔoa	iɡoa	iŋoa	iɡoa	inoa	iŋoo	iŋoa	iŋoa	iŋoa	iŋoa	hiɡoa	ikoa	inoa	iŋoa	hiŋoa	iŋoa	iŋoa	ʔiiɡoa	iŋoa	iŋoa	iŋoa		iʔoa	iɡoa	hiŋoa	iŋoa	iɡoa	iŋoa	hiɡoa
NARROW_1				kiu		kʰapi																									
NARROW_10																		kakoo													
NARROW_11																															veliveli
NARROW_12																		kojiiti													
NARROW_13												walakai																			
NARROW_14																								kopiti							
NARROW_15																					taakoaːkopaaːkoːpapaaːkoːpaːpa										
NARROW_16													tote																		
NARROW_17																					ʔooiti										
NARROW_18																kisi															
NARROW_19																														mdakiko	
NARROW_2																										komo		koma			
NARROW_20																							lauitiiti								
NARROW_21																						ʔomi									
NARROW_22				lauʔikiʔiki			laaʔiki			aaiti	faaiti			faiti	tuurikiriki		faariki	kauliliki		rikiriki									puufoliki	mdaliki	
NARROW_23																													puumataniki		
NARROW_24								huka																							
NARROW_3			piri																												
NARROW_4		oaoa	oaoa																		oaoa				oaoa						
NARROW_5					titi																										
NARROW_6																				vakavaka											
NARROW_7																											lausiʔi				
NARROW_8																			kokota		taakokota										
NARROW_9																			hiikoke												
NEAR_1																				hahine											
NEAR_10								hoho																							
NEAR_11																							tafatafa								
NEAR_2															taupirimai			pili						taupili		piri			pili		
NEAR_3	nei			nei					ŋei																						
NEAR_4																							vaalata								
NEAR_5																						hitaiaki								leuetʰaki	
NEAR_6					fefetai															tupuaki											
NEAR_7				ofi																							ofi				
NEAR_8							kokoke																								
NEAR_9			ʔatata			tata				tata	tata	etata	tata	tata		tata	tata	vaatata	taha		tata		lata		faatata			tata			tata
NECK_1	ua			ʔua	ua			ua	ʔua		ua		ua				ua	ua				uʔa	ua	ua		ua		ua	ua	ua	uʔa
NECK_2																				ɡao											
NECK_3			ʔaʔii				ʔaaʔiaːʔi			kaki				kaakiaːki		kakii		kakii	kakii		kakii				ʔaʔii		kia	kaakiaːki			kia
NECK_4						penaaua																									
NECK_5												popo																			
NECK_6		ʔaɢapoʔa																													
NECK_7															koomanu																
NEEDLE (FOR SEWING)_1																					au	au	au			sau		hau			hau
NEEDLE (FOR SEWING)_2		nira	nira			nil					ŋira			rira	niila			nila							nira				nila	nila	
NEEDLE (FOR SEWING)_3										nira																					
NEEDLE (FOR SEWING)_4																				ivi											
NEEDLE (FOR SEWING)_5							kui								tui	tui			tuiau								huituitui				
NEEDLE (FOR SEWING)_6																						laɡu									
NEEDLE (FOR SEWING)_7				sika				hiɡa	siʔa				hika				sika		hika	hika		sika		sika		sika					hika
NEW_1	pou			foʔou	fou	fou	hou	hoou	hoou	ʔou	hoou	fou	foou	hou	hoou	hoou	foʔou	wou	foou	hoʔou	ʔoou	hoʔou	fou	hou		fou	foʔou	hoou	foou	hou	foʔou
NEW_2		aapi	aapiaːpi																						ʔaapiaːpi						
NIGHT_1	poo	poo	poo	pooʔuli	po	po	poo	boo	poo	poo	poo	po	pouli,poo	poo	poo	poo	poo	poo	poiri,poo	poo	poo	poo	poo	poo	poo	poo	poo	poo	poouli,poo	poo	pooʔuli,poo
NIGHT_2	pouri																														
NIGHT_3																												ruki			
NIGHT_4																													taiao		
NINE_1	iva	iva	iva	iva	siβa	iva	iwa	hiwa	sivo	iva	iwa	siwa	hiva	iva	siva	iva		iva		iva	iva	iba	iva	sivo	iva	siva	hiva	iva	iva	iva	hiva
NO OR NOT_1						ʃikai						sai		ieai			ʔikai	kiai				siʔai,siai	iʔai			siei	ʔikai		ikai	siai	
NO OR NOT_10																		kaaji		inakai											
NO OR NOT_11	kairo																														
NO OR NOT_12		eʔere																													
NO OR NOT_2			eʔore				ʔole			kore	kaahore					kare		kaakole	ekore		kaaʔore										
NO OR NOT_3																									ʔaita						
NO OR NOT_4																					ʔauraka							kauraka			
NO OR NOT_5				see				tee	he				tee	tee	te									heai							heʔe
NO OR NOT_6					e													jee					leai								
NO OR NOT_7																				taʔe											
NO OR NOT_8																		kaani													
NO OR NOT_9																													mooe		
NOSE_1	iu	ihu	putaeʔu	isu	isu	isu	ihu	uuhiu	aisu,isu	iʔu	ihu	usu	ihu	ihu	kaihu	isu	isu	iju	isu	ihu	putaaŋi	isu	isu	kaiusu	ihu	isu	ihu	ihu	ihu	iu	ihu
NOSE_2																														poŋaiu	
OLD_1	maatua			matuʔa					makua						matua			matua				matuʔa	matua	matua		maatua	motuʔa		matua	matʰua	matua
OLD_10																		poovioːvi													
OLD_11						takausore																									
OLD_12											pakeke																				
OLD_13														koua						korohua								korou			
OLD_2		tahito					kahiko			teʔito				tehito		tahito			tahito		taʔito										
OLD_3														kakiu																	
OLD_4			ruuʔau																ruuhau						ruuʔau						
OLD_5									mua															mua							
OLD_6																						tauiku									
OLD_7																						bebe									
OLD_8					tuai			tuai	ukuai			tuai	tuai				tuai			tuai			tuai								
OLD_9																						poepoe									
ONE_1	tasi		taʔi	tasi	tasi	tasi	ʔekahi	dahi	kahi	taʔi	tahi	etasi		tahi	hokotahi	tahi		taji	tetahi	tahi	taʔi	tahi	etasi	tasi	tahi	tasi		tahi	tahi	kotahi	tahi
ONE_2		hoʔe																							hoʔe						
ONE_3													taha				taha										taha				
OPEN_1							weke								huke			jujuke				huke	susuʔe						hue	hukea	
OPEN_10																sura															
OPEN_11																							matala								
OPEN_12			ʔuaʔi								huaki														huaʔi						
OPEN_13																				hahata				aaha		afaafa	fakaava			ahaŋia	faʔai
OPEN_14													afaŋi																mafela		
OPEN_2	tara														taaraki		tatala							taalaki					tatala		
