Gloss	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
CLAW_2		tɯrnɑq	tərɣɑq		tɯrnɑq	termɑk	tɑrbɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑχ	tɯrnɑq	tɯrɣɑχ		tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrvɑq~tɯrbɑq			tɯrɣɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrbɑq	tirmɑq	tirnɔq		tɯŋɯrɑχ
CLAW_3				ʧɘrne																												
CLOUD_1	bulut	bolot	pulut	pɘʷlɘʷt	bulut	bulut	bɯlɯt	bulut	bult	bulut	bulut	bʊlt	pulut	bulɯt	bulut	bulut	bulɯt	pulut	bulɯt	pulut~polut	pulut	polot~pulut	bulut	bolɯt	bulut	buɫut	bulut	bulut	bulut	bulut	pulut~pɯlɯt	bɯlɯt
COLD_1	sojuɡ	hɯwɯq	sooq		suvuq			suːk	suwɯq	suwuq	suvuk~suvuχ	suɯq	sooχ	sovuq	suwuq	suuq	suwɯq	sooq	soɣɯq	soχ	soːq		sooq	suɯq	sooq	soːuk	θowuq	sooq	soɣuq	sɔvuq		
COLD_2				sivɘ																												
COLD_3						sɑoɡh																										
COLD_4							tɯmnɯː																									tɯmnɯː
COLD_5														buːz																		
COLD_6																															tot	
COME_1	ɟæl	kil	kæl	kil	kel	kel	kel	ɡel	kel	kel	kel	kel	kil	kɛl	ɡel	kel	kel	kel	kel	ɡel	kel	kël	kel	kil	kel	ɟelʲ	ɡel	kel	kɛl	kel	kel	kel
COUGH_1	øscyr			yzɘr	øksyr	oskur		yːsyr						iesyr												øcsyr	yθɡyr					
COUGH_2		jytɛl					høtøløː		ʒøtel			ʒøtel	ʧidɘl			ʤøtøl					ʧedir		jødylde	jytɛl	ʧødyr			ʧødyr	jøtɛl	jotɑl	jyter	søtølyn
COUGH_3		jytker							ʒøtkir	ʤøtɡyr	øtkyr~etkir				jøtkyr		jøtkir							jøtker								
COUNT_1	sɑj				sɑj			sɑj			sɑj															sɑj						
COUNT_2		hɑnɑ	sɑnɑ						sɑnɑ	sɑnɑ	sɑn	sɑnɑ	sɑnɑ	sɑːɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑʲ				sɑnɑ	sɑnɑ		θɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	
COUNT_3							ɑk																									ɑːχ
COVER_1	ørt				ørt			ørt												øt						ørt	ørt					
COVER_2		jɑp	ʧɑp			jɑp			ʒɑp	ʤɑb	jɑp	ʒɑp	ʧɑp		jɑp	ʤɑp	jɑp	jɑp~ɟɑp	jɑp		ʧɑp	jɑp	ɟɑp	jɑp	ʧɯˤp		jɑp	ʃɯp		jɔp		sɑp
COVER_3				vit																												
COVER_4					qɑpɑt												qɑplɑ									kɑpɫɑ			qɑplɑ	qɔplɑ		
COVER_5							hɑp																									
COVER_6																															kemir	
CRY_1	ɑɣlɑ	ilɑ			ɑɣlɑ			ɑːlɑ	ʒɯlɑ	ʤɯlɑ	jɯlɑ~ilɑ	ʒɯlɑ	ɯlɣɑ	hɯɣlɑ	jɯlɑ	ɯjlɑ	jɯlɑ	ɯːlɑ~uɣlɑ	ɯɣlɑ	jɯɣlɑ	ɯlɣɑ		ɯjlɑ	jɯlɑ	ɯɣlɑ	ɑːɫɑ	ɑɣlɑ	ɯɣlɑ	ʒiɣlɛ	jiɣlɑ	jɯɣlɑ~jiɣlɑ~jilɣɑ	
CRY_2			səqtɑ				ɯtɑː											sɯqtɑ			sɯqtɑ	sɯqtɑ										ɯtɑː
CRY_3				mɑɡɤʷr																												
CUT_1	cæs	kiθ	kæs	kɑs	kes	kes		kes	kes	kes	kes	kes	kis	kɛs	ɡes	kes	kes	kes	kes	kes	kes	kës	kes	kis	keˤs	ces	keθ	kes	kɛs	kes	kes	
CUT_2							bɯs												biʧ													bɯs
DAY (NOT NIGHT)_1	cyndyz~cyn	køn	kunʲ	kun	kyn	kun	kyn	ɡyn	kyn	kyn	kyn~kin	kyn	kyn	kyn	ɡyn	kyn	kyn	kyn	kyn	kun~ɡun	kyn	kon~kyn	kyn	køn	hyn	ɟyn	ɡyn	χyn	kyn	kun	køn~kyn	kyn
DEEP_1	dærin	tɛrɛn	tɛrɛŋ	tɑrɤʷn	teren	tereŋ	diriŋ	derin	tereŋ	teren	teren	tereŋ	tireŋ		teren	tereŋ	teren	tereŋ	teriŋ	tiroŋ	tereŋ	tɛrɛŋ~tirɛŋ	tereŋ	tirɛn	dereŋ	derin		tereŋ				diriŋ
DEEP_2																											ʧuŋ		ʧoŋqur	ʧuqur		
DIE_1	øl	yl	øl	vil	øl	ol	øl	øl	øl	øl	øl	øl	øl		øl	øl	øl	øl	øl	ul	øl	øl	øl	yl	øl	ølʲ	øl	øl	øl	ol	jul	øl
DIG_1	ɡɑzɯ	qɑð	qɑs		qɑz	kɑs	kɑs	kɑz	qɑz	qɑz	kɑz	qɑz	χɑs	qɑz	qɑz	qɑz	qɑzɯ	qɑs	qɑz	qɑzɯ	qɑs	qɑs	qɑs	qɑz	qɑz	kɑz	ɡɑð	qɑz	qɑz	qɑzi	qɑz	χɑs
DIG_2				ʧɑv																												
DIRTY_1	bulɑʃɯɡ				bulɑʃɯq			bulɑʃɯk			bɯlɑʃɯq																					
DIRTY_2		bɯsrɑq																						pɯʧrɑq								
DIRTY_3			kɘrlɘɣ		kirli		kirdeːk		kirli	kir			kɘrlɘɡ			kir	kirli	kir~kirliɡ	kirliɡ		kirliɡ		kirly~kyrly		hɘrlɘɣ	cirlʲi	kirli	χirliɡ	kir	kir	ker~kerlʲe	kirdeːχ
DIRTY_4						sɑsi																										
DO OR MAKE_1	et		ɛt			et		et	et	et	et		it		et		et	et		iʦ~eʦ	et	et~ɛt	et			et	et		ɛt		et~it	
DO OR MAKE_2		eʃlɛ							isle	iʃle	isle~iʃle													eʃlɛ								
DO OR MAKE_3				tu																												
DO OR MAKE_4					jɑp			jɑp			jɑp															jɑp						
DO OR MAKE_5							oŋor																									oŋor
DO OR MAKE_6							ɡɯn				qɯl					qɯl		qɯl	kɯl			qɯl			qɯl			qɯl	qil	qil	qɯl	ɡɯn~kɯn
DO OR MAKE_7									ʒɑsɑ		jɑsɑ	ʒɑsɑ		ʃɑ		ʤɑsɑ	jɑsɑ	ɟɑzɑ		jɑsɑ				jɑsɑ	ʧɑˤsɑ		jɑθɑ					
DO OR MAKE_8												ɘste				iʃtø					iʃte											
DOG_1	it	et				it	ɯt		ijt	it	it	it		it	it	it	ijt	ijt~it	ɯt	iʃt		it	it	et			it	ɯt	iʃt	it	ɯʃt~eʃt	ɯt
DOG_2			ɑdɑj										ɑdɑj								ɑdɑj											
DOG_3				jɯdɤʷ																												
DOG_4					køpek			køpek																		cøpec						
DOG_5																									ʧɯdɯɣ							
DRINK_1	iʧ	es	iʧ	ɘɕ	iʧ	iʃ~yʧ~iʧ	is	iʧ	iʃ	iʧ	iʧ~iʦ	ɘʃ	ɘs	iʧ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ	iʃ	ëʧ	iʧ	eʧ	iʃ		iʧ	iʃ	iʧ	iʧ	iʧ~iʃ~eʧ	is
DRINK_2						yʃ																										
DRINK_3																										iʧmec						
DRY_1	ɡuru	qoro			quru	kuru	kurɑːnɑk	kuru		quru			χuruɣ	qurruɣ	quru		qurɯ	kuru	quruɣ	kuru	quruɣ			qorɯ		kuru	ɡurɯ		quruq	quruq	qurlyɣ	kurɑːn
DRY_2			keːbɘɣ																													
DRY_3				tibɘ																												
DRY_4						kɑk		kurɑk	qurɣɑq	qurɣɑq	kurɣɑk	qʊrɣɑq				qurɣɑq						qɑq	qurɣɑχ		qurɣɑɣ			qurɣɑɣ				
DUST_1	toz	tuðɑn	tozɑn	tuzɑn	toz	tos		toːz			toz	tozɑŋ	tozɯn					tozun~tozɯn	toz		tozun	tos~tosɑn		tuzɑn		toz	toðɑn	doːzun	tozɑŋ~toz		tos	
DUST_2									ʃɑŋ			ʃɑŋ			ʧɑŋ	ʧɑŋ	ʃɑŋ												ʧɑŋ	ʧɑŋ	ʧɑn	
DUST_3										buqu																						
DUST_4														turpɑːq						tɑːrɯχ			tobrɑχ		toˤprɑq						torvɑq~tɯrvɑq	
DUST_5																															ʧɑm	
DUST_6																																buor
EAR_1	ɡulɑɡ	qolɑq	qulɑq	χølɣɑ	qulɑq	kulɑɡ	kulɡɑːk	kulɑk	qulɑq	qulɑq	kulɑk~kulɑχ~qulɑq	qulɑq	χulɑχ	qulɑːq	qulɑq	qulɑq	qulɑq	qɯlɑq~qulɑq	qulqɑq	qulɑχ	qulɑq	qolɑq~qulɑq	qulɑq	qolɑq	qulɑq	kuɫɑk	ɡulɑq	qulɑq	qulɑq	qulɔq	qulɑq	kulɡɑːχ
