	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōto	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
SMOKE (EXHAUST)_1	keburi	kemuri	kemu	kebu	kemuri	keburi	kemuri	kemuri	keburi	kemuri	kemu	kipusɨː	kivu̥sɨ	keburi	kemuri	keburi	kemuri	kjuːsɨ	kivu̥sɨ	kifuː	kemuri	kemuri	kemuri	kemui	kebu	keburi	kemuri	kemuri	keburi	kemuri	kemuri	kebu	kemuri	kemuri	ksɨbuʃi	kemu	kemuri	kibui	keburi	kebui	kebu	kemuri	kemoː	kebu	kiboːʃi	kiβusɨ	kemuri	kemuri	kemuri	keburi	kemuri	keburi	kemuri	kemuri	kemuri	kibuɴʧi	kemuri	keburi
SNAKE_1												paku	pau						pavu̥																			βabu							pabu	poː												
SNAKE_2		βeɴbi	heɴbi	hebi	hebi	heːbu		hebi	heɴbi	hebi	hebime				hebi		hebi	hau		habu	hebi	çeɴbi	hebi	heʔ	hebi	hebi	hebi	hebi		hebi	hebi	hebi		hebi	habu	hebi			həmi		hebi	heːbi		heːbi			hebi			heːbi	hebi		βeɴbi	hebi	hebi		hebi	hebi
SNAKE_3	kuʧinawa						kuʧinawa							kuʧinawa		kuʦuna													kuʧinawa				kuʧinawa				kuʧinawa			kuʧinawa			kuʧinawa					ɡuʧinawa	kuʧinawa			kuʧinaː						
SNAKE_4																																																								tuɡara		
STAND_1	taʦu	taʤi	taʣu	taʦu	taʦu	taʦu	taʦu	taʧi	taʦu	taʦu	taʦu	taʦɨɴ	taʦɨ	taʦu	taʦu	taʦu	taʦu	taʦɨ	taβu	taʦuɴ	taʦu	taʣu	tateru	taʔ	taʦu	taʦu	taʦu	tateru	taʦu	taʣu	taʦu	taʦu	taʦu	taʦu	taʧuɴ	taʦu	tateru	taʔtuɴ	tatu	taʦu	taʦu	taʦu	taʧi	taʦu	tatuɴ	taʦɨ	taʣu	taʦu	taʦu	taʦu	taʦu	taʦu	taʤi	taʦu	taʦu	tatʔuɴ	tatu	taʦu
STAR_1						ohoʃisaɴ			ohoʔsama							hoʔsaɴ	ohoʔsama					ohosusama	ohoʔsaɴ		hoːʃisaɴ					ohosusama	hoʔsama	ohoʃisaɴ										hoʔsaɴ								hoʔsaɴ		hoʔsaɴ						hoʔsaɴ
STAR_2	hoʃi	hoʃi	hosu	hoʃi	hoʃi		hoʃi	hoʃi		hoʃi	hoʃi	puʦɨ	pusɨ	hoʃi	hoʃi			βusɨ	pusɨ	pusɨ	hoʃi			hoʃi̥		hoʃi	hoʃi	hoʃi	hoʃi				hoʃi	hoʃi	βusɨ	hoʃi	hoʃi	βuʃiː	høʃi	hoʃi	hoʃi		hoʃi	hoʃi	puʃi	pusɨ	hoʃi	hoʃi	hoʃi		hoʃi		hoʃi	hoʃi	hoʃi	βuʧi	hoʃi	
STONE_1	iʃina	eʃi	esu	iʃi	iʃi	iʃi	iʃi	iʃi	iʃina	iʃi	iʃi	ʔiʃi	isɨ	iʃi	iʃi	iʃi	eʃi	isɨ	isɨ	ʔiʃi	iʃi	esu	iʃi	iʃ	iʃi	iʃi	iʃi	iʃi	iʃi	esu	iʃi	eʃi	iʃi	iʃi	isɨ	eʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	eʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	eʃi	iʃi	iʃi	iʧi	iʃi	iʃi
SUCK_1												ʔsuɴ																																														
SUCK_2																																						supujuɴ																				
SUCK_3													jubzɨ																																	jubzɨ												
SUCK_4	suː	ʃi	suru	suː	suː	suː	suː	suː	suː	suː	suː			suː	suː	suː	suː	juvu̥	juvu̥	suːɴ	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	sɨːjuɴ	suː	suː		suhu	suː	suː	suː	ʃiː	suː	suːɴ		suː	suː	suː	suː	suː	suː	su	suː	suː		suː	suː
SWIM_1								miʣuabiʃiru									miʣuabisuru															miʣoabiru												miʣuabe			miʣuabisuru						miʤiaburu					
SWIM_2												ʔuɴ								ʔumuɴ															ʔuɡjuɴ			ʔuiɡuɴ																		ʔuɡuɴ		
SWIM_3	abiru								abiru									uːʣɨ	uːʣɨ		aberu															abiru														abiru								
SWIM_4		ojoŋu	ojoɡu	ojuɡu	ojoɡu	ojoŋu	ojoɡu			ojoɡu	ojoɡu		ujuɡzɨ	ojoɡu	ojoɡu	ojoŋu						ojoɡu	ojoɡu	ojoʔ	ojoɡu	ojeɡu	ojoŋu	ojoɴɡu	ojoɡu	ojoɡu	oeɡu		ojoɡu	ojoɴɡu			ojoɡu		øjøɡu	ojoɡu	ojoɡu	ojoŋu	ojoɡu		uːɴ	uiɡzɨ		ojoɡu	ojoɡu		ojoɡu	ojoɴɡu		ojoɡu	ojoŋu		ojoɡu	ojoŋu
TAIL_1		ʃiʔpo				ʃiriʔpo	ʃiʔpo	ʃiʔpo		ʃiʔpo							ʃiriʔpo							ʃiːbo		ʃiribo				suʔpo	ʃiriʔpo				ʤuːbu	ʃiʔpo	ʃiʔpo				çiʔpo		ʃiːbo	ʃiʔpo					ʃiʔpo	ʃiriʔpo	ʃiʔpo			ʃiʔpo	ʃiʔpo			
TAIL_2												busupu																																														
TAIL_3													ʣuː		o	oː		ʤuː	ʣuː	ʣuː	oː		oː				oː						o	o				ʤuː	wo	o		oː			ʣuː	ʤuː	o	oː				oː					o	oː
TAIL_4	oʔpo		oʔpa	oʔpo	obaʧi				oɴbo		oʔpo			oɴbaʧi								oʔpa			oʔpo			obaʔta				oʔpo																					oʔpa					
TAIL_5																																																								duɴpani		
THAT_1													kai					kai	kari																				kare						kari	kal												
THAT_2	are	are	ae	are	are	are	are	are	are	are	ui			are	are	ae	are				are	are	are	ai	are	aru	are	are	are	aeʣu	are	are	ai	are	arɨ	are	eː	ari		ai	are	are	aː	are			are	are	are	aru	are	are	are	are	are		aitu	are
THEY_1		anoβutodaʤi	anoβutodaʣu					anoʃitodaʧi							anoçitotaʧi																													anoçitoʔʧi				anoçitotaʧi		anoçitotaʧi	anoçitotaʧi				anoçitotaʧi			
THEY_2					anoʃitora																anoçitora	anoçidaʣu		aɴʃitaʔ					anoçitora																													
THEY_3																																							kare	aitaʧi																		
THEY_4														arera																																												
THICK_1												aʦahaɴ								aʔʦaɴ																																				aʦaɴ		
THICK_2																																							atuʃi																			
THIN_1												psɨʃahaɴ								psɨʃi̥saːɴ																																						
THIN_2																																			çiʃiːʃaɴ			ʔusuʃeɴ							pisaɴ											çiʦaɴ		
THIN_3																			psɨsɨkal																																							
THIN_4																																														piʔsaːl												
THIN_5	uʃuː	uʃie	usue	usuː	usui	usui	usuka	usui	uʃuː	usui	usukja		usɨkaɨ	usui	usui	usui	usue				usui	usu	usui	uʃi	uʃiː	usuka	usui	usui	usui	usue	usi	usue	usuka	usui		uːse	uʃiː		usuʃi	usuka	usue	usui	oʃiː	usui			usui	usui	usui	uʔsui	usui	usui	uʔʃi	uʃiː	usui		usiː	usui
THIN_6																		ʔsukai																																								
THINK_1																				ʔumuiɴ																		ʔumuiɴ																		ʔumuɴ		
THINK_2	omoː	omou	omoru	omou	omou	omou	omou	omou	omoː	omoː	omoːwa	muɴ	umuː	omoː	omou	omou	omoː	umuː	umuː		omoː	omou	omou	omoː	omoː	omou	omou	omou	omou	omou	omuː	omoː	omoː	omou	omojuri	omoː	omoː		ømøβu	omoː	omoː	omou	omoː	omoː	umuːɴ	umuː	omoː	omou	omoː	omoː	omoː	omou	omou	omoː	omoː		omuː	omou
THIS_1	køːʦu	kore	koe	kore	kore	kore	kore	kore	køːʦu	kore	koi		kui	kore	kore	koe	kore	kui	kuri		kore	kore	kore	koi	kore	koru	kore	kore	kore	koeʣu	kore	kore	koi	kore	kurɨ	kore	kore	βuri	køre	koi	kore	kore	keː	kore	kuri	kul	kore	kore	kore	koru	kore	kore	kore	kore	kore		koitu	kore
THREE_1	miʔʦu	miʔʧi	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	mɨːʦɨ	mɨːʦɨ	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦɨ	mɨːʦɨ	miːʦɨ	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔtu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦɨ	miʔʦu	miʔʦu	miːʧi	mi	miʔʦu	miʔʦu	miʔʦu	meʔʧi	miʔʦu	miːʧi	mɨːʦɨ	miʔʦu	miʔʦu	miʔʦu	meʔʦu	miʔʦu	miʔʦu	miʔʧi	miʔʦu	miʔʦu	miʧi	miʔtu	miʔʦu
THROW_1													tɨ						teivu̥																																							
THROW_2																		jai																												jal												
THROW_3						hoːru								hoːru		horu							hoːru		hoʔpoːru		horu	hoːru	horu					hoːru			hoːru					hokoru						hoːru				horu						horu
THROW_4	naɡeru	naŋeru	naŋeru	naɡeru	naɡeru		naɡuru	naŋeru	naŋeru	naɡeru	naŋeru	naɴɡiruɴ			naŋeru					naɴɡiruɴ	naŋeru	naŋeru		naɡuʔ		naɡuru				naŋeru	naɡuru	naŋeru	naɡuru		naɡjuɴ			naɡiːɴ	naɡu	naɡuʔ	naɡeru		naɡeː	naŋeru	naɴɡuɴ		naŋeru		naɡeru	naŋeru	naŋeru		naŋeru	naɡeru	naŋeru	naŋi	naɡuru	
THROW_5																																				hoɴnaɡeru																						
THROW_6																	buɴnaŋeru																																									
TONGUE_1					bero			bero	bero	bero				bero	bero		bero													bero	bero		bero				bero				bero			bero			bero	bero		bero								
TONGUE_2	ʃita	ʃita	suta	ʃita		heta	ʃita				ʃita	sɨta	sɨda			ʃita		tʔa	sɨta	sɨta	heta	suda	ʃita	ʃita	ʃita	ʃita	ʃita	ʃita	ʃita			hera		ʃitabero	sɨba	ʃiʔta		ʃiʧaː	ʃita	ʃita		ʃita	ʃita		ʃita	sɨta			ʃita		ʃita	çita	ʃita	ʃita	ʃita	tʔa	ʃita	ʃita
TOOTH_1	ha	ha	ha	ha	haː	haː	ha	ha	ha	ha			paː	ha	ha	haː	ha	haː	paː	haː	haː	ha	haː	ha	ha	ha	haː	ha	haː	ha	ha	ha	ha	ha	ha	ha	ha	βaː	ha	ha	ha	haː	ha	ha	paː	paː	ha	haː	ha	haː	ha	haː	ha	ha	ha	ha	ha	haː
TOOTH_2											nukaba																																															
TOOTH_3												βuʦɨnupaɴ																																														
TWO_1	βutaʦu	βutaʔʧi	βutaʔʦu	βutaʔʦu	βutaːʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʔʦu	βutaʦu	βutaːʦɨ	βutaːʦɨ	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaːʦɨ	βutaːʦɨ	βutaːʣɨ	βutaʦu	βutaʔʦu	βutaʦu	βutaʔ	βutaːʦu	βutaʦu	βutaʦu	βutaːtu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	tʔaːʦɨ	βutaʔʦu	βutaʦu	taːʧi	βuta	βutaʦu	βutaʦu	βutaʦu	βutaʧi	βutaʦu	βutaːʧi	βutaːʦɨ	βutaʔʦu	βutaːʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʔʧi	βutaːʦu	βutaʔʦu	taʧi	βutaʦu	βutaʦuː
VOMIT_1																				aɡiruɴ				aɡuʔ																																		
VOMIT_2	haku	haɡu	haɡu	hau	haku	haku	haku	haɡu	haku	haku	haku			haku	haku	haku	haku	haβu			haku	haɡu	haku		haku	haku	haku	haku	haku	haɡu	haku	haku		haku	hakjuɴ	haku	haku	βakuɴ	haku	haku	haku	haku	haku	haku	pakuɴ		haɡu	haku	haku	haku	haku	haku	haɡu	haku	haku	haɡuɴ	haku	haku
VOMIT_3													paksɨ						paʔtil																											paksɨ												
VOMIT_4												muduʃiɴ																																														
VOMIT_5																																	tosu																									
WALK_1																																			ʔaʔkjuɴ			ʔaʔkuɴ																				
WALK_2	aruku	ariɡu	ariɡu	aruɡu	aruku	aruku	ajumu	aruku	aruku	aruɡu	eːmu	aruɡuɴ	aɨksɨ	aruku	aruku	aruku	aruku	aiʦɨ	aruβu	araɡuɴ	aruku	aruɡu	aruku	ajuɴ	aruku	ajubu	aruku	aruku	aruku	aruɡu	ajumu	eːbu	aruku	aruku		aebu	aruku		ajume	ajubu	aruku	aruku	ariku	eːku	arakuɴ	alksɨ	aruku	aruku	aruku	araku	aruɡu	aruku	ariɡu	aruku	aruku	aiɡuɴ	ajumu	aruku
WARM_1			aʔtaɡɛ	aʔʦuː				aʔtaɡe		aʔtakeː					aʔtakai		aʔtaɡɛː					aʔtaɡɛ			aʔtakeː		aʔtakai			aʔtaɡɛː		aʔtakeː	atataka			aʔtakɛ			atatakeʃi		aʔtakeː			aʔtakɛː			aʔtaɡai				atatakai		aʔtako		aʔtakai			
WARM_2	nukuʧeː	nuɡue			nukui	ɲikutɛ	nuʔka		nukutø		nukuokja		nufukaɨ	nukui		nukui		nufukai	nufukam	nuβusaɴ	nukui		nukui	nuki		nuʔka		nukui	nukutai		nukuiː			nukui	nukuʃaɴ		nukiː	nukuʃeɴ		nuʔka		nukui	nokui		nuʔsaɴ	nufuʃaːl		nukui	nukui	nukui		nukui		nukui		nukusaɴ	nukui	nukui
WARM_3												noːsahaɴ																																														
WATER_1	miʣu	miɴʤi	miɴʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣɨ	miʣɨ	miʣu	miʣu	miʣu	miʣu	miʣɨ	miʣɨ	miʣɨ	miʣu	miɴʣu	miʣu	miʔ	miʣu	miʣu	miʣu	miɴdu	miʣu	miɴʣu	miʣu	miʣu	miʣu	miʣu	mɨʣɨ	miʣu	miʣu	miʤi	midu	miʣu	miʣu	miʣu	meʤi	miʣu	miʤi	miʣɨ	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miɴʤi	miʣu	miʣu	miɴ	miʣu	miʣu
WE_1			waɴdo										baɴta					baɴti	baɴti																										baɴtaː	aɴta												
WE_2																								ataitaʔ																																		
WE_3				wataʃidomo			ataʃidaʧi			wataʃitaʧi					wataʃidomo											wataʃidoɴ				wadasudaʦu	waʃitaʧi		wataʃidomo							wataʃidomo			wataʃidomo							waʃitaʧi	wataʃitaʧi			wataʃitaʧi	wataʃidomo			
WE_4		oreadaʤi						oredaʧi									oretaʧi					oredaʣu			oretaʧi																																	
WE_5																																waʃidomo						waʔtaː																			waʃidoː	
WE_6	waʃiraː				wataʃira	urara			waʃira		waira			waʃira		wataʃira					watera		otaʃira				wataʃira	wataʃiraː	wataʃira					waʃira	wakja		wataʃiraː		ware		waʃira	wataʃira		waʃira			wataʃira	wataʃira	waʃiraː			wataʃira	wadaʃida					watera
WE_7																																				ʤibuɴtaʧi																						
WET_1												doʔfariruɴ								ʣoʔβiɴ																									ʣoʔβuɴ													
WET_2																																						ɴriːɴ																		ɴɡaruɴ		
WET_3	nureru	joŋoreru	nureru	nureru	nureru	nureru	nururu	nureru	nureru	nureru	peːru		ɴmiɨ	nureru	nureru	nureru	nureru	ɴmiː	ɴmil		nureru	nureru	nureru	nuruʔ	nureru	nururu	nureru	nureru	nureru	nureru	nururu	noreru	nuruʔ	nureru	nərjuɴ	joɡoreru	nureru		nuru	nuruʔ	nureru	nureru	noreː	nureru		ɴmil	nureru	nureru	nureru	nureru	nureru	nureru	joŋoreru	nureru	nureru		nururu	nureru
WHAT_1	dono	dono	dono	dono	dono	dono	dono	dono	dono	dono	dono		ɴʤi	dono	dono	dono	dono	inu	iʤinu	noː	dono	dono	dono	doɴ	dono	doɴ	dono	ɴdono	dono	dono	doɴ	dono	doɴ	dono	dɨɴ	dono	deːno	nuːnu	nani	dono	dono	dono	dono	dono	nuːnu	ɴdənu	dono	dono	dono	doɴ	dono	dono	dono	dono	dono	nuɴ	doɴ	dono
WHAT_2												nuːjabaɴ																																														
WHERE_1	doko	doɡo	doɡo	doː	doko	doko	doko	doko	doko	doko	doko		ɴʣa	doko	doko	doko	doko	iʤa	iʣa		doko	doɡo	doko	doko	doko	doko	doko	ɴdoko	doko	doɡo	doko	doko	doko	doko	daː	doko	doko	raː	iduku	doko	doko	doko	doko	doko	maː	ɴda	doɡo	doko	doko	doko	doko	doko	doko	doko	doko		doko	doko
WHITE_1								maʔʃiro																							maʔʃiri																											
WHITE_2	ʃirøː	ʃire	sure	ʃireː	ʃiroi	ʃiroi	ʃiroka		ʃirøː	ʃiroi	ʃirokja			ʃiroi	ʃiroi	ʃiroi	ʃiroe			sɨsɨsaːɴ	ʃiroi	sure	ʃiroi	ʃire	ʃireː	ʃiroka	ʃiroi	ʃiroi	ʃiroi				ʃiroka	ʃiroi	sɨruʃaɴ	ʃireː	ʃireː	ʃiruʃeɴ	ʃiroʃi	ʃiroka	ʃire	ʃirøe	ʃiroe	ʃiroi			ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroe	ʃirøː	ʃiroi	ʦudari	ʃiriː	ʃiroi
WHITE_3													ʔsukaɨ					ʔsukai	ʔsukam											ʔʃoe															ʔsoːɴ	ʔsuʃaːl												
WHITE_4												ʔsoːʃahaɴ																																														
WHITE_5																																ʃireːnamaʔʧireː																										
WHO_1													ɴʤipsɨtu																																	ɴdinupsɨtu												
WHO_2																			talnupsɨtu																																							
WHO_3	døːʦu						dai		døːʦu		dai			dore									doiʦu	doɴʃi													deːʦu	tanʧuː	ta						taʔtaː								doeʤi				doitu	
WHO_4			donoβuto	doɴçito	donoʃito	donoçito		donoʃito		donoʃito					donoçito	donoʃito	donoçito				donoçito	donoçito			donoçito	donoçito	donoçito	ɴdonoçito	donoçito	donoçito	doɴʃito	donoʃito	donoçito	donoçito	duɴʦʔu	donoʃito				donoçito	donoʃito	donoçito	donofuto	donoçito				donoçito		donoçito	donoçito	donoçito		donoçito	donoçito			donoçito
WHO_5																		inusɨtu																																								
WHO_6		donoβutp																																																								
WHO_7																																																	donomoɴ									
WIDE_1													psɨsukaɨ						psɨsukal																											psɨsuʃaːl												
WIDE_2												psɨsuhaɴ																																														
WIDE_3																				maiʃaːɴ																									piʣoːɴ											maisaɴ		
WIDE_4	çirøː	ʃire	sure	çireː	çiroi	çiroi	çiroka	çiroi	çirøː	çiroi	çirokja			çiroi	çiroi	çiroi	çiroe				çiroi	çire	çiroi	çire	çireː	çiroka	çiroi	çiroi	çiroi	çiroe	çiri	ʃireː	çiroka	çiroi	çiruʃaɴ	çireː	çireː	çiruʃeɴ	çirøʃi	çiroka	βireː	çiroi	βuroe	çireː			çiroi	çiroi	çiroi	heroi	çiroi	çiroi	βiːre	çirøː	çiroi		çiriː	çiroi
WIDE_5																		βuikai																																								
WIND_1	kaʣe	kaɴje	kaɴʣe	kade	kaʣe	kaje	kaje	kaʣe	kaʣe	kaʣe	kaʣe	kaʤi	kaʤi	kade	kaʣe	kaʣe	kaʣe	kadi	kaʤi	kaʤi	kaʣe	kaɴʣe	kaʣe	kaʣe	kaʣe	kaje	kaʣe	kaʣe	kaʣe	kaɴje	kaje	kaʣe	kaje	kaʣe	kaʤə	kaʣe	kaʣe		kaʣe	kaje	kaʣe	kaʣe	kaʣe	kaʣe	kaʤi	kadi	kaʣe	kaʣe	kaʣe	kaʣe	kaʣe	kaʣe	kaɴʣe	kaje	kaʣe	kadi	kaje	kaʣe
WIND_2																																						haʤi																				
WING_1	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	pani	pani	hane	hane	hane	hane	hani	pani	pani	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane		hanə	hane	hane	βani	hane	hane	hane	hane	hane	hane	pani	pani	hane	hane	hane	hane	hane	hane	hane	hane	hane	pani	hane	hane
WING_2																																		haneɡeta																								
WORM_1	memeʣo	mimiɴʤi	memeɴʣu	mimiʣu	mimiʣu	mimiʣu	mimiʣu	mimiʣu	memeʣu	memeʣu	memeʣume	mimiʤɨ	mimiʤɨ	mimiʣu	mimiʣu	mimiʣu	memeʣume	ʤɨmiʤɨ	ʤɨmiʤɨ	mimiʤɨ	mimiʣu	mimiɴʣu	mimiʣu	mimiʣu̥	memeʣu	mimiʣu	memeʣu	mimiʣu	mimiʣu	mimiɴʣu	mimiʣu	memeʣu	mimiʣu	memeʣu	meːʤa	memeʣu	mimiʣu	mimiʤi		mimiʣu	memeʣu	memeʣu	memeʤi	memeʣu	miːmaʤi	miːmiʤɨ	mimiʣu	memeʣu	mimiʣu	memeʣu	mimiʣu	memeʣu	memeɴʤi	mimiʣu	memeʣu		mimiʣu	memeʣu
WORM_2																																																								timimi		
YEAR_1	toʃi	toʃi	tosu	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tusɨ	tusɨ	toʃi	toʃi	toʃi	toʃi	tusɨ	tusɨ	tusɨ	toʃi	tosu	toʃi	toʃi̥	toʃi	toʃi	toʃi	toʃi	toʃi	tosu	toʃi	toʃi	toʃi	toʃi	tuʃi	toʃi	toʃi	tuʃiː	tøʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tuʃi	tusɨ	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tuʧi	toʃi	toʃi
YELLOW_1												ksɨɴksɨʃahaɴ								ksɨɴksɨɴ																																						
YELLOW_2	kiː	kiːro	kiːro	kiːro	kiːro	ukoɴ	kina	kjuːro	kiːro	kiːro	kiːro		ksɨːru	kiː	kiːro	kiː	kiːro	ʦɨːru	kiːru		kiːro	ukoɴero	kiː	kinairo	kiːro	kina	kiːro	kiː	kiːro	kiːro	kiːro	kiːro	kiːro	kiːro		kiero	kiːro	kiːru	ki		kiːro	kiːro	kiːro	kiːro	kiːru	kiːru	kiːro	kiːro	kiːro	okoɴiro	kiːro	kiːro	ukoɴ	kiː	kiːro	kirui	kina	kiː
YELLOW_3																																			kʔiʔiro																							
YELLOW_4																																								kiɴnaka																		
