Gloss	Erzya	Estonian	Finnish	Forest Enets	Hill Mari	Hungarian	Inari Sami	Kildin Sami	Komi-Permyak	Komi-Zyrian	Livonian	Lule Sami	Meadow Mari	Moksha	Nganasan	North Karelian	Northern Khanty	Northern Mansi	Northern Sami	Northern Selkup	Olonets Karelian	Skolt Sami	Southern Sami	Tundra Nenets	Udmurt	Veps
MOUNTAIN	pando	mæɡ̥i	mæki~ʋuɔ̯ri	ɫɔɡarʲ	kərək	hɛɟ	væːri	tʲeːrːm	kʲerəs	ʨoj~kerəs	mæɡ	varːɛ	kuˑrɤk	panda	dʲikə	vʊɑrɑ~mæki	rəp	ur~ɲoːr	vaːrːi	maqːa	mæɡi	vaːrːʲɘ	pɨɛrjɛ	xoːj	ɡurezʲ	mæɡi
MOUSE	ʨʲejerʲ	hiːr	hiːri	tɔbik	kɑlja	ɛɡeːr	sæpliɡ	saːxpʎink	ʃɨr	ʃɨr	iːr	snji͡ɛrːa	koʎɑˑ	ʃejer	toɲdʲuku	hiːri	muwwoj	maːtjalnuj	saːhpaːn	tama	hiːri	sapːʲlʲi	sɲeæra	pʲīsʲɑ	ʃɨr	hirʲ
MOUSTACHE	us~mujuk	vurːud̥~vuntsʲid̥		munʧi	ørʃ	bɒjus	si̯æmu	oːaːbpan	ussez	us~pɨrtɕim	uːsɨd	njʊnjɛvʊu͡ɔlskavtːja	øˑrɤʃ	usaˑ	myndyʔsʲɐ	hɑpɛnɛt~viːksɛt	tuʃ	tus	se̯æmʊ	tarɨjukɨ	ʊsɑt	aːbːʲɛn	pijːiɛskɑːβʧuʌ	pɨjɑʔŋɨlɨmunoːʦʲʔ	mɨjɨk	hɑbinɔd
MOUTH	kurɡo	suː		naɕʲɛ	əʃmɑ	saːj	ɲælmi	ɲaːʎːm	əm	vom	suː	njalmːɛ	umʃɑˑ	kurɡa	ŋɐŋ	suː	uŋaɬ	suːp	ɲaːlɛbmi	øŋ	suː	ɲalʲmːʲɘ	ɲæːlmiɛ	ɲɑʔ	ɨm	sʊ
MOVE_(OF_PERSON)	ʃaʃtoms	lʲiːkumɑ	liːkːʊɑ	dʲazuɕʲ	kɑʃtɑʃ	mozoɡ	lihɐdið	lɨɡkne	ɫoknɨ~vʲetɫətnɨ	vərʑɨnɨ	likːə	lɑbʊdit	koʃtɑˑʃ	ʃaʃtoms	ŋusʲiːrsʲi~mənsərɨrsɨ	liːkːʊɔ	ɲoχattɪ	lakʷsantaŋkʷʲe	jɔhtih	laqaltʲeqa	liːkːʊɔ	likːɐd~liːkːeːd	jʉhtɛdh	xəjnəsʲ~ɲeːnzəmbəsʲ~ɲeːnzærʦʲ	vɨrɨnɨ	likːʊdɑ
MOVE_EMOTIONALLY	tokamssʲedʲejs	lʲiːɡ̥utɑmɑ~held̥imɑpɑnʲemɑ	liːkʊtːɑː		tærvætæʃ	mozdiːt	lihɐtːið	lɨksaçːte	ɕəɫəmvərʑətnɨ	normədnɨ	liktə~vɔːrʲʃtə	njʊu͡ɔrɑdit	kuˑmɤltɑrvɑtɑˑʃ	tokamssʲedʲi	kybybtɐludʲɐ	liːkʊtːʊɑ		ɲowumtaptuŋkʷʲe	lihkɑhih		hɛlːʏtːiæ~liːkʊtːʊɑ	likːtəːlːɐd	tuʌhtɛdh	mənzɑbtɑsʲ	sʲulmejʌtɨnɨ	likʊtɑdɑ
MOVE_IN_HASTE	erzkalʲems~kapʃams	rutːɑmɑ~kiːrustɑmɑ	kiːrɛxtiæ	ɫɨzbiɕʲ	væʃkæʃ	ʃiɛt	kirdetːiːð	kɨr̥ːte	termaɕnɨ	termɑɕnɨ	ruoikə	spajtːɑt	vɑʃkɑˑʃ	erʲaskodoms	mʲerɨsɨ~c͡çimʲinsʲi	kiːrɛxtiɛ	tərmaɬatɪ	moʎamlaŋkʷʲe	tɔ̯ɑpmɑh~kaːhʧːɑh	ʨekaptɨqa	kiːrɛxtiæ	c͡çiːrtɛd	βuʌʦɛdh	lɨdɑkɑrʦʲ	dɨrtɨnɨ	kirʊxtɑdɑ
MUSH	kaʃa	pud̥er	puːrɔ	kaʃa	ʃɯræʃ	peːp~kaːʃɒ	suohˑɐd	uxːt	kaʃa	rok	sɑndrok	rakʦɑ	puˑʧɤmɤʃ	jam		pʊtrɔ~hʊtːʊ	səmaŋɬant	soːlamt	pʊβrʊ	kaʃa~kaʃajmɨ	pʊdrɔ~kʊɑʃːʊ	xutːɐ	kʰrɑːβhʦɛ	kɑʃɑ~xɑskɑ	ʤuk	pʊdr
MUSHROOM	panɡo	sʲeːn	siɛ̯ni	tuzuku	poŋɡə	ɡombɒ	kuobɐr	kuːmpar	tʃak	ʧɑk	sɛːɲ	ɡʊu͡ɔpːɑr	poˑŋɡo	panɡa	bɐxiðʲiɐj	siɛni		laːχɪs	kʊ̯ɔpːɑr	aksɨl	ɡribɑ	kuəbːɐr	kuʌpːɛrɛ	tudɑkoː	ɡubi	sɛnʲ~bɑbʊk
NAIL_(TOOL)	eske	nɑel	nɑwlɑ	tæb	pəðɑ	sɛɡ	spijkːær	naːvːl	kərttuv	tuv~kərttuv	nɑˀɡːɨl	spiɡɛr~navlːɛ	pudɑˑ	eska	c͡çexə	nʊɑklɑ	karɬuŋk	keːrsoʎ~ʎeːŋk	spijkːaːr	tʲipɨ	nʊɑɡlɑinɛ	naulːʲɘ	spæjhkɛrɛ	tʲeːb	kortʧoɡ	nɑɡl
NAKED	ʃtapo	ɑlɑstʲi	ɑlɑstɔn	paɡiɕiza	ʦæræ	ʧupɒs~mɛztɛlɛn	pietitːem~pi̯ættæː	pefta~paːʎʲas	kuʃ	pɑɕtəm	pɔːʎɑz	rihʦu͡ɔ	ʧɑrɑmɑˑt	ʃtada~kərxtapa	luːɡʲiɐjjic͡çʷo	ɑlɑʧɔin	ɲar	ɲaːr~ɲaːrloːmtɪŋ	aːlaːs	ɲaŋɨʨaj	ɑlɑstɔi	paːʎːɒs	poɒʦːuʌh	pɑrkɑsʲədɑ	ɡolʲɨk	ɑlɑstɔi
NAME	lʲem	nʲimi	nimi	nim	lɯm	neːv	nomːɐ	neːmː	ɲim	ɲim	niˀm	nɑmːɑ	lym	lʲem	ɲim	nimi	nəm	nam	nɑmːɑ	ɲim	nimi	nəmːɐ	numːɛ	ɲumʔ	ɲim	nimi
NAPE_(OF_NECK)	ʨovoɲ	kukɑl	niskɑ	pirʲuɛ	lɑŋɡɑ	tɒrkoː	niekki	nɨɕːkmoant	jurbər	jurbər~bɑʎɑbəʒ	kiˀr~kɑˀɡːɨl	nisːkɛ	ʃyjloˑdɤʃ	ʃovoɲ	xirʲiʔiɐ	niskɑ		sʲopri	niɛhkːi~niski	suŋ	niʃkʊ~tɑɡɑrɑivɔ	ɲiʃʲcc͡çʲmʲɒːdː	ʧuβrɛsɛ	pɑwæ	jɨrber	tɑɡɑrɑi
NARROW	tʲejiɲe	kitsɑs	kɑpɛɑ	tɨja	æŋɡɯsɯr	kɛʃkɛɲ	kærʤi~keʣːi	keːɲʨeɕ	vʲekɲit	ottəm	ɔːˀdɨz	ɡi͡ɛdʦɛ	ɑˑŋɤsɤr	tʲajɲa	sʲikyo~sʲeɡəʎuky	kɑitɑ	wasʲ	osʲsʲa	ke̯æd͡sːi~se̯æɡki	ʨæsɨj	kɑidʊ	c͡çɛdʣʲɘ	kiɛʦːiɛs	tɨjɑk	sʲuleɡ	kɑid
NAVEL	poʨo	nɑb̥ɑ	nɑpɑ		kɯlɯmdɯ	køldøk	næːpi	naːbp	ɡəɡ	ɡəɡ	nɑbɑː	nahpɛ	kɤˑlɤmde	poˑkon	kiːŋ	nʲɑpɑ		pukni	naːhpi		nʲɑbɑ	naːpːʲɘ	næːpiɛ	sʲuʔ	ɡoɡɨ	nɑbɑ
NEAR	avasoloɲ	læhed̥ɑnʲe	læhɛi̯nɛn	bʲɛnɨʎajɡu	liʃɯl	køzɛli	ɑldemuʃ	aʎteɕ	matiɕ	mɑtɨs	lɛˀʒɡli~lɛˀʒɡɨli	lɑhkɑ	ʎiˑʃɤl	mala~afʲiʨkozdʲeɲ	nokʷo~kɐdʲɐdʲe~nokʷotʷo~noɡəʔʎɐky	læhini	wan	ʎapa	lɑkɑs	tætɨʨaj	læhinɛ~læhæinɛ	ɐldːləs	kiɛʦkiɛs	xɑxəjɑdɑ	mɑtɨsʲ	læhɛlinɛ
NECK	kirʲɡa	kɑel	kɑwlɑ	bʲak	ʃy	ɲɒk	ʧi̯æpːæt	ʧaːpex	juan	ɕɨɫi	kɑˀɡːɨl	ʧi͡ɛbɛt	ʃyj	sʲaldaz	bɐkəðəː	kɑklɑ	sapaɬ	sɪpluw	ʧe̯æpeh	soj	kɑɡlʊ	ʧɛapːɒt	ʧeæpuhkɛ	jik	ʨɨrtɨ	kɑɡl
NEEDLE_(FOR_SEWING)	salmuks	nɤel	nɛʊlɑ	nɛɛ	im	tyː	næːlu	ɲiːvːl	jem	jem	nɨˀɡːɨl	nalːu͡ɔ	jiˑme	salmoks	ɲejmɨ	niɛklɑ	jintap	juːntup	naːlːʊ	mɨka	niɛɡlʊ	nɛulːʲɘ	nɑːluʌ	ɲībʲɑ	veɲ	nɛɡl
NEST	pize	pesɑ	pɛsæ	pizi	pɯʒæʃ	feːsɛk	peːsi~piervɐl	peːɕː	poz	poz	piɛzɑː	bi͡ɛsːɛ	pɤʒɑˑʃ	piza	xɨtɨ	pɛsæ	tɪχaɬ	piti	pe̯æsːi	pʲitɨ	pɛzæ	piasːʲɘ	piɛsiɛ	pʲidʲɑ	kɑr~puzkɑr	pɛzɑ
NET	altɨma	vɤrk	ʋɛrkːɔ	pɔɡa	væpʃ	haːloː	viermi	nuːʒçt	kɨjət	tɨv	vɨrɡə	vi͡ɛrmːɛ~næːhːtɑ	vɑpʃ		bɨɡur	vɛrkːɔ	χoɬap	uːsma~χuːlup	fiɛrɛbmi	poqːɨ	vɛrkɔ	saimːʲɘ	βiɛrmiɛ	poːŋɡɑ	sʲetʲ	vɛrk
NEVER	azʲardojak	mitʲːekunɑɡ̥i	ɛi̯kɔskɑːn	kunharu	ninɑm~niɣənɑm~niɣənɑmɑt	ʃohɒʃɛm	ijku̯æssin	ejːɲikueɕː	ɲekər	ozɲekor	mitːɨkunɑːɡid	ijɡu͡ɔɑsːɑk~ijihkɛnis	oknʲiɡunɑˑm	afmzʲaˑrdonɡa	kɐŋɡəɡəʎic͡çi	ɛikɔnsɑnɑ~ɛinikɔnsɑ	nəmaɬtɪporana	nəmχuɲtat	ijɡɔ̯ɑsːeke	kuʃanaɕa	ɛinikɔnzʊ	iʝnikuasːʲɘ	ijɡoæsːiɛ	sʲɑxɑrtʔ~sʲɑxɑŋɡɑrtʔ	uznoku	ɛinikɔnz
NEW	od	uːs	uːsi	mʲɛju	u	uːj	uːðɐs	oːdt	viʎ	vɨʎ	uːʒ	ɔdɔs	u	od	mʲeɲdʲɐdʲe	uːsi	jiɬap	jiʎpi	ɔðɑs	ɕentɨ	uːzi	oːðɐs	urːɛ	jeːdæj	vɨlʲ	ʊzʲ
NEWS	kulʲa	uːd̥is	uːtinɛn	mʲɛjubaza	uver	uːjʃaːɡ	uːðɐs	oːdts~soːaːɡk	novosc	vɨʎtor	uːʒrɨk	ɔdɔs~sahkɑ	uveˑr	kulʲaˑ	dʲurɨmɨ	sɑnɔmɑ~uːtini	ajkeɬ	jiʎpiʎaːχχal	saːhkɑ	ɕentɨj	uːdinɛ~kuːlʊminɛ	sɒːkːɐ	sæːrniɛ	jeːdæjʲun	vɨlʲivor	ʊziʃtʊz
NEWSPAPER	ɡazʲeta	ɑjɑlʲext	lɛxti~sɑnɔmɑlɛxti		ɣɑzet~kɑjzet	uːjʃaːɡ~hiːrlɒp	ɑːvis	ɡazet	ɡaʑeta	ɡɑʑet	ɑːiɡɑlɛːˀɟ	ɑvijsːɑ	ɡɑzeˑt	ɡazʲeˑta		lɛxti	ɣazʲeta	ɣazʲeːta	plaːðːi	ɡazʲeta	ɡɑziɛtːʊ~sɑnɔmʊlɛxti	listːɐ~ɡɒzʲɒːt	pʰlæːriɛ	pɑdərʔ	ɡɑzʲet	lɛxtɛz
NEXT_TO	vaksso	kɤrvɑl	ʋiɛ̯rɛsːæ	ksɔhɔn	sɑɣɑ	mɛlːɛtː	pɑːldɐst	poaʎːte	bokam~bokɕinɨm	berdɨn	kuːorɑl~kilɡsə	baldɑn	voktʲeˑn	vakssa	kɐdʲɐnu	viɛrɛsːæ~læsːæ	ʎepna	poːχat~ontsɪl	paːldtɑs	qanɨqɨn	kɔrvɑs~rinːɑl~viɛrɛs	pɒːldɐst	pɑːltɛsɛ	xæwxɑnɑ~xɨnɑ	bordɨn	rindɑl
NIGHT	ve	œː	yœ̯	pi	jəð	eːj~eːjsɒkɒ	ijːɐ	ɨjː	oj	voj	iːɛ	iʤɑ	jyd	vʲe	xiː	yœ	at	ət	icːɑ	pʲit~lɨpɨqɨn	ʏœ	inːɐ	jɨjːɛ	pʲi	uj	œ
NINE	vejkse	yheksɑ	ʏxdɛksæn	ɲɛsa	ɯndekʃʃyðɯ	kilɛnʦ	oːvʦe	axːʦ	əkmɨs	əkmɨs	iːˀdɨks	ɑkʦɛ	jindeˑʃ	vʲeˑjxksa	ŋɐmʲiɐjc͡çumə	yhɛksæn	jartjaŋ	ontolow	ɔvʦːi	ukːɨrʨaŋkɨtɨjkʲon	ʏhɛksæ	ɔxʲtʦʲɘ	ʉkʦiɛ	xɑsujuʔ	ukmɨs	ʏhɛsɑ
NINETY	vejkseɲɡemʲeɲ	yheksɑkymːend̥	ʏxdɛksæŋkʏmːɛntæ	ɲɛsabiu	ɯndekʃlu	kilɛnʦvɛn	ohʦelov	axːʦloaɡk	əkmɨsdas	əkmɨsdɑs	iːˀdɨkskimdə	ɑkʦɛlɔhkɛ	jindeˑʃʎe	vʲeˑjxksoɡemoɲ	ŋɐmʲiɐjc͡çuməbʲiːʔ	yhɛksæŋkymːɛntæ	jarsot	ontɪrsaːt	ɔvʦːilɔki	kʲotʨaŋkɨtɨjton	ʏhɛksækʏmːɛn	ɔxʲtʦʲlʲo	ʉkʦiɛlʉhkiɛ	xɑsujurʔ	ukmɨston	ʏhɛsɑkʏmnɛ
NOISE	ʃalnoma	myrɑ	mɛlʊ~hælinæ	ɫɛu	juklɑnəmɑɕː	zɒj	ruojɐ~ʃlɑːmɐ	ʃer̥ː~joːafː	ʃum	ʃɨ~zɨk~zɨʨitəm	mærɑː	jʊhʦɑ	lyʃkɤmɑˑʃ~jykjyɑˑn	ɡajf~ʒalakodoma	ŋirmʲi	hæly	sɪj	suj	ʃlaːpmɑ	ɕymɨ	kɔhʊ~hælinɛh	ʃuːmːməʃ	stʉjmiɛ	xærnɑ	ʧɑʃeton	jʊdʊ
NOOSE	kilʲkʃ	ɑːs	ɑnsɑ	mara	oŋɡə	tøːr	kielɐ	kiːlː~ɕeːɕː	ɫəʨ	ɫeʨ	lɨks~lɑmɑːtɨks	ɡi͡ɛrɑs	oˑptɤʃ~ʃørɡɑˑltɤʃ	kilʲkʃ	məru	ɑnsɑ~silmʊkːɑ	ɬɪs	lɤːs	mɔhkːi	muqːɨjanmøt	rixmʊ	c͡çiəlːɐ~aːɟɟ͡ʝʲɛs	laʧka	jeːsʔ	ɡiʥ~ɡerd	rixm
NORTH	jakʃamojonks	pɤhi	pɔhjɔi̯nɛn	umu	jəðpelvel	eːsɒk	tɑve	tavːal	oj	vojvɨv	piɛrɑː	nʊu͡ɔrtːɑ	jydjɤmɑˑl	jakʃamaʃirʲe	dʲɐŋur	pɔhjɔni	owsmuw~nɪmmuw	luːima	tɑvːi	qoŋqɨjtætːɨ~sʲewer	pɔhjɑinɛ	tɐvːʲɘ	nuʌrhtɛ	ŋeːrm	ujpɑl	pɔhjɔinɛ
NOSE	sudo	nʲinɑ		puja	ner	orː	ɲune	ɲuɲː	nɨr	nɨr	nɑnɑː	njʊnːjɛ	nʲer	ʃalxka	ŋynkə	nɛnæ	ɲoɬ	ɲol	ɲʊnːi	jinʨaj	nɛnæ	ɲuːnːʲɘ	ɲʉɛniɛ	pɨjɑ	nɨr	nɛnɑ
NOT	a	ei~mitʲːe	ɛi̯	i~ni	uke	nɛm	ij	ejː	oɡ	oz	æˀb~mitːə	ij	ok~oˑɡeʃ	af	ɲintuː	ɛi	at	at	ij	aɕa	ɛi	iʝɐ	ij	ɲi	uz	ɛi
NOTICE	ɲejems	mærkɑmɑ	huɔ̯mɑtɑ	mɔdɨʧʲ	ʦɑklɑʃ	eːsrɛvɛs	ɑiʦːɐð~hu̯æmæʃið	ujːne	kaʑavnɨ	kɑʑɑvnɨ	mɑˀɲːə	ajtːsɑt~ɡæːhːʧɑt~ʦʊu͡ɔjɡːit	ʃiʒɑˑʃ	ɲaˑjems	kuŋkudʲɐ~kɐc͡çeməsɐ	hʊɔmɑtɑ	ʃijaɬatɪ~kasʲaɬatɪ	kaːsalaŋkʷʲe	aːjʦɑh~fʊ̯ɔbmaːh	qolʨɨqa	hʊɔmɑtɑ~dɔɡɑdiɛ	ɒitʦɐd~xuəmstɛd	ɑːjhʦɛdh~lahtɛstidh	mɑnæʦʲ~sæwtʲeːsʲ	ɑdʥɨnɨ	hɔmɑitɑ
NOVEMBER	nojabrʲa	novemb̥er	mɑrːɑskuː	ibʎɛjɡupʲɛjzadiri	nojaβrʲ	novɛmbɛr	mɑrːɑsmæːnu~skɑmːɐmæːnu	nojabr	nojab	vəʎɡɨm	novɛmbɨr	bɑsadismanːu͡ɔ	kɤlmetɤlze~nojɑˑbr	ejndamkov	ŋityʔokic͡çəðəː	pimiɛkuː	aspottɪtɪɬasʲ	nojaːbr~janɪɣtakʷs	skaːbmɑmaːnːʊ	ʨɨqɨrɨjjirat	kʏlmʏkuː	skɒmːmaːn	rahka~kɔlkuʌ	ɲudʲɑpæwdʲeːj	ʃurkɨnmon	kʏlʲmkʊ
NOW	ɲej	nyːd̥	nʏt	tɛza~tɛzari		moʃt	tæːl	atʲː	əni	əni	ni	dɑl	ɤˑnde~kɤˑzɤt	tʲaɲi	ŋonəiʔ~tɐxɐrʲiɐ	nyt~nykyjæh	in	aɲ	tɑl	tʲi	nʏɡœi	ɐːnʲɘ	tæːliɛ	tʲeːdəʔ	ɑlʲi~tɑbere	nʏɡʏdʲ
OCTOBER	oktʲabrʲa	oktoːb̥er	lɔkɑkuː	ɔktʲabrʲ~kʲɛzʲɛrkɔradiri	oktjaβrʲ	oktoːbɛr	loɡɑmæːnu~roːvːɐdmæːnu	oktʲabr~oktʲabrmaːnː	okcab	jirɨm	oktoːbɨr	ɡɔlɡɔdismanːu͡ɔ	ʃɤʒɑ~oktʲɑˑbr	kelʲmazakov	məʎkymsʲɐ	sɑjɛkuː	ajtaχaʲatpottɪtɪɬasʲ	maːɲtɪlalɪsʲlanɤːtpos~maːɲtakʷɪs~oktʲaːbr	kɔlɡkɔtmaːnːʊ	kæksajirat~oktʲabrʲ	liɡɑkuː	kɔlɡːmaːn~rəːɣːɐdmaːn	kulkɛ~rɨhkɛdɛ	xoːrʔʲirʲij~oːktʲɑbrʲ	vɨlʲʤuktolezʲ	rɛdʊkʊ
OFTEN	sʲejetʲste	tʲixtʲi~sɑɡ̥elʲi	ʊsɛi̯n	pʲɛri	ʧɯʧkɯðɯn	ʃoksor	tævjæ	toːaːjːv	ɫɨ	ʧəkɨdɑ	sɑˀɡːɨld	alʊ~abɑj~dajvːa	ʧyˑʧkɤdɤn	sʲiˑdʲesta	ŋuŋkəɡəiʔ	ʊsɛiʧːi~rikɛnɛh	wankutn	waːtiχal	taːvjaː	ukːɨrtɨŋ	pʊɑksʊh	tauʝːɒ	tɑːmtaj	ŋoːbkɑd~ŋoːkɑrʲiʔ	ʧem	pɑksʊs
OIL (ORGANIC SUBSTANCE)	oj	ɤlʲi	œljʏ	dʲur	y	olɒj	oʎo	vuːjː	vi	vɨj	ɛʎːə	ʊlːju͡ɔ~u͡ɔɑlːju͡ɔ	yj	vaj	dʲir	siɛmɛnvɔi		woːj	ɔʎʊ	yr	pʏhævɔi~siɛmɛnivɔi	vuəʝːɐ	ɔlja	jurʔ	vʌj	vɔi
OLD_(AGED)	sɨrʲe	vɑnɑ	ʋɑnhɑ	busimʲɛ~mʲɛnsimʲɛ	ɯlɑlʃɯ	ørɛɡ	pu̯æris	puereɕ	ɡoda~ɡoddeza	pərɨɕ	vɑnɑː	vʊu͡ɔrɑs~bu͡ɔɑrɛs	ʃoˑnto	sʲirʲe	bəjkʷo	vɑnhɑ	priasʲ	matum	vʊ̯ɔrɑs	jiraj	ijækæs~rʊɑvɑs~vɑxnʊ	puarʲɛs	βuʌrɛs	weːsæj~puxumɨ	peresʲ	rɑvɑz
OLD_(USED)	taʃto	vɑnɑ	ʋɑnhɑ	kudahaj	ʃoŋɡə	oː~reːɡi	u̯æmis	vuemʲː	vaʒ	vɑʒ	vɑnɑː	u͡ɔɑmɛs	toˑʃto	taʃta	xynsʲerəː	vɑnhɑ	katra	peːs	pɔ̯ɑris	mʲentaj	vɑxnʊ	vuamʲɛs	poæriɛs	ɲeːwxɨ	vuʒ	vɑnh
ONCE_(IN_THE_PAST)	vestʲ~zʲardobutʲi	vɑnɑstʲi	ɑi̯kɑnɑːn	ŋɔbkutun	ikænæ	hɒjdɒn	tovle	eːçːteɕt	ətpɨr	ətʨɨd~ətpɨr	vɑɲʃti	ɔvdɛbʊt	jikɑnɑˑ	vʲestʲ~mzʲaˑrdabdʲi	ŋʷoðɐʔkuʔ	kɛrːɑn	ipuʃ	akʷnakt	aːjki~tɔlin	ukːɨrpar	kɛrːɑn	tuːlʲɘ	tɛjpɛli	ŋoːbŋɡunɑ	oɡpol~odiɡpol	ɛndɛ~kɛrdɑn
ONE	vejke	yks	ʏksi	ŋɔʎu	iktɯ~iktɯt	ɛɟ	ohtɐ	eːxːt~oːxːte	ət	əcik	ikʃ	ɑktɑ	jik	fka	ŋuʔoʲiʔ	yksi	i	akʷa	ɔktɑ	ukːɨr	ʏksi	əxtːɐ	aktɛ	ŋoːbʔ	odiɡ	ʏksʲ
ONE_TIME	vestʲ	kord̥~ykskord̥	kɛrːɑn	ŋɔʎu	ɣænæk~ɣænæ	ɛɟsɛr	ohtiː	eːft̬eːrː	ətpɨr	ətʨɨdɨɕ	kɨːrdɑ~ikʃkɨrd	ɑkti	jikɑnɑˑ	vʲestʲ	ŋʷoðuʔ~ŋuʔoðuʔ	kɛrːɑn	ipuʃ	akʷsʲos	ɔkte	ukːɨrpar	kɛrːɑn	koʝo~mɔtːmɛʃt	ikth	ŋoːbŋɡunɑ~ŋoːbʔmeːwɑ	oɡpol	kɛrdɑn
ONION	ʨurʲka	sʲib̥ul	sipʊli	ɫuk	oxərɑ	hɒɟmɒ		lukveʨ	ɡrʲez	ɫukkok~jənɡɨʎ	siːpɨl	løhːkɑ	ʃoɡɑˑn	ʃurʲxkaˑ	xotəːɡə	luːkːɔ		sajmpum	laːvki	luk	lɑʊkːʊ	luːkːɐ	løːkɛ	pɑdjədæj	suɡon	lɑʊk
ONLY	ansʲak	ɑinult	ʋɑi̯n~ɑi̯nɔɑstɑːn	ri	vele	ʧɒk~ʧupaːn	væː	leʃa~lɨʃːe	toʎko	kuʃ~səmɨn	sɛt	dɔsːjɔ	ɡɤnɑˑ	aɲʦʲek	tətiʎɐʲiʔ	vɑin	tup	tup	tʊʃːe	ʨaŋaŋ~oʎa	vɑikʊ	pɐiɐ~lɛʃɒ~tɔːlʲc͡çʲɘ	ajβɛ~parːɛ	wɑlɑkədɑ	ɡine	jærɡ~vɑiʃɛ
OPEN	panʒoms	ɑvɑmɑ	ɑʋɑtɑ~ɑwkɑi̯stɑ	nætɛɕʲ	pɑʧɑʃ	ɲit~kiɲit	ævustið~ʧu̯ævdið	aːvde	oɕtnɨ	voɕtɨnɨ	vɑːldiɲtiːˀɛdə	rɑhpɑt~rɑbadit	poʧɑˑʃ	panʒems	bʲɐrədʲi	ɑvɑtɑ	punʃtɪ	puːnsuŋkʷʲe	rɑhpɑh	nyqa	ɑvɑtɑ	ritʧɐd~aːvʲeːd~ʧɔudːʲɛd	rɨhpɛstidh	næsʲ	usʲtɨnɨ	ɑvɑitɑ
OPEN_(OF_DOOR)	panʒado~vidʲe	ɑvɑtud̥~lɑxtʲinʲe	ɑʋɔnɑi̯nɛn	nætɛj	viʃ	ɲiːlt~ɲitotː	æːvus	aːv	oɕːəm	voɕsɑ	vɑːldiɲ	rɑbas	viʃ	panʒada~vʲidʲe	bʲɐrʲisʲi	ɑvɔin	punʃam	puːnsɪm	rɑpɑs	nypɨtɨj	ɑvvɔnɑinɛ	ʝɐːlʲdʲɛs	laʧkɛs	næwɨ~ɲɑŋɡərmɨ	usʲtem	ɑvɔin~ɑvɔlʲjɑinɛ
OR	jilʲi	vɤi	tɑi̯	ŋɔ	lʲəvə	vɒɟ	ɑdɑi	ele~vaj	iʎi	ʎibə	ɑɡɑː	jɑli	jɑ~ɑˑʎe	jilʲi~alʲi	jiʎi	tɑhi~tɑhikːɑ		man	tɑhçe	aʎi~jiʎi	libɔ	ɒvi~lɛbʲɛ	jalːh	ɲibtɑ	jɑke	vɑi
OTHER	lʲija	muː~tʲeinʲe	muː~tɔi̯nɛn	dʲɔɡɔd	ves~vesɯ	maːʃ~maːʃik	nubːe	mudta~jeːreɕ	mukəd	mukəd	muː	nʊbːɛ	ves~moˑlo	lʲija	xunsəː	tɔini	pa	moːtan	e̯æraː~nʊbpi	mænɨj	muː~tɔinɛ	nubːʲɘ~ʝeːrʲɛs	jeæʧɛbɛ	ŋɑɲi	muket	tɔinɛ
OWL	korʒ	kɑkː~œːkulː	pœlːœ	pisama	təmɑnɑ	bɒɡoj	ijːɐlodːe	kuɲːloaɲːt~ʧuːzem̬ueʰpej	tupka	ɕuʑ	buːˀs	skʊnju͡ɔk	tumnɑˑ	koˑroʒ	kəndiʔə	pœlːœ		maːŋkʷla	skʊ̯ɔlɛfi	pʲija	hyːbiː~tuːkːɑi	iːðsɒʒ	sɲɔɡluʌ	xəɲeːbʦʲoː	kuʨɨrɑn	hirʲpʊlɔ
OWN	ulʲems~ulʲemsazoroks	omɑmɑ	ɔmistɑː	tɔnɛɕʲ	kə́ʧɑʃ	birtokol	omɐstið	ʎijːe	ɫonɨ	ɫonɨ	uˀmːistə	æːjɡːʊt	ʎijɑˑʃ	ulʲemsazorks	xonsɨ	ɔmistʊɑ	tajtɪ	oːɲsʲuŋkʷʲe	ɔ̯ɑmɑstih	mærɨqa	ɔmistʊɑ	leːdʲɘ	eːkɛdh	təɲɑsʲ~meːʦʲ	luɨnɨ	ɔmiʃtɑdɑ
PADDLE	mʲilʲo	ɑer	ɑi̯rɔ	ɫɔbʲɛ	veʃlæ	ɛvɛzøː	æiru	aːrːj	pʲeɫɨs	peɫɨs~əpɑsnəj	ɑirɨz	ajrːu͡ɔ	eʃkɑˑk	mʲilʲe	tʷobsɐ	ɑirɔ	ɬup	tuːp	aːjrʊ	lapɨ	ɑirɔ	airːɐ	ɑːjruʌ	lɑbʲɑ	polɨs	ɑir
PAIN	serʲedʲks	vɑlu	kipʊ~særkʏ	dʲɛzi	kɑrʃtəʃ	faːjdɒlom	tuʃke~poːvʧɐs	keːbp	zubɨt	viɕəm	vɑˀl	bavʧɑs	koˑrʃtɤʃ	marʲama	dʲɐrʲi	kipʊ~tʊskɑ	kaʃi	aːɣm	paːvʧːɑ	ʨyʃa	kibʊ~kivistʏs	tɔsʲcc͡çʲɘ	hæːrhpiɛ	jeːdʲɑ	visʲon	kibʊ
