	№	English	Arabic (MSA)	Najdi (Riyadh)	Gulf (Emirati)	Levantine (Central/Syro-Lebanese)	Basra (Southern Iraq)	Iraqi (Southern Iraq/Baghdad)	Moslawi (Northern Iraq)	Sanaani (Sana'a)	Dhofari (Oman)	Cypriot (Kormakitis)	Egyptian (Lower Egyptian)	Sudanese (Khartoum)	Chadian (Western Sudanic)	Tunisian (Tunis)	Moroccan (Casablanca)	Moroccan (Northern pre-Hilalian)	Hassaniya (Mauritanian)	Maltese
9	169	to burn (intransitive)	šaʕala, ħarɑqa	ənħarag	ħarag	ħɑrɑʔ		čuwɑ, ħ(t)erag, šeʕal	ħaġăq	ħarag, dazz	ħrāq, šaħšaħ	xɑrɑk	ħaraʔ	ħarag	harag	ħraq	ħrəq		ħrăg, ħma	ħaraq
10	170	road	ṭɑrīq, darb (more path)	darəb, ṭɑrīg	dareb, ṭɑrīg	tɑrīʔ, darb		dareb	ṭrīq, daġib	darb	ṭɑrīq	tɑrp, trīk	sekka, tɑrīʔ (more way)	ṭɑrīg, sikka	dirib, tarīg (more way)	ṭriq, kayyās	ṭriq, karrətēra		ṭrīg	triq
11	171	mountain	jabal	jebal, ð̣ilāʕ	yebal	žabal		jebal	jabal	ğabal, ṣabir	ʕaqaba, gabīl	žipel	gabal	ğabal	(ras) hajar	žbal	žbal		kǝdya	muntanja, għolja
12	172	red	ʔaħmɑr	ħɑmɑṛ	ħɑmɑṛ	ʔɑħmɑr		ʔɑħmɑr, damawi	ăħmɑġ, qĕrmĕziyy	ʔaħmɑr	ħmār, xumrī (deep)	ɑxmɑr	ɑħmɑr	aħmɑr	ah(a)mar	aħmar	ħmər		ăħmɑr	aħmar
13	173	green	ʔaxḍɑr	xɑð̣ɑṛ	xɑð̣ɑṛ	ʔɑxḍɑr		ʔɑxð̣ɑr	ăxð̣ɑġ	ʔaxð̣ɑr	xðɑ̄r	prásino, xoðer	ɑġdɑr	gɑrɑmɑ̄nī, ɑxḍɑr (dark green to dark grey)	ʔaxadar	axḍir	xḍər		ăxð̣ɑr neʕnāʕ	aħdar
14	174	yellow	ʔaṣfar	ɑṣfɑr	ɑṣfɑr	ʔɑṣfɑr		ʔɑṣfɑr	ăṣfɑġ	ʔaṣfɑr	ħɑnṭī, ṣfɑ̄r	sítrino, asfar	ɑsfɑr	asfɑr	ʔasfar	aṣfir	ṣfər		ăṣvɑr	isfar
15	175	white	ʔabyɑḍ	ɑbyɑð̣	ɑbyɑð̣	ʔɑbyɑḍ		ʔɑbyɑð̣, šakari (creamy)	ăbyɑð̣	ʔabyɑð̣	byɑ̄ð̣	ápkyað	ɑbyɑd	ɑbyɑḍ	ʔabyet	abyiḍ	byəḍ		ăbyɑð̣	abjad
16	176	black	ʔaswad	aswad	aswad, abrag (usu. for animals, black and blue)	ʔɑswɑd		ʔaswad, hendes (pitch black)	ăswad	ʔaswad	swād	ísvet	eswed	azrag, aswɑd (more pitch black)	ʔazrag	akħil	kħɘl		ăkħal	iswed
17	177	night	layla	lēl	lēl	leyle ~ lēla		lìel	lĭl	laylih	lēl	layl	lēla	lēla	llēl	līl	lil		leyl	lejl
18	178	day (daytime)	yawm, nahār (daytime)	yōṃ	yōṃ	yowm ~ yōm, nhɑ̄r		yōṃ	nəhɑ̄ġ	yawm	yōm	xar	yōm, nɑhɑ̄r (daytime)	yōm, nɑhɑ̄r (daytime)	yōm	nhār	nhɑr		ănhār	jum, ġurnata, nhar (daytime)
19	179	year	ʕām, sana	sanah	sana	sene		sana	sani	sanah	sana, ʕām	sine	sana	sana, ʕām, ħōl	sana	ʕām	ʕam		ʕām, sna (this year)	sena
0	180	warm (as in weather)	dāfiʔ	dāfi	dɑ̄fi	defyēn (bodies), soxn (food)		ħɑ̄mi, dɑ̄fi	dīfi	dāfi, ħāmi (more hot)		xɑrr, sxun	dāfi	dāfi	hāmi	dāfi, sxūn (more hot)	dafi		ħāmi, dāfi (more lukewarm)	sħun
1	181	cold (as in weather)	bārid	bāred	bɑ̄ṛed	bēred		bɑ̄ṛed	ṣqīʕ	bārid	bārid, karaʕ	peret	sāʔeʕ	bārid	bārid	bārid	bared		bārəd	kiesaħ, biered
2	182	full	malān, mumtaliʔ, kāmil	mənteli	matrūs, mamzūr	malyān, metlēn, mʕabbē		matrūs, mqɑppaṭ	kāməl	malyān, matrūs, kāmil	mʕabbī, matrūs	mplan	malyān	malyɑ̄n	melān	mʕebbi	ʕamər		mlān	mimli
3	183	new	jadīd	jədīd	yadīd	ždīd		jedīd	jdīd	ğadīd	gadīd	žtīt	gedīd	ğadīd	jedīd	ždīd	ždid		ždīd	ġdid
4	184	old	qɑdīm, ʕatīq (ancient), šayb (old age), šayx (old age), ʕajūz (unable; by ext. elderly)	gədīm, šāyeb (people)	qɑdīm, kabīṛ (people), ʕōd (usu. big but also old; objects & people)	ʔadīm (objects), xetyɑ̄r, šeyb (people, more attributive noun), ʕatīʔ (more ancient)		ʕatīg, qɑdīm, šāyeb (only people)	qădīm, ʕătīq, šīb (only people)	gadīm, kabīr (more big), ʕağūz (people)	qɑdīm (objects), dawīl (objects, people), šēb (people, abstract), dāθir (ancient)	ʕɑtīk	ʔadīm (objects), ʕagūz (people)	gadīm (objects), ʕaṭīg (ancient), ʕağūz (people)	gedīm, šēb (people)	qdīm (objects), kbīr (people)	qdim, kbir (people)		adras, akhal (people), kbīr (people)	xiħ (people), qadim (objects), antik (objects)
5	185	good	jayyid, ħasan, ṭɑyyib (more well)	zíen	zēn, xōš	mnīħ, ṭɑyyɪb (more well)		zíen, xōš	mlīħ, xōš	nāhi, kwayyis, ʕīs (very good)	zēn, ħašama	kaes, taep	k(u)wayyes, ħelʷ (more sweet, beautiful)	samiħ, kuwayyis, šadīd (more well)	sēme, zēn	bāhi	mɘzyan, ḍrif		zayn, măʕlūm	tajjeb
6	186	bad	sayyiʔ, radīʔ	šēn, rədiyy	šēn	ʕɑ̄ṭel		mu zíen, čuruk	mâ mlīħ, čirik, mâ xōš	šūʕ, bɑṭṭɑ̄l	xɑ̄yis, bɑ̄ṭil	vešex	waħeš	bɑṭṭɑ̄l, waħiš	hawān, mā sēme	xāyib, dūni	xayb, qbiħ		māhu zayn, šayn, rāx, mmăhli (more for people), ffɑnṭi (also noun)	ħażin
7	187	rotten (as a log)	fāsid, ʕafn (putrid), musawwas (decayed)		xɑ̄yes, maħawħaw	mɑnzūʕ, msowwes (wood)		xɑ̄yes	məxănbaq, xăyyiṣ	xɑ̄yis, mnattin, sawwas (wood)	dhent, zaham	ʕefen	meʕaffen	maxawrɑn, ʕafen	ʕafin	xāmiž	xaməž, msuwwəs (wood)		xāmǝr, mŭxnəz	immuffat, mħassar
8	188	dirty	wasix, najas (unclean)		waṣəx	wesex (dirt), mižwē (unclean regardless of material)		waṣix, nages, zafer	wiṣix	wasix, ṭeṣel	ħatak, šaxal	măʕaθθi	wesex	wasxān, wasix	wasix	mmassix	mmʷssəx		ṃṃʷassəx	maħmuġ
9	189	straight	mustaqīm, ʕala ṭūl (more straight away)	ṭawwālī, bajd	sīdɑ	doġri		ʕadel, guḅɑḷ	ṭăwlāni, ʕadil	sāni	sīdɑ, (ʕala) ṭūl	iša	ʕedel, ʕɑlɑṭūl (also straight away)	ʕadīl, ṭɑwwɑ̄lī	ʔadīl	ṭūl	mʕewweṭ, nišan		msaggam	dritt
10	190	round	mustadīr	mdawwɑr	mdawwɑr	mdowwer		mdawwar, mdaʕbal	(ə)mdawwiġ	mdawwɑr, mukawwɑr		strondžilí	medɑwwɑr	muḍawwɑr, mudardam	mudawwar, girgīt (more stout)	mdawwir	mḍuwwər		mzăgnən	tond
11	191	sharp (as a knife)	ħādd		ħādd	ħādd		ħādd	ħādd	ħādd			ħāmi	ħādd	tarīn, mutarrag	mɑ̄ḍi	mɑḍi		mṭaṛṛag, ħādd, māð̣i, mtīn (also severe)	qawwi, penetranti
12	192	dull (as a knife)	kalīl, muθlim		aʕma	mtallam, miš ħadd		aʕmi	məθlūm				bāred, telem	mayyit	kalla, mayyit	ħāfi	ħafi		dāvər, dəkăm	ċatt, matt, spuntat
13	193	smooth	ʔamlas, nāʕem	ʔamlas	ʔamlas	nēʕem, meles		nāʕem, amlas	ămlas, nīʕim	tāsi, rāxī (also thin)	sabṭ		nāʕem	amlas, mārin	mārin	arṭib	mləs, rṭəb		ămlas	mieles, lixx
14	194	wet	rɑṭb, muballal	mablūl, raṭub	mablūl, rɑṭəb (more humid)	mbɑllɑl		nɑ̄geʕ, mballal	(ə)mnɑqqɑʕ	ɑxð̣ɑr, mablūl	xð̣ɑr, rɑṭb	maplúl	mablūl	mablūl	layyen, mablūl	mablūl	fazəg		măblūl	mxarrab
15	195	dry (adjective)	jāff, yābis	yābis, nāšef	ħāff, nɑ̄šef	nēšef		yɑ̄bis, nɑ̄šef	nīšif	yābis, nāšif	yābis	yepes	nāšef	yābis, nɑ̄šif	yābis	šāyɑħ	yabəs		yābəs	niexef, xott
16	196	right (correct)	ṣɑħīħ, tamāma(n) (more completely), ṣɑ̄ˀib, mɑḍbūṭ (also exactly), ħaqqɑ(n) (also truthfully), ʕādil (also even, just(ly))	ṣəħīħ, mɑð̣būt	ʕadel, ṣɑħīħ	mɑẓbūt, tamēm, sɑħ(ī)ħ		ṣɑ̄yeb, ṣɑħħ	ṣɑħīħ	ṣɑħ(ī)ħ	ħaqq, ṣɑħħ		ṣɑħħ, mɑẓbūt	ʕadil, ṣɑħ(ī)ħ	sehī, ʔadīl	ṣħīħ	ṣħiħ, hadak (m), hadik (f)		ṣħīħ, ṣɑ̄ləħ	tajjeb, sewwa
17	197	near	qɑrīb, bi-qurb, bi-jānib (more beside)	d͡zərīb, wzān (beside), ʕənd (beside)	gaṛīb, dūni, yamm (more beside)	ʔarīb, ħadd (more beside)		qɑṛīb, yamm (more beside)	qăġīb, yămm (more beside)	garīb, ğamb	qurb, qɑrīb	žump	ʔorɑyyeb (men), gamb (more beside)	garīb	garīb	qrīb, ħðē (more beside)	qrib, ħdɑ (more beside)		grăyyəb, ħða (more beside)	qrib, ħdejn
18	198	far	baʕīd	baʕīd	baʕīd	beʕīd		bʕīd	bʕīd	biʕīd	baʕūd, natara	pĕʕīt	beʕīd	baʕīd, ġɑ̄di (very far)	beʔīd	bʕīd	bʕid		bʕīd	bgħid
19	199	right (side)	yamīn	yəmīn	yemīn	yemīn		ʔayman (m), yimna (f)	(ɘ)ymīn	yimān	yamīn		yemīn	yamīn	(ʔīdak) azzenāy	līmīn	əmin		(l-eyd) lʕarbiyya	lemin
0	200	left (side)	yasār, šimāl (also north)	yesār	yesɑ̄r	šmēl		ʔaysɑr (m), yisra (f)	yăṣɑ̄ġ	yɑsɑ̄r, šimāl	šɑdɑf, yɑsɑ̄r	zărvá	šemāl	šimɑ̄l	(ʔīdak) alʔisrāy	līsār	šmal, əṣri		(l-eyd) lʕaṣriyya	xellug
1	201	at	bi, ʕind, ʔilā (more towards)	ʕənd	ʕend	ʕind, eb, bi		ʕe(n)d, eb-	ʕidd	ʕind, fī	ʕind	ʕint	ʕand	ʕind	fī (place), fōg (people)	ʕand	ʕənd		ʕand	għand, fi, sa
2	202	in	fī, bi	fī, əb-	fi	bi, eb, fi (fig. only)		əb-	əb-	wɑṣṭ, fī	fī	fi	fe	fi	fī	fī	fi		v	fi, ġo, ġewwa
3	203	with (accompanying)	maʕ, bi	maʕ(ɑ̄), ʕənd-	wiyya, b-	mɑʕɑ, bi, wiyye (only accompanying; somewhat adverbial)		wiyyɑ, eb-	mɑʕɑ	miʕ	maʕ, bi	maʕ-	maʕa, be, wayya (poetic)	maʕa, bi	maʔa, be	mʕā	mʕa		mʕa, bə	ma', miegħ-
4	204	and	wa	w-, wɑ	w-, wɑ	u		we, w-	u, w-	wa, w-	wa	u	wo, w-	wa, u	wa	ū	u-		u, w	u
5	205	if	ʔið(ā), law (conditional), ʔin (conditional)	iðā, ən	lo, iðɑ, (ən)čɑ̄n	ʔizɑ, law, enkēn		lō, eðɑ̄	ăðā	lɑ̄, ʔiðɑ̄	iðā, lō, bā (conditional)	an, kan	law, en (conditional)	in, lɑw (conditional)	kān	ʔīðā	ilɑ		ilā, lu (irrealis)	jekk
6	206	because	liʔanna, kayy, min ajali (in order that), ʕala šaʔn (as a consequence), bisababi (with that reason)	le(ʔa)nn, ʕašān, lajel (in order that), bəlā- (on account of)	lenn, aʕšɑ̄n, lajel (on account of, so as to)	laʔinno, ʕašēn (more for), kermēl (on account of, so as to)		ʕalamōd, číef	ămbūr, bəjġān (more Christian)	ʕa(la)sibb, min mayd (on account of)	ʕašān	ta, ðyotī	ʕa(la)šān	ʔaʕšɑ̄n	fīšān	ʕlā xāṭer	ħit, ʕla ħqqaš (on account of), ʕla qbal (on account of)		bīh(əlli)	għax
7	207	name	ʔism	es(ə)m	asem	ʔesem		esm	isim	ʔism	ism	ism	esm	ism, sammu	ʔus(u)m	ism	səm, smiyyɑ		ism	isem
