Gloss	Erzya	Estonian	Finnish	Hungarian	Inari Saami	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Pite Saami	Proto-Uralic	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Ume Saami	Veps	Votic	Võro
MOON_153-b									maːnː																		
MOON_153-c										tɤliɕ	tɤlɯɕ			tə̠lze									toleʑ				
MOON_153-d													eːtpos														
MOON_153-e								iki																			
MOON_153-f																			iræ								
MOON_153-g																											
MORNING_273-a			ɑːmu																								
MORNING_273-b		homːik				hoːmuz																				oːmnikːo	
MORNING_273-c																											
MORNING_273-d																											
MORNING_273-e																											
MORNING_273-f	vɑlske~vɑlske																										
MORNING_273-g														er													
MORNING_273-h										ɑsɯv	ɑsɯv																
MORNING_273-i				rɛɡːɛl																							
MORNING_273-j													χol														
MORNING_273-k																											
MORNING_273-l																			qɑrə								
MORNING_273-m									iːnʦkenʧ																		
MORNING_273-n								ɑːləŋ																			
MORNING_273-o															kyðiɑtu												
MOSQUITO_220-a			hyt̪ːyne̞n																								
MOSQUITO_220-b	ɕeɕke	sæːsk	sæːski			sæːski			ʧuːʃːk																	sæs k	
MOSQUITO_220-c																											
MOSQUITO_220-d																											
MOSQUITO_220-e										nom	nom																
MOSQUITO_220-f				suːɲoɡ																							
MOSQUITO_220-g														ʃə̠ŋɑ													
MOSQUITO_220-h																							ʨibiɲ				
MOSQUITO_220-i													ʎoːmwoj														
MOSQUITO_220-j															ɲenəŋkə				nenəŋqɑ								
MOSQUITO_220-k								pilŋi																			
MOSQUITO_220-l								kø̝jŋi																			
MOSQUITO_220-m																											
MOTHER_154-a			æit̪i																								
MOTHER_154-b		emɑ				emæ									ɲemɯ				ɤmə							emæ	
MOTHER_154-c						mɑːmɑ																				mɑːm	
MOTHER_154-d									jeːnːʲ																		
MOTHER_154-e																											
MOTHER_154-f	ɑvɑ																										
MOTHER_154-g																							ɑnɑi				
MOTHER_154-h				ɒɲɒ																							
MOTHER_154-i													ɕiɕ														
MOTHER_154-j								əŋki					ɑːŋkʷ														
MOTHER_154-k								əs																			
MOTHER_154-l										mɑm	mɑm																
MOTHER_154-m																							mumɯ				
MOTHER_154-n														ɑβɑ													
MOUNTAIN_155-a			ʋuo̞ri																								
MOUNTAIN_155-b		mæki				mæki																				mæʧi	
MOUNTAIN_155-c																											
MOUNTAIN_155-d	pɑndo																										
MOUNTAIN_155-e														kurə̠k													
MOUNTAIN_155-f											ʨoj																
MOUNTAIN_155-g										kerɤs													ɡureʑ				
MOUNTAIN_155-h				hɛɟ																							
MOUNTAIN_155-i													ur														
MOUNTAIN_155-j													ɲoːr														
MOUNTAIN_155-k								pelæ																			
MOUNTAIN_155-l																			qɤː								
MOUNTAIN_155-m									paːhkʲ																		
MOUNTAIN_155-n								jŏɣ																			
MOUNTAIN_155-o																											
MOUNTAIN_155-p																											
MOUNTAIN_155-r															bəru												
MOUTH_5-a		suː	suː	saːj		suː							suːp													suː	
MOUTH_5-b									ɲaːlːʲm																		
MOUTH_5-c	kurɡo																										
MOUTH_5-d														umʃɑ													
MOUTH_5-e										ɤm	vom				ŋɑŋ				ɑːŋ				ɯm				
MOUTH_5-f													tuːs														
MOUTH_5-g								lul																			
MUMBLE_293-a		mɣmisetɑ																									
MUMBLE_293-c																										bomizɤmɑ	
MUMBLE_293-d																											
MUMBLE_293-e																											
MUMBLE_293-f																											
MUMBLE_293-g	motkodʲems~motkodʲems																										
MUMBLE_293-h														poŋɡɑrtə̠lem													
MUMBLE_293-i														pə̠ʧə̠mɑtem													
MUMBLE_293-j														tetelem													
MUMBLE_293-k													lomɣi														
MUMBLE_293-l								mŏɭəɣ																			
MUMBLE_293-m				mocoɡ																							
MUMBLE_293-n																											
MUMBLE_293-o										bobɡɯnɯ																	
NAME_16-a	ʎem	nimi	nimi	neːv		imi		nem	neːmː	ɲim	ɲim		nɑm	lym	ɲim				ɲim				ɲim			nimi	
NARROW_156-a			kɑpe̞ɑ																								
NARROW_156-b						kɑid̥ɑ																					
NARROW_156-c		kiʦɑs																									
NARROW_156-d																										ɑhɑz	
NARROW_156-e																											
NARROW_156-f									kienʲʦesʲ																		
NARROW_156-g																											
NARROW_156-h																											
NARROW_156-i	tʲejiɲe																										
NARROW_156-j														ɑŋə̠sə̠r													
NARROW_156-k											vekɲi																
NARROW_156-l											otːɤm																
NARROW_156-m				kɛʃkɛɲ																							
NARROW_156-n				syːk																							
NARROW_156-o													oɕːɑ														
NARROW_156-p								wæɲtʲ																			
NARROW_156-q																											
NARROW_156-r																			ʨuə̠sə								
NARROW_156-s																											
NARROW_156-t																							ɕubeɡ				
NARROW_156-u										ʥeskɯt																	
NARROW_156-v															ɲeu												
NARROW_156-w															ɕikyə												
NAVEL_45-a		nɑpɑ	nɑpɑ			nɑb̥ɑ																				nɑpɑ	
NAVEL_45-b	poʧo																										
NAVEL_45-c														kə̠lə̠mde													
NAVEL_45-d										ɡɤɡ	ɡɤɡ												ɡoɡɯ				
NAVEL_45-e															kiːŋ				ɕøːɲ								
NAVEL_45-f								pø̆ɣɭəŋ					pukɲi														
NAVEL_45-g									naːbːʲ																		
NAVEL_45-h																											
NEAR_157-a		læhetɑl	læɦe̞lːæ											liʃne~liʃne													
NEAR_157-b						liɡ̊i																				liʧi	
NEAR_157-c																											
NEAR_157-d									alːʲt																		
NEAR_157-e	mɑlɑso																										
NEAR_157-f										mɑtɯn	mɑtɯn												mɑtɯn				
NEAR_157-g				køzɛl																							
NEAR_157-h													wɑːtʲi														
NEAR_157-i													ʎɑpɑt														
NEAR_157-k																											
NEAR_157-l																			ʧɑʧæ								
NEAR_157-m																										juːrɤz	
NEAR_157-n																										tyven	
NEAR_157-o																											
NEAR_157-p															kɑdʲɑ												
NEAR_157-q															noɡɑʔʎuky												
NECK_24-a		kɑel	kɑwlɑ			kɑɡ̊lɑ																				kɑɡl	
NECK_24-b								sæwəl	ʧaːpex		ɕilɯ		sip~sip	ʃyj													
NECK_24-c	kirʲɡɑ																										
NECK_24-d																							ʨɯrtɯ				
NECK_24-e				ɲɒk																							
NECK_24-f										ɡoʎɑ	ɡoʎɑ																
NECK_24-g															bɑkəðə												
NECK_24-h																			soːʎ								
NECK_24-i								tur																			
NECK_24-j																											
NEW_56-a	od	uːs	uːsi	uːj		uːz			oːdː	viʎ	vɯʎ			u									vɯʎ			uːsi	
NEW_56-b													jiʎpi														
NEW_56-c								jələw																			
NEW_56-d																											
NEW_56-e																											
NEW_56-f															meɲdʲɑdʲe												
NEW_56-g																			ɕentə								
NIGHT_21-a	ve	øː	yø̯	eːj		øː		əj	ɨjː	oj	voj												uj			yː	
NIGHT_21-b													eːt	jyt													
NIGHT_21-c															hiː				pi								
NIGHT_21-d																											
NINE_226-a	veikse	yheksɑ	yçde̞ksæn			yheksæn			axːʦ					indeʃ~indeʃ												yhesæ	
NINE_226-b										ɤkmɯs	ɤkmɯs												ukmɯs				
NINE_226-c				kilɛnt͡s																							
NINE_226-d													oːntolow														
NINE_226-e																											
NINE_226-f																			okːərʨɑːŋkut								
NINE_226-g								əjərtjəŋ																			
NINE_226-h															ŋɑmiɑjʧumə												
NIT_280-a	ɕɑrko		sɑiʋɑre̞			sɑivɑr			ʧivːras	ɕerɤv	ɕerov			ʃɑrɣenʧe									ɕerer			sɑivɤr	
NIT_280-b																											
NIT_280-c		tæimunɑ																									
NIT_280-d																											
NIT_280-e								seɳəɣ					sɑːniɣ														
NIT_280-f																											
NIT_280-g																			ʧuːrɑ								
NIT_280-h		tiŋk																									
NIT_280-i				ʃɛrkɛ																							
NOSE_2-a		ninɑ	ne̞næ			nenæ			ɲunːʲ																	nenæ	
NOSE_2-b	sudo																										
NOSE_2-c										nɯr	nɯr			ner									nɯr				
NOSE_2-d				orː																							
NOSE_2-e								ɲŏl					ɲol														
NOSE_2-f																			puʨə								
NOSE_2-g															ŋyŋkə												
NOT_59-a	ɑ	ei	e̞j			ei		ənt~ənt	e	ɑbu	oz		ɑt	oɣə̠ʃ					ɑsə				uz			ei	
NOT_59-b				nɛm																							
NOT_59-c										ɲe																	
OLD_75-a		vɑnɑ	ʋɑnxɑ			vɑnhɑ																				vɑnɑ	
OLD_75-b									puerʲesʲ														pereɕ				
OLD_75-c																											
OLD_75-d									vuːras																		
OLD_75-e	sirʲe																										
OLD_75-f	kezerʲeɲ																										
OLD_75-g														ʃoŋɣo													
OLD_75-h				ørɛɡ																							
OLD_75-i													jis														
OLD_75-j													mɑtəm														
OLD_75-k														toʃto													
OLD_75-l																			meːntæʎ								
OLD_75-m				reːɡi																							
OLD_75-n								əs																			
OLD_75-o																											
OLD_75-p															mɑnuədʲəː												
OLD_75-q								pɯrəs																			
OLD_75-r															bəjkuɑ												
OLD_75-s										pɤriɕ	pɤrɯɕ																
OLD_75-t										vɑʒ	vɑʒ												vuʒ				
ONE_33-a	vejke~vejke	ykːs	yksi			yks		əjəl~əjəl	eːxːt	ɤtʲik	ɤtʲik		ɑkʷɑ~ɑkʷɑ	ikte~ikte									odiɡ~odiɡ			yhs	
ONE_33-b				ɛɟː																							
ONE_33-c															ŋuʔəiʔ				okːər								
ONLY_254-a			ʋɑin			vɑː																				vɑ	
ONLY_254-b		ɑinult																									
ONLY_254-c									oːxːte																		
ONLY_254-d																											
ONLY_254-e																											
ONLY_254-f																											
ONLY_254-g																											
ONLY_254-h																											
ONLY_254-i																											
ONLY_254-j																											
ONLY_254-k	ɑnɕɑk																										
ONLY_254-l				t͡ʃɒk																							
ONLY_254-m													pɑt	ɣə̠nɑ													
ONLY_254-n													sɑr														
ONLY_254-o													nɑs														
ONLY_254-p																											
ONLY_254-r								mərəm																			
ONLY_254-s																											
ONLY_254-t										ʥir																	
ONLY_254-u											toʎkɤ												toʎko				
ONLY_254-v																			toʎko								
ONLY_254-w																											
ONLY_254-y															ŋuəðəbtə												
OTHER_158-a		teine	t̪o̞ine̞n			toin																				tɤin	
OTHER_158-b		muː	muː							mɤd~mɤd	mɤd~mɤd		moːt	molo									muket			muː	
OTHER_158-c																											
OTHER_158-d																											
OTHER_158-e	ombo																		ɑːmə								
OTHER_158-f														βese													
OTHER_158-g				tøbːi																							
OTHER_158-h								pæ																			
OTHER_158-i																											
OTHER_158-j															ŋɑmiɑj												
OTHER_158-k															hunsəː												
OTHER_158-l	ʎijɑ																										
OTHER_158-m								perəɣ																			
OTHER_158-n									mudːa																		
PERSON_240-a		inimene	içmine̞n			inmiːn																				inimin	
PERSON_240-b			he̞ŋkilø̞			henki																				enʧi	
PERSON_240-c																											
PERSON_240-d									olma																		
PERSON_240-e				sɛmeːj																							
PERSON_240-f	lomɑɲ																										
PERSON_240-g														ɑjðeme									ɑdʲɑmi				
PERSON_240-h														jeŋ													
PERSON_240-i										mort	mort												murt				
PERSON_240-j				ɛmbɛr																							
PERSON_240-k													χum						qum								
PERSON_240-l													eːləmχoːlɑs														
PERSON_240-m								kɑ̆sɯ																			
PERSON_240-n															ŋɑnɑʔsɑ												
PERSON_240-o		isik																									
PERSON_240-q																											
PERSON_240-r						elˑæːjæ																					
PICK UP_234-a			po̞imiɑ																								
PICK UP_234-b		korjɑtːɑ																									
PICK UP_234-c		nopːiɑ				nobliɑ~nopːiɑ																					
PICK UP_234-d																											
PICK UP_234-e																											
PICK UP_234-f																											
PICK UP_234-g																											
PICK UP_234-h	purnɑms																										
PICK UP_234-i											leptɯnɯ																
PICK UP_234-j				fɛlsɛd																							
PICK UP_234-k														poɣem													
PICK UP_234-l														nɑlɑm													
PICK UP_234-m																			uə̠ʨːə								
PICK UP_234-n									pajne																		
PICK UP_234-o										boɕtnɯ																	
PICK UP_234-p																											
PICK UP_234-r															ŋənsubtɯsɯ												
PIECE_252-a	pɑl	pɑlɑ	pɑlɑ			pɑlɑ																				pɑlɑ	
PIECE_252-b			kɑpːɑle̞																								
PIECE_252-c		tykː																								tykːy	
PIECE_252-d																											
PIECE_252-e																											
PIECE_252-f									kusːʲk																		
PIECE_252-g	pɑnks																										
PIECE_252-h	peʎks																										
PIECE_252-i											rɤʨ																
PIECE_252-j										tor	tor																
PIECE_252-k				dɒrɒb																							
PIECE_252-l														komə̠ʎɑ													
PIECE_252-m														moklɑkɑ													
PIECE_252-n														lɑʃtə̠k													
PIECE_252-o																							keseɡ				
PIECE_252-p													loːmt														
PIECE_252-q													pɑːr														
PIECE_252-r													oχsɑ														
PIECE_252-s																											
PIECE_252-t																			liːpə								
PIECE_252-u								ʧop																			
PIECE_252-w															dʲukə												
PLAY_159-a			le̞jkːiæ																								
PLAY_159-b																											
PLAY_159-c																											
PLAY_159-d																											
PLAY_159-e		mænkitɑ																								mænʧymæ	
PLAY_159-f	nɑlkɕems																										
PLAY_159-g																											
PLAY_159-h									siːrːe																		
PLAY_159-j														moðɑm													
PLAY_159-k										orsnɯ	vorsnɯ																
PLAY_159-l																							ʃudɯnɯ				
PLAY_159-m				jaːt͡sːik																							
PLAY_159-n								jɑ̆ŋkːɑ					jonɣi														
PLAY_159-o															sɑnirɕɑ				sɑːnʧər								
PLAY_159-p						tiukːɑː																					
PLAY_159-q			pelɑt̪ɑ			pelɑd̥ɑ																				pelɑmɑ	
PLAY_159-r																											
PLAY_159-s																											
PULL_160-a		vetɑtɑ	ʋe̞t̪æː			vetˑæː																				vetæmæ	
PULL_160-b		tɤmːɑtːɑ				temːɑd̥ɑ																				tɤmpɑmɑ	
PULL_160-c									kiesːʲe																		
PULL_160-e	uskoms																										
PULL_160-f														ʃupʃɑm													
PULL_160-g										kɯskɯnɯ	kɯskɯnɯ												kɯskɯnɯ				
PULL_160-h				huːz																							
PULL_160-i				von																							
PULL_160-j													χɑrti														
PULL_160-k								tæl~tæl																			
PULL_160-l																			yː								
PULL_160-m																											
PULL_160-n																											
PULL_160-o						tɑsːiɑ																					
PULL_160-p															ɲɑɡəbtɯsɯ~ɲɑɡəbtɯsɯ												
PUSH_161-a			t̪yø̞n̪t̪æː							tojlɑvnɯ	tojnɯ																
PUSH_161-b																											
PUSH_161-c																											
PUSH_161-d		lykɑtːɑ		løk		lyɡ̊æd̥æ																					
PUSH_161-e									ojːkje																		
PUSH_161-f																											
PUSH_161-g																											
PUSH_161-h	tulkɑdʲems																										
PUSH_161-i														ʃykem													
PUSH_161-j																							donɡɯnɯ				
PUSH_161-k				tol																							
PUSH_161-l													sɑːŋχwi														
PUSH_161-m													nɑriɣti														
PUSH_161-n								wɑrt																			
PUSH_161-o														tykem													
PUSH_161-p																											
PUSH_161-q																			noqːo								
PUSH_161-r						touɡ̊ɑd̥ɑ																					
PUSH_161-s																											
PUSH_161-t																											
PUSH_161-u																										pisːemæ	
PUSH_161-v																										pyntːæmæ	
PUSH_161-w																											
PUSH_161-x																											
PUSH_161-y															nomədʲɑ												
RAINBOW_310-a			sɑt̪e̞ːnkɑːri																								
RAINBOW_310-b																											
RAINBOW_310-c																											
RAINBOW_310-d		vikːerkɑːr																									
RAINBOW_310-e																											
RAINBOW_310-f																											
RAINBOW_310-g																											
RAINBOW_310-h																											
RAINBOW_310-i									tiːrʲmesʲjuːkːs																		
RAINBOW_310-j	piʑemeʧirʲke																										
RAINBOW_310-k	purʲɡiɲeʧirʲke																										
RAINBOW_310-l														ʃonɑnpə̠l													
RAINBOW_310-m											ɤʃkɑmɤʃkɑ																
RAINBOW_310-n				sivaːrvaːɲ																							
RAINBOW_310-o																							vujuɯɕ				
RAINBOW_310-p								ʧuɣijo̝ɣəl																			
RAINBOW_310-q																											
RAINBOW_310-r						vihmɑkɑːrːe~vihmɑkɑːrːe																					
RAINBOW_310-s																										ikoloːk	
RAINBOW_310-t										jenɤʃkɑ																	
RAINBOW_310-u													ɲulijiw														
RAINBOW_310-v								ʧuɣijo̝ɣəl	tiːrʲmesʲjuːkːs				ɲulijiw														
RAINBOW_310-w																											
RAINBOW_310-x		vikːerkɑːr	sɑt̪e̞ːnkɑːri			vihmɑkɑːrːe~vihmɑkɑːrːe																					
RAINBOW_310-y															ŋuə hontə												
RAINING OR RAIN_13-a		sɑtɑtɑ				sɑe									soruɑ				sorənʧæ								
RAINING OR RAIN_13-b		vihm				vihmɑ																				vihm	
RAINING OR RAIN_13-c									aːbːʲr																		
RAINING OR RAIN_13-d																											
RAINING OR RAIN_13-f														jyr													
RAINING OR RAIN_13-g										zer													zor				
RAINING OR RAIN_13-h				ɛʃøː																							
RAINING OR RAIN_13-i													rɑkʷ														
RAINING OR RAIN_13-j								ɭɑ̆wətʲ																			
RED_66-a		punɑne	punɑine̞n			punˑɑin																				punɑ	
RED_66-b																											
RED_66-c									ruːpːse																		
RED_66-e	jɑkstʲerʲe													joʃkɑr~joʃkɑr													
RED_66-f										ɡɤrd	ɡɤrd												ɡord				
RED_66-g				piroʃ																							
RED_66-h				vørøʃ				wertə					wiɣər														
RED_66-i													neːrp														
RED_66-j																			ɲɑːrqə								
RED_66-k																										kɑuniz	
RED_66-l															dʲɑbɑʔkuo												
RIGHT_162-a	vitʲ		o̞ike̞ɑ			oikiɑ																					
RIGHT_162-b		pɑrem												purlɑ									bur			pɑrɤb poːli	
RIGHT_162-c																											
RIGHT_162-d									vuelʲkesʲ																		
RIGHT_162-e										veɕkɯt	veɕkɯd																
RIGHT_162-f				jobː				jəmsi					jomɑspɑl														
RIGHT_162-g															məɡu ɲiːdʲə												
RIGHT_162-h																			tɑːt~tɑːt								
RIVER_164-a		jɤki	jo̞ki			joɡ̊i		joɣəɳ	joːɡː	ju	ju		jɑː													jɤki	
RIVER_164-b																											
RIVER_164-c	ʎej																										
RIVER_164-d														eŋer													
RIVER_164-e																							ʃur				
RIVER_164-f				fojoː																							
RIVER_164-h																			kɯ								
RIVER_164-i																			qolətːu								
RIVER_164-j															ɲemɯʔɯɑ												
RIVER_164-k															biɡɑj~biɡɑj												
ROAD_165-a		teː	t̪ie̞			teː				tuj	tuj															teː	
ROAD_165-b																											
ROAD_165-c									keajːn																		
ROAD_165-d																											
ROAD_165-e																											
ROAD_165-f	ki																										
ROAD_165-g														korno													
ROAD_165-h																							ɕures				
ROAD_165-i				uːt											ŋutɑ				uə̠tːə								
ROAD_165-j								ɭœk					ʎoːχ														
ROAD_165-k																											
ROAD_165-l															sərəː												
ROAD_165-m																											
ROAD_165-n																											
ROAD_165-o																											
ROAST OR FRY_265-a			pɑist̪ɑː			pɑistɑː																					
ROAST OR FRY_265-b													sɑːriti														
ROAST OR FRY_265-c		prɑːtitɑ																									
ROAST OR FRY_265-d																											
ROAST OR FRY_265-e																											
ROAST OR FRY_265-f																											
ROAST OR FRY_265-g																							pɯʒɯnɯ				
ROAST OR FRY_265-h	rʲestɑms																										
ROAST OR FRY_265-i														kyeʃtɑm													
ROAST OR FRY_265-j				ʃyt																							
ROAST OR FRY_265-k																										ʧyhzetːemæ	
ROAST OR FRY_265-l																											
ROAST OR FRY_265-m																			pirə								
ROAST OR FRY_265-n									kuerːʲte																		
ROAST OR FRY_265-o																											
ROAST OR FRY_265-p																										ʒɑːritːɤmɑ	
ROAST OR FRY_265-q											prɑʒitnɯ																
ROAST OR FRY_265-r										ʒɑritnɯ																	
ROAST OR FRY_265-s															ɕɑiðɯsɯ												
ROOT_9-a	jur	juːr	juːri			juːri																				juːri	
ROOT_9-b																											
ROOT_9-c	undoks								vuenʲtesʲ																		
ROOT_9-d										vuʒ	vuʒ			βoʒ					konʧə				vɯʒɯ				
ROOT_9-e				ɟøkeːr																							
ROOT_9-f								ler					tɑːr														
ROOT_9-g	korʲon																										
ROPE_93-a		køis	køysi			køyz							kʷɑːliɣ													ʧøysi	
ROPE_93-b									nurːʲ																		
ROPE_93-c																											
ROPE_93-d																											
ROPE_93-e																											
ROPE_93-f																											
ROPE_93-g																											
ROPE_93-h	piks																										
ROPE_93-i														kerem													
ROPE_93-j										ɡez	ɡez												ɡozɯ				
ROPE_93-k				køteːl																							
ROPE_93-l								ʧoɳʧəɣ																			
ROPE_93-m																			ʧeːmʧə								
ROPE_93-n								irkæn																			
ROPE_93-o																											
ROPE_93-p																											
ROPE_93-q																										trosːi	
ROPE_93-r																											
ROPE_93-s															bɯnɯ												
ROTTEN_225-a			lɑɦo̞			lɑho																				lɑho	
ROTTEN_225-b		mætɑ																									
ROTTEN_225-c																											
ROTTEN_225-d														mekʃɑn													
ROTTEN_225-e									kuːdʦ																		
ROTTEN_225-f	mɑkʃov																										
ROTTEN_225-g	nɑksɑdo																										
ROTTEN_225-h										siɕ	siɕ												ɕiɕ				
ROTTEN_225-i				korhɒtː																							
ROTTEN_225-j													sɑːp														
ROTTEN_225-k								lø̆jəm																			
ROTTEN_225-l																											
ROTTEN_225-m										ɲoʎʑɤm																	
ROTTEN_225-n																			teːpəʎ								
ROTTEN_225-o				rohɒtː																							
ROTTEN_225-p																											
ROTTEN_225-q															ʧiːniʔiɑ												
ROUGH_271-a		kɑre				kɑrhiɑ																				kɑrmɑ	
ROUGH_271-b																											
ROUGH_271-c																											
ROUGH_271-d																											
ROUGH_271-e																											
ROUGH_271-f																											
ROUGH_271-g	kɑʑɑmo													kozə̠rɑ													
ROUGH_271-h	irʒɑɲɑ																										
ROUGH_271-i														koʃtə̠rɑ													
ROUGH_271-j											zumɯd																
ROUGH_271-k				durvɒ																							
ROUGH_271-l																							ʃɑkres				
ROUGH_271-m									keːrː																		
ROUGH_271-n						kɑle																					
ROUGH_271-o										ʨorɯt																	
ROUND_166-a			pyø̞re̞æ			pøːræhæin		pøŋɭək																			
ROUND_166-b						ymb̥ærikːoi̯																				ymːerkɤin	
ROUND_166-c																											
ROUND_166-d																											
ROUND_166-e									jorːʲpesʲ																		
ROUND_166-f																											
ROUND_166-g														ʧumə̠rɑʃ													
ROUND_166-h										ɡɤɡrɤsɑ	ɡɤɡrɤs																
ROUND_166-i																							kotɯres				
ROUND_166-j				kɛrɛk				kørək																			
ROUND_166-k													mɑrɑwi														
ROUND_166-l																											
ROUND_166-m																			pyrəʎ								
ROUND_166-n	keverʲ																										
ROUND_166-o														tə̠rtə̠ʃ													
ROUND_166-p														jə̠rɣeʃke													
ROUND_166-q																							pitɯres				
ROUND_166-r				ɡømbøjyː																							
ROUND_166-s																			koʎɑʎ								
ROUND_166-t	kruɡlovoj														lɑlujkuə												
ROUND_166-u															mɑndɑjku												
RUB_167-a		hɣːrutɑ	hie̞ro̞ɑ			heːrojɑ			jeːrːe																		
RUB_167-b			hɑŋːɑt̪ɑ																								
RUB_167-c																											
RUB_167-d																											
RUB_167-e		nyhkːitɑ																									
RUB_167-f																											
RUB_167-g	ʧovɑms																										
RUB_167-h	jozɑms																										
RUB_167-i										zɯrtnɯ	zɯrɑvnɯ												zɯrɑnɯ				
RUB_167-j										ɲirtnɯ	ɲirɑvnɯ																
RUB_167-k																							posɯnɯ				
RUB_167-l				dørʒøl																							
RUB_167-m													sɑrti														
RUB_167-n																			pyːqəlʧəkːu								
RUB_167-o																											
RUB_167-p														nyʒɑm													
RUB_167-q														jə̠ɣem													
RUB_167-r								sejɣəl																			
RUB_167-s																											
RUB_167-t																											
RUB_167-u										tʲoritnɯ																	
RUB_167-v						ihmɑd̥ɑ																					
RUB_167-w																										ʃɑrkːimɑ	
RUB_167-x																											
RUB_167-y								nir																			
RUB_167-z															ɲɑkidʲɑ												
RUN_83-a		joːstɑ	juo̞stɑ			joːsːɑ																				johsɤmɑ	
RUN_83-b																											
RUN_83-c																											
RUN_83-d																											
RUN_83-e	ʧijems																										
RUN_83-f														kurʒɑm													
RUN_83-g																							bɯʑɯnɯ				
RUN_83-h				fut																							
RUN_83-i				sɒlɒd																							
RUN_83-j													χɑːjti														
RUN_83-k								kɔɣəl																			
RUN_83-l																											
RUN_83-m																			kurɑl								
RUN_83-o										kotrɑɕnɯ	kotɤrtnɯ																
RUN_83-p								nø̆rəɣtə																			
RUN_83-q								kəs																			
RUN_83-r									viːʤe																		
RUN_83-s																											
RUN_83-t																										siukɑmɑ	
RUN_83-u																											
RUN_83-v																											
RUN_83-w																											
RUN_83-x															hojkirɕɑ												
SALTY_224-a		soːlɑne	suo̞lɑine̞n			soːlɑin																				soːlɤin	
SALTY_224-b																							kuʑɯt				
SALTY_224-c															sɯrɯləməː~sɯrɯləməː												
SALTY_224-d																			ɕɑːq								
SALTY_224-e				ʃoːʃ																							
SALTY_224-f																											
SALTY_224-g									suːlːʲ																		
SALTY_224-h	sɑltoʑ~sɑltoʑ																										
SALTY_224-i														ʃinʧɑlɑn~ʃinʧɑlɑn													
SALTY_224-j										solɑ	solɑ																
SALT_94-a																											
SALT_94-b				ʃoː																							
SALT_94-c															sɯr												
SALT_94-d																			ɕɑːq								
SALT_94-e									suːlːʲ																		
SALT_94-f		soːl	suo̞lɑ			soːlɑ																				soːl	
SALT_94-g	sɑl									sov	sov			ʃiɲʧɑl									sɯlɑl				
SALT_94-h														ʃiɲʧɑl													
SALT_94-i													solwɑl														
SALT_94-j								sɑ̆lnə																			
SAND_61-a			hie̯kːɑ																								
SAND_61-b																											
SAND_61-c		liːv				liːvɑ																				liːv	
SAND_61-d																											
SAND_61-e																											
SAND_61-f									vuːntas																		
SAND_61-g	pesok																										
SAND_61-h														oʃmɑ													
SAND_61-i				homok																							
SAND_61-k													seːj														
SAND_61-l													χis														
SAND_61-m								sɑ̆ŋkɯ																			
SAND_61-n																											
SAND_61-o																			koːrɑ								
SAND_61-p																											
SAND_61-q										pesɤk																	
SAND_61-r															dʲuː												
SAND_61-s											lɯɑ												luo				
SAY_29-a			sɑno̞ɑ			sɑnˑoːɑ																					
SAY_29-b	jovtɑms																									jutːɤˑmɑ	
SAY_29-c																											
SAY_29-d																											
SAY_29-e																											
SAY_29-f																											
SAY_29-g																											
SAY_29-h																											
SAY_29-i									ʦiel̥ːʲke																		
SAY_29-j								ɑt																			
SAY_29-k	merʲems																										
SAY_29-l				mond										mɑnɑm	munsɑ												
SAY_29-m										viɕtɑvnɯ	viɕtɑvnɯ																
SAY_29-n										ʃunɯ	ʃunɯ												ʃuɯnɯ				
SAY_29-o																							verɑnɯ				
SAY_29-p																											
SAY_29-q													lɑːwi														
SAY_29-r								tŏɭəɣ																			
SAY_29-s																			kɤt								
SAY_29-t														ojlem													
SAY_29-u																											
SAY_29-v						verkːɑː																					
SAY_29-w																											
SAY_29-x																											
SCRATCH_168-a			rɑːpiɑ			rɑːpːiɑ																				krɑːpːimɑ	
SCRATCH_168-b								kø̆ɳʧ		ɡɯʒjɑvnɯ	ɡɯʒjɑvnɯ		konsi		kɑðɑʔsɑ				qɑtət							ʧyːnisːemæ	
SCRATCH_168-c																											
SCRATCH_168-d																											
SCRATCH_168-e																											
SCRATCH_168-f	koʨkerʲɑms																										
SCRATCH_168-g														uðə̠rem													
SCRATCH_168-h											vuʃtɯnɯ																
SCRATCH_168-i																							kormɑnɯ				
SCRATCH_168-j				vɒkɒr																							
SCRATCH_168-k				kɒpɒr																							
SCRATCH_168-l	nozorʲɑms																										
SCRATCH_168-m									suvːe																		
SCRATCH_168-n																											
SCRATCH_168-o																											
SEA_169-a									mierː																		
SEA_169-b																											
SEA_169-c	iɲevedʲ																										
SEA_169-d														teŋə̠z													
SEA_169-e										sɑriʥ	sɑriʥ												zɑreʑ				
SEA_169-f																			ʨɑːsi								
SEA_169-g															dʲɑm~dʲɑm												
SEA_169-h																											
SEA_169-i		meri	me̞ri			meri																				meri	
SEA_169-j											more																
SEA_169-k													ɕɑːrəɕ														
SEA_169-l								tʲɑrɑs																			
SEA_169-m				tɛŋɡɛr																							
SEED_170-a		seːme	sie̞me̞n			seːmen			siem																	seːmen	
SEED_170-b	vidʲme																										
SEED_170-c														nøʃmø													
SEED_170-d										tuɕ	tuɕ												tɯɕ				
SEED_170-e										kɤʥɯs	kɤidɯs												kidɯs				
